scenario,year,output,emissions_intensity,mitigation_rate,emissions,atmospheric_pressure,temperature_proxy,damages,mitigation_cost,consumption_proxy,discounted_welfare_proxy
delayed_transition,2025,100.0,0.42,0.02,41.16,1.0,1.2,1.728,0.0016,98.2704,4.597847
delayed_transition,2030,106.145738,0.40755,0.03,41.961935,1.493543,1.230406,1.928328,0.003821,104.213589,4.321973
delayed_transition,2035,112.669178,0.39547,0.04,42.774948,1.991907,1.275399,2.199269,0.007211,110.462698,4.061632
delayed_transition,2040,119.593531,0.383747,0.05,43.598982,2.495176,1.334949,2.557516,0.011959,117.024055,3.816002
delayed_transition,2045,126.943436,0.372372,0.06,44.433966,3.003432,1.409033,3.024361,0.01828,123.900795,3.584291
delayed_transition,2050,134.745048,0.361334,0.07,45.279817,3.516755,1.497627,3.626614,0.02641,131.092024,3.365736
delayed_transition,2055,143.026126,0.350623,0.08,46.136434,4.035225,1.600712,4.397675,0.036615,138.591836,3.159609
delayed_transition,2060,151.816137,0.34023,0.09,47.003703,4.558917,1.718271,5.378765,0.049188,146.388184,2.965215
delayed_transition,2065,161.14636,0.330145,0.1,47.881492,5.087906,1.850289,6.620349,0.064459,154.461552,2.781889
delayed_transition,2070,171.049994,0.320359,0.11,48.769652,5.622263,1.996753,8.183766,0.082788,162.78344,2.609002
delayed_transition,2075,181.562279,0.310863,0.12,49.668015,6.162056,2.157654,10.143096,0.10458,171.314603,2.445952
delayed_transition,2080,192.720622,0.301648,0.13,50.576395,6.707352,2.332983,12.587298,0.130279,180.003044,2.29217
delayed_transition,2085,204.564727,0.292706,0.14,51.494584,7.258214,2.522733,15.622651,0.160379,188.781697,2.147115
delayed_transition,2090,217.13674,0.28403,0.15,52.422353,7.8147,2.726902,19.375526,0.195423,197.56579,2.010272
delayed_transition,2095,230.481396,0.275611,0.16,53.359452,8.376866,2.945485,23.995549,0.236013,206.249833,1.881152
delayed_transition,2100,244.646179,0.267441,0.17,54.305604,8.944765,3.178482,29.659183,0.282811,214.704186,1.759288
moderate_transition,2025,100.0,0.42,0.06,39.48,1.0,1.2,1.44,0.0144,98.5456,4.600616
moderate_transition,2030,106.145738,0.395398,0.085,38.402338,1.450828,1.229125,1.603594,0.030676,104.511468,4.324597
moderate_transition,2035,112.669178,0.372236,0.11,37.326208,1.884234,1.270902,1.819824,0.054532,110.794821,4.064196
moderate_transition,2040,119.593531,0.350432,0.135,36.251606,2.300411,1.324664,2.098549,0.087184,117.407798,3.818599
moderate_transition,2045,126.943436,0.329904,0.16,35.178532,2.699549,1.389754,2.451807,0.12999,124.361639,3.587025
moderate_transition,2050,134.745048,0.31058,0.185,34.106985,3.081838,1.465532,2.894035,0.184466,131.666547,3.368727
moderate_transition,2055,143.026126,0.292387,0.21,33.036961,3.447463,1.55137,3.44228,0.252298,139.331548,3.16299
moderate_transition,2060,151.816137,0.27526,0.235,31.968461,3.79661,1.646652,4.116437,0.335362,147.364338,2.969135
moderate_transition,2065,161.14636,0.259136,0.26,30.901481,4.129462,1.750776,4.939484,0.43574,155.771136,2.786514
moderate_transition,2070,171.049994,0.243956,0.285,29.836021,4.446199,1.863153,5.937722,0.555741,164.55653,2.614512
moderate_transition,2075,181.562279,0.229666,0.31,28.772078,4.747002,1.983205,7.141028,0.697925,173.723326,2.452546
moderate_transition,2080,192.720622,0.216213,0.335,27.709652,5.032048,2.110368,8.583106,0.865123,183.272393,2.300063
moderate_transition,2085,204.564727,0.203548,0.36,26.648741,5.301512,2.244089,10.301745,1.060464,193.202519,2.15654
moderate_transition,2090,217.13674,0.191624,0.385,25.589342,5.555569,2.383827,12.339077,1.287404,203.510259,2.02148
moderate_transition,2095,230.481396,0.1804,0.41,24.531454,5.794391,2.529053,14.741836,1.549757,214.189803,1.894411
moderate_transition,2100,244.646179,0.169832,0.435,23.475077,6.018148,2.679248,17.561612,1.851727,225.232841,1.77489
accelerated_decarbonization,2025,100.0,0.42,0.1,37.8,1.0,1.2,1.152,0.055,98.793,4.603098
accelerated_decarbonization,2030,106.145738,0.383537,0.145,34.807706,1.407692,1.227831,1.280176,0.122744,104.742818,4.326631
accelerated_decarbonization,2035,112.669178,0.350239,0.19,31.963499,1.777178,1.266412,1.44559,0.223705,110.999883,4.065775
accelerated_decarbonization,2040,119.593531,0.319832,0.235,29.261105,2.110539,1.314531,1.653254,0.36325,117.577026,3.819741
accelerated_decarbonization,2045,126.943436,0.292065,0.28,26.6945,2.409768,1.37105,1.909004,0.54738,124.487052,3.587767
