time,demand,capacity,effective_capacity,pressure,slack,burnout,attrition,served,unmet_need,backlog,access_gap,trust,surge_active
0,   92.000000,  100.000000,  100.148400,    0.920000,    0.080000,    0.117200,    0.351600,   92.000000,    0.000000,    0.000000,   16.560000,    0.640240,0
1,   92.335000,  100.148400,  100.304482,    0.921982,    0.078018,    0.114469,    0.343918,   92.335000,    0.000000,    0.000000,   16.620300,    0.640456,0
2,   92.670000,  100.304482,  100.468045,    0.923887,    0.076113,    0.111805,    0.336437,   92.670000,    0.000000,    0.000000,   16.680600,    0.640650,0
3,   93.005000,  100.468045,  100.638895,    0.925717,    0.074283,    0.109206,    0.329150,   93.005000,    0.000000,    0.000000,   16.740900,    0.640821,0
4,   93.340000,  100.638895,  100.816849,    0.927474,    0.072526,    0.106667,    0.322046,   93.340000,    0.000000,    0.000000,   16.801200,    0.640971,0
5,   93.675000,  100.816849,  101.001733,    0.929160,    0.070840,    0.104188,    0.315116,   93.675000,    0.000000,    0.000000,   16.861500,    0.641101,0
6,   94.010000,  101.001733,  101.193380,    0.930776,    0.069224,    0.101765,    0.308353,   94.010000,    0.000000,    0.000000,   16.921800,    0.641212,0
7,   94.345000,  101.193380,  101.391633,    0.932324,    0.067676,    0.099396,    0.301747,   94.345000,    0.000000,    0.000000,   16.982100,    0.641304,0
8,   94.680000,  101.391633,  101.596342,    0.933805,    0.066195,    0.097079,    0.295291,   94.680000,    0.000000,    0.000000,   17.042400,    0.641378,0
9,   95.015000,  101.596342,  101.807365,    0.935221,    0.064779,    0.094812,    0.288977,   95.015000,    0.000000,    0.000000,   17.102700,    0.641436,0
10,   95.350000,  101.807365,  102.024568,    0.936573,    0.063427,    0.092592,    0.282797,   95.350000,    0.000000,    0.000000,   17.163000,    0.641477,0
11,   95.685000,  102.024568,  102.247824,    0.937862,    0.062138,    0.090417,    0.276744,   95.685000,    0.000000,    0.000000,   17.223300,    0.641503,0
12,   96.020000,  102.247824,  102.477014,    0.939091,    0.060909,    0.088286,    0.270810,   96.020000,    0.000000,    0.000000,   17.283600,    0.641514,0
13,   96.355000,  102.477014,  102.712025,    0.940260,    0.059740,    0.086195,    0.264989,   96.355000,    0.000000,    0.000000,   17.343900,    0.641510,0
14,   96.690000,  102.712025,  102.952751,    0.941370,    0.058630,    0.084143,    0.259274,   96.690000,    0.000000,    0.000000,   17.404200,    0.641494,0
15,   97.025000,  102.952751,  103.199094,    0.942423,    0.057577,    0.082127,    0.253657,   97.025000,    0.000000,    0.000000,   17.464500,    0.641465,0
16,   97.360000,  103.199094,  103.450961,    0.943419,    0.056581,    0.080147,    0.248133,   97.360000,    0.000000,    0.000000,   17.524800,    0.641424,0
17,   97.695000,  103.450961,  103.708267,    0.944360,    0.055640,    0.078200,    0.242695,   97.695000,    0.000000,    0.000000,   17.585100,    0.641372,0
18,   98.030000,  103.708267,  103.970930,    0.945248,    0.054752,    0.076283,    0.237336,   98.030000,    0.000000,    0.000000,   17.645400,    0.641309,0
19,   98.365000,  103.970930,  104.238879,    0.946082,    0.053918,    0.074396,    0.232051,   98.365000,    0.000000,    0.000000,   17.705700,    0.641236,0
20,   98.700000,  104.238879,  104.512046,    0.946864,    0.053136,    0.072536,    0.226833,   98.700000,    0.000000,    0.000000,   17.766000,    0.641153,0
21,   99.035000,  104.512046,  104.790369,    0.947594,    0.052406,    0.070702,    0.221677,   99.035000,    0.000000,    0.000000,   17.826300,    0.641062,0
22,   99.370000,  104.790369,  105.073793,    0.948274,    0.051726,    0.068892,    0.216576,   99.370000,    0.000000,    0.000000,   17.886600,    0.640963,0
23,   99.705000,  105.073793,  105.362269,    0.948905,    0.051095,    0.067103,    0.211524,   99.705000,    0.000000,    0.000000,   17.946900,    0.640856,0
24,  100.040000,  105.362269,  105.655752,    0.949486,    0.050514,    0.065335,    0.206517,  100.040000,    0.000000,    0.000000,   18.007200,    0.640742,0
25,  100.375000,  105.655752,  105.954205,    0.950019,    0.049981,    0.063586,    0.201547,  100.375000,    0.000000,    0.000000,   18.067500,    0.640622,0
26,  100.710000,  105.954205,  106.257595,    0.950505,    0.049495,    0.061854,    0.196610,  100.710000,    0.000000,    0.000000,   18.127800,    0.640496,0
27,  101.045000,  106.257595,  106.565895,    0.950944,    0.049056,    0.060137,    0.191700,  101.045000,    0.000000,    0.000000,   18.188100,    0.640365,0
28,  101.380000,  106.565895,  106.879084,    0.951336,    0.048664,    0.058434,    0.186811,  101.380000,    0.000000,    0.000000,   18.248400,    0.640228,0
29,  101.715000,  106.879084,  107.197147,    0.951683,    0.048317,    0.056742,    0.181938,  101.715000,    0.000000,    0.000000,   18.308700,    0.640088,0
30,  102.050000,  107.197147,  107.520072,    0.951984,    0.048016,    0.055062,    0.177075,  102.050000,    0.000000,    0.000000,   18.369000,    0.639944,0
31,  102.385000,  107.520072,  107.847856,    0.952241,    0.047759,    0.053390,    0.172216,  102.385000,    0.000000,    0.000000,   18.429300,    0.639798,0
32,  102.720000,  107.847856,  108.180499,    0.952453,    0.047547,    0.051726,    0.167357,  102.720000,    0.000000,    0.000000,   18.489600,    0.639648,0
33,  103.055000,  108.180499,  108.518008,    0.952621,    0.047379,    0.050068,    0.162491,  103.055000,    0.000000,    0.000000,   18.549900,    0.639497,0
34,  103.390000,  108.518008,  108.860394,    0.952745,    0.047255,    0.048414,    0.157614,  103.390000,    0.000000,    0.000000,   18.610200,    0.639344,0
35,  103.725000,  108.860394,  109.207675,    0.952826,    0.047174,    0.046763,    0.152719,  103.725000,    0.000000,    0.000000,   18.670500,    0.639190,0
36,  104.060000,  109.207675,  109.559874,    0.952863,    0.047137,    0.045113,    0.147801,  104.060000,    0.000000,    0.000000,   18.730800,    0.639035,0
37,  104.395000,  109.559874,  109.917019,    0.952858,    0.047142,    0.043463,    0.142855,  104.395000,    0.000000,    0.000000,   18.791100,    0.638881,0
38,  104.730000,  109.917019,  110.279145,    0.952810,    0.047190,    0.041812,    0.137874,  104.730000,    0.000000,    0.000000,   18.851400,    0.638727,0
39,  105.065000,  110.279145,  110.646292,    0.952719,    0.047281,    0.040157,    0.132853,  105.065000,    0.000000,    0.000000,   18.911700,    0.638575,0
40,  105.400000,  110.646292,  111.018505,    0.952585,    0.047415,    0.038497,    0.127787,  105.400000,    0.000000,    0.000000,   18.972000,    0.638424,0
41,  105.735000,  111.018505,  111.395836,    0.952409,    0.047591,    0.036831,    0.122669,  105.735000,    0.000000,    0.000000,   19.032300,    0.638275,0
42,  106.070000,  111.395836,  111.778342,    0.952190,    0.047810,    0.035158,    0.117494,  106.070000,    0.000000,    0.000000,   19.092600,    0.638129,0
