scenario,time,demand,capacity,effective_capacity,pressure,slack,burnout,attrition,served,unmet_need,backlog,trust,surge_active
baseline_health_system,0,92.000000,100.000000,100.148400,0.920000,0.080000,0.117200,0.351600,92.000000,0.000000,0.000000,0.640240,0
baseline_health_system,1,92.335000,100.148400,100.304482,0.921982,0.078018,0.114469,0.343918,92.335000,0.000000,0.000000,0.640456,0
baseline_health_system,2,92.670000,100.304482,100.468045,0.923887,0.076113,0.111805,0.336437,92.670000,0.000000,0.000000,0.640650,0
baseline_health_system,3,93.005000,100.468045,100.638895,0.925717,0.074283,0.109206,0.329150,93.005000,0.000000,0.000000,0.640821,0
baseline_health_system,4,93.340000,100.638895,100.816849,0.927474,0.072526,0.106667,0.322046,93.340000,0.000000,0.000000,0.640971,0
baseline_health_system,5,93.675000,100.816849,101.001733,0.929160,0.070840,0.104188,0.315116,93.675000,0.000000,0.000000,0.641101,0
baseline_health_system,6,94.010000,101.001733,101.193380,0.930776,0.069224,0.101765,0.308353,94.010000,0.000000,0.000000,0.641212,0
baseline_health_system,7,94.345000,101.193380,101.391633,0.932324,0.067676,0.099396,0.301747,94.345000,0.000000,0.000000,0.641304,0
baseline_health_system,8,94.680000,101.391633,101.596342,0.933805,0.066195,0.097079,0.295291,94.680000,0.000000,0.000000,0.641378,0
baseline_health_system,9,95.015000,101.596342,101.807365,0.935221,0.064779,0.094812,0.288977,95.015000,0.000000,0.000000,0.641436,0
baseline_health_system,10,95.350000,101.807365,102.024568,0.936573,0.063427,0.092592,0.282797,95.350000,0.000000,0.000000,0.641477,0
baseline_health_system,11,95.685000,102.024568,102.247824,0.937862,0.062138,0.090417,0.276744,95.685000,0.000000,0.000000,0.641503,0
baseline_health_system,12,96.020000,102.247824,102.477014,0.939091,0.060909,0.088286,0.270810,96.020000,0.000000,0.000000,0.641514,0
baseline_health_system,13,96.355000,102.477014,102.712025,0.940260,0.059740,0.086195,0.264989,96.355000,0.000000,0.000000,0.641510,0
baseline_health_system,14,96.690000,102.712025,102.952751,0.941370,0.058630,0.084143,0.259274,96.690000,0.000000,0.000000,0.641494,0
baseline_health_system,15,97.025000,102.952751,103.199094,0.942423,0.057577,0.082127,0.253657,97.025000,0.000000,0.000000,0.641465,0
baseline_health_system,16,97.360000,103.199094,103.450961,0.943419,0.056581,0.080147,0.248133,97.360000,0.000000,0.000000,0.641424,0
baseline_health_system,17,97.695000,103.450961,103.708267,0.944360,0.055640,0.078200,0.242695,97.695000,0.000000,0.000000,0.641372,0
baseline_health_system,18,98.030000,103.708267,103.970930,0.945248,0.054752,0.076283,0.237336,98.030000,0.000000,0.000000,0.641309,0
baseline_health_system,19,98.365000,103.970930,104.238879,0.946082,0.053918,0.074396,0.232051,98.365000,0.000000,0.000000,0.641236,0
baseline_health_system,20,98.700000,104.238879,104.512046,0.946864,0.053136,0.072536,0.226833,98.700000,0.000000,0.000000,0.641153,0
baseline_health_system,21,99.035000,104.512046,104.790369,0.947594,0.052406,0.070702,0.221677,99.035000,0.000000,0.000000,0.641062,0
baseline_health_system,22,99.370000,104.790369,105.073793,0.948274,0.051726,0.068892,0.216576,99.370000,0.000000,0.000000,0.640963,0
baseline_health_system,23,99.705000,105.073793,105.362269,0.948905,0.051095,0.067103,0.211524,99.705000,0.000000,0.000000,0.640856,0
baseline_health_system,24,100.040000,105.362269,105.655752,0.949486,0.050514,0.065335,0.206517,100.040000,0.000000,0.000000,0.640742,0
baseline_health_system,25,100.375000,105.655752,105.954205,0.950019,0.049981,0.063586,0.201547,100.375000,0.000000,0.000000,0.640622,0
baseline_health_system,26,100.710000,105.954205,106.257595,0.950505,0.049495,0.061854,0.196610,100.710000,0.000000,0.000000,0.640496,0
baseline_health_system,27,101.045000,106.257595,106.565895,0.950944,0.049056,0.060137,0.191700,101.045000,0.000000,0.000000,0.640365,0
baseline_health_system,28,101.380000,106.565895,106.879084,0.951336,0.048664,0.058434,0.186811,101.380000,0.000000,0.000000,0.640228,0
baseline_health_system,29,101.715000,106.879084,107.197147,0.951683,0.048317,0.056742,0.181938,101.715000,0.000000,0.000000,0.640088,0
baseline_health_system,30,102.050000,107.197147,107.520072,0.951984,0.048016,0.055062,0.177075,102.050000,0.000000,0.000000,0.639944,0
baseline_health_system,31,102.385000,107.520072,107.847856,0.952241,0.047759,0.053390,0.172216,102.385000,0.000000,0.000000,0.639798,0
baseline_health_system,32,102.720000,107.847856,108.180499,0.952453,0.047547,0.051726,0.167357,102.720000,0.000000,0.000000,0.639648,0
baseline_health_system,33,103.055000,108.180499,108.518008,0.952621,0.047379,0.050068,0.162491,103.055000,0.000000,0.000000,0.639497,0
baseline_health_system,34,103.390000,108.518008,108.860394,0.952745,0.047255,0.048414,0.157614,103.390000,0.000000,0.000000,0.639344,0
baseline_health_system,35,103.725000,108.860394,109.207675,0.952826,0.047174,0.046763,0.152719,103.725000,0.000000,0.000000,0.639190,0
baseline_health_system,36,104.060000,109.207675,109.559874,0.952863,0.047137,0.045113,0.147801,104.060000,0.000000,0.000000,0.639035,0
baseline_health_system,37,104.395000,109.559874,109.917019,0.952858,0.047142,0.043463,0.142855,104.395000,0.000000,0.000000,0.638881,0
baseline_health_system,38,104.730000,109.917019,110.279145,0.952810,0.047190,0.041812,0.137874,104.730000,0.000000,0.000000,0.638727,0
baseline_health_system,39,105.065000,110.279145,110.646292,0.952719,0.047281,0.040157,0.132853,105.065000,0.000000,0.000000,0.638575,0
baseline_health_system,40,105.400000,110.646292,111.018505,0.952585,0.047415,0.038497,0.127787,105.400000,0.000000,0.000000,0.638424,0
baseline_health_system,41,105.735000,111.018505,111.395836,0.952409,0.047591,0.036831,0.122669,105.735000,0.000000,0.000000,0.638275,0
baseline_health_system,42,106.070000,111.395836,111.778342,0.952190,0.047810,0.035158,0.117494,106.070000,0.000000,0.000000,0.638129,0
baseline_health_system,43,106.405000,111.778342,112.166086,0.951929,0.048071,0.033476,0.112255,106.405000,0.000000,0.000000,0.637986,0
baseline_health_system,44,106.740000,112.166086,112.559139,0.951625,0.048375,0.031782,0.106947,106.740000,0.000000,0.000000,0.637846,0
baseline_health_system,45,107.075000,112.559139,112.957575,0.951278,0.048722,0.030077,0.101564,107.075000,0.000000,0.000000,0.637711,1
baseline_health_system,46,125.410000,112.957575,112.078655,1.110240,0.000000,0.039448,0.133677,112.078655,13.331345,13.331345,0.634361,1
baseline_health_system,47,126.811508,112.078655,110.935164,1.131451,0.000000,0.050621,0.170206,110.935164,15.876343,29.207688,0.630511,1
baseline_health_system,48,128.416615,110.935164,109.473973,1.157583,0.000000,0.064015,0.213047,109.473973,18.942643,48.150330,0.626049,1
baseline_health_system,49,130.267026,109.473973,107.631404,1.189936,0.000000,0.080160,0.263263,107.631404,22.635622,70.785953,0.620835,1
baseline_health_system,50,132.412876,107.631404,105.331232,1.230244,0.000000,0.099731,0.322025,105.331232,27.081644,97.867597,0.614692,1
baseline_health_system,51,134.914408,105.331232,102.482335,1.280859,0.000000,0.123604,0.390580,102.482335,32.432073,130.299670,0.607394,1
baseline_health_system,52,137.843974,102.482335,98.975983,1.345051,0.000000,0.152933,0.470188,98.975983,38.867991,169.167660,0.598645,1
baseline_health_system,53,141.288413,98.975983,94.682742,1.427502,0.000000,0.189271,0.561998,94.682742,46.605671,215.773331,0.588055,1
baseline_health_system,54,145.351866,94.682742,89.449003,1.535146,0.000000,0.234758,0.666826,89.449003,55.902863,271.676194,0.575094,1
baseline_health_system,55,150.159096,89.449003,83.093217,1.678712,0.000000,0.292449,0.784777,83.093217,67.065879,338.742073,0.559013,1
baseline_health_system,56,155.859366,83.093217,75.402033,1.875717,0.000000,0.366885,0.914569,75.402033,80.457333,419.199406,0.538714,1
baseline_health_system,57,162.630952,75.402033,66.126792,2.156851,0.000000,0.465217,1.052349,66.126792,96.504160,515.703566,0.512483,1
baseline_health_system,58,170.686285,66.126792,54.981317,2.581197,0.000000,0.599619,1.189526,54.981317,115.704968,631.408534,0.477428,1
baseline_health_system,59,180.277683,54.981317,41.643140,3.278890,0.000000,0.793324,1.308541,41.643140,138.634543,770.043077,0.428054,1
