"scenario","time","demand","effective_capacity","backlog","pressure","burnout","attrition","served","unmet_need","access_gap"
"baseline_health_system",1,92,100,0,0.92,0.12,0.3516,92,0,16.56
"baseline_health_system",2,92.67,100.1484,0,0.92532681500653,0.1172,0.3442694544,92.67,0,16.6806
"baseline_health_system",3,93.005,100.3041305456,0,0.927230010310675,0.114586438525229,0.337140705584817,93.005,0,16.7409
"baseline_health_system",4,93.34,100.466989840015,0,0.929061377758364,0.112039488886102,0.330204766416,93.34,0,16.8012
"baseline_health_system",5,93.675,100.636785073599,0,0.930822660237926,0.109556637107645,0.323452957932372,93.675,0,16.8615
"baseline_health_system",6,94.01,100.813332115667,0,0.932515551535772,0.107135430215972,0.31687689251008,94.01,0,16.9218
"baseline_health_system",7,94.345,100.996455223157,0,0.934141696275775,0.104773474519724,0.310468457852862,94.345,0,16.9821
"baseline_health_system",8,94.68,101.185986765304,0,0.935702689934781,0.102468433889376,0.304219801758187,94.68,0,17.0424
"baseline_health_system",9,95.015,101.381766963546,0,0.937200078927062,0.100218028037094,0.298123317608359,95.015,0,17.1027
"baseline_health_system",10,95.35,101.583643645937,0,0.938635360750947,0.098020030799541,0.292171630538897,95.35,0,17.163
"baseline_health_system",11,95.685,101.791472015398,0,0.940009984191262,0.0958722684258241,0.286357584239433,95.685,0,17.2233
"baseline_health_system",12,96.02,102.005114431159,0,0.941325349571583,0.0937726178725183,0.28067422834515,96.02,0,17.2836
"baseline_health_system",13,96.355,102.224440202814,0,0.942582809050665,0.0917190051075237,0.275114806379315,96.355,0,17.3439
"baseline_health_system",14,96.69,102.449325396434,0,0.943783666957802,0.089709403424297,0.269672744209818,96.69,0,17.4042
"baseline_health_system",15,97.025,102.679652652225,0,0.94492918016214,0.0877418317678201,0.264341638984855,97.025,0,17.4645
"baseline_health_system",16,97.36,102.91531101324,0,0.946020558471371,0.085814353073495,0.259115248514859,97.36,0,17.5248
"baseline_health_system",17,97.695,103.156195764725,0,0.947058965055471,0.083925072619993,0.253987481069741,97.695,0,17.5851
"baseline_health_system",18,98.03,103.402208283655,0,0.948045516891496,0.0820721363969345,0.248952385562173,98.03,0,17.6454
"baseline_health_system",19,98.365,103.653255898093,0,0.948981285225693,0.0802537294881368,0.244004142089308,98.365,0,17.7057
"baseline_health_system",20,98.7,103.909251756004,0,0.949867296049481,0.0784680744710361,0.239137052806788,98.7,0,17.766
"baseline_health_system",21,99.035,104.170114703197,0,0.950704530586071,0.0767134298327679,0.234345533110296,99.035,0,17.8263
"baseline_health_system",22,99.37,104.435769170087,0,0.951493925784791,0.0749880884032804,0.22962410310114,99.37,0,17.8866
"baseline_health_system",23,99.705,104.706145066985,0,0.95223637482035,0.0732903758057481,0.224967379313582,99.705,0,17.9469
"baseline_health_system",24,100.04,104.981177687672,0,0.952932727594538,0.0716186489244603,0.220370066682637,100.04,0,18.0072
"baseline_health_system",25,100.375,105.260807620989,0,0.953583791238031,0.0699712943902692,0.215826950732133,100.375,0,18.0675
"baseline_health_system",26,100.71,105.544980670257,0,0.954190330610202,0.0683467270836003,0.211332889963648,100.71,0,18.1278
"baseline_health_system",27,101.045,105.833647780294,0,0.954753068794959,0.0667433886549573,0.206882808427851,101.045,0,18.1881
"baseline_health_system",28,101.38,106.126764971866,0,0.955272687590882,0.0651597460627809,0.202471688460477,101.38,0,18.2484
"baseline_health_system",29,101.715,106.424293283405,0,0.955749827994023,0.0635942901284617,0.198094563565866,101.715,0,18.3087
"baseline_health_system",30,102.05,106.726198719839,0,0.95618509067193,0.0620455341082526,0.193746511431647,102.05,0,18.369
"baseline_health_system",31,102.385,107.032452208408,0,0.956579036427583,0.0605120122817701,0.189422647058666,102.385,0,18.4293
"baseline_health_system",32,102.72,107.343029561349,0,0.956932186652075,0.0589922785567355,0.185118115990793,102.72,0,18.4896
"baseline_health_system",33,103.055,107.657911445358,0,0.95724502376498,0.0574849050895581,0.180828087629668,103.055,0,18.5499
"baseline_health_system",34,103.39,107.977083357729,0,0.957517991641509,0.0559884809213324,0.176547748619844,103.39,0,18.6102
"baseline_health_system",35,103.725,108.300535609109,0,0.957751496025622,0.0545016106287852,0.172272296290132,103.725,0,18.6705
"baseline_health_system",36,104.06,108.628263312819,0,0.957945904928414,0.053022912989682,0.167996932137216,104.06,0,18.7308
"baseline_health_system",37,104.395,108.960266380681,0,0.958101549011165,0.0515510196621765,0.163716855337879,104.395,0,18.7911
"baseline_health_system",38,104.73,109.296549525343,0,0.958218721952566,0.0500845738775672,0.159427256276347,104.73,0,18.8514
"baseline_health_system",39,105.065,109.637122269067,0,0.958297680799698,0.0486222291459071,0.155123310073412,105.065,0,18.9117
"baseline_health_system",40,105.4,109.981998958994,0,0.958338646302454,0.0471626479738965,0.150800170104111,105.4,0,18.972
"baseline_health_system",41,105.735,110.33119878889,0,0.958341803231159,0.0457045005944824,0.146452961490769,105.735,0,19.0323
"baseline_health_system",42,106.07,110.684745827399,0,0.958307300677231,0.044246463707573,0.14207677455825,106.07,0,19.0926
"baseline_health_system",43,106.405,111.042669052841,0,0.958235252336795,0.0427872192312761,0.137666658238215,106.405,0,19.1529
"baseline_health_system",44,106.74,111.405002394602,0,0.958125736777253,0.0413254530630639,0.133217613409127,106.74,0,19.2132
"baseline_health_system",45,125.075,111.771784781193,0,1.11902122923821,0.0398598538502677,0.167579408986815,110.773883850326,14.3011161496742,36.8146161496742
"baseline_health_system",46,125.41,110.773883850326,14.3011161496742,1.13212605391222,0.0499766583355159,0.203405352552245,109.606866882806,15.8031331171939,38.3769331171939
"baseline_health_system",47,126.889089291974,109.606866882806,30.1042492668681,1.15767463207982,0.0612073729180547,0.245332118413643,108.133312523476,18.7557767684982,41.5958128410535
"baseline_health_system",48,128.488339941349,108.133312523476,48.8600260353663,1.18824011715589,0.074609716644839,0.293939194132908,106.303870587555,22.184469353794,45.3123705432369
"baseline_health_system",49,130.323802082829,106.303870587555,71.0444953891603,1.22595538019935,0.0906101266030898,0.350217040483055,104.051660397545,26.2721416852843,49.7304260601936
"baseline_health_system",50,132.433559631133,104.051660397545,97.3166370744446,1.27276738425077,0.109816333920035,0.415170999540175,101.298299474646,31.1352601564868,54.9733008900907
"baseline_health_system",51,134.870330965956,101.298299474646,128.451897230931,1.3314175229537,0.13300156158135,0.489793640772735,97.9513026847423,36.9190282812132,61.1956878550852
"baseline_health_system",52,137.696151778475,97.9513026847423,165.370925512145,1.40576131204351,0.161172051032415,0.574959735838922,93.9018580395302,43.7942937389443,68.5796010590697
"baseline_health_system",53,140.984674040972,93.9018580395302,209.165219251089,1.50140451940387,0.195661762556113,0.671251272342929,89.0223251670431,51.9623488739284,77.3395902013033
"baseline_health_system",54,144.823217540087,89.0223251670431,261.127568125017,1.62681908463229,0.238281146705443,0.778662527246897,83.1635734024919,61.6596441375953,87.7278232948109
"baseline_health_system",55,149.315205450001,83.1635734024919,322.787212262613,1.79543999062368,0.291560768899187,0.896103723890185,76.1523064738507,73.1628989761507,100.039635957151
"baseline_health_system",56,154.582976981009,76.1523064738507,395.950111238763,2.02991851644165,0.3591731681022,1.02055416502833,67.7886852581066,86.7942917229024,114.619227579484
"baseline_health_system",57,160.771008899101,67.7886852581066,482.744402961666,2.37164960917833,0.44671624199974,1.14557412714267,57.8448787668645,102.926130132237,131.864911734075
"baseline_health_system",58,168.049552236933,57.8448787668645,585.670533093902,2.905175977881,0.563306458779898,1.25855373185012,46.0658576880075,121.983694548926,152.232613951574
"baseline_health_system",59,176.618642647512,46.0658576880075,707.654227642828,3.8340465479598,0.725246416899783,1.33518254853602,32.175396643521,144.443246003991,176.234601680543
"baseline_health_system",60,186.712338211426,32.175396643521,852.09747364682,5.80295373760447,0.966140373476365,1.3266476928958,15.8950547938346,170.817283417592,204.425504295648
"baseline_health_system",61,198.602797891746,15.8950547938346,1022.91475706441,12.4946280756943,1.37439144117275,1.12128556286822,0,198.602797891746,234.35130151226
"baseline_health_system",62,212.603180565153,0,1221.51755495616,212.603180565153,2.35143482760676,0,0.5,212.103180565153,250.37175306688
"baseline_health_system",63,228.826404396493,0.5,1433.62073552131,228.826404396493,20.3377051756448,0.595544243240199,0,228.826404396493,270.015157187861
"baseline_health_system",64,246.129658841705,0,1662.4471399178,246.129658841705,39.7029495493466,0,0.5,245.629658841705,289.932997433212
"baseline_health_system",65,264.770771193424,0.5,1908.07679875951,264.770771193424,60.5389705508915,1.24439229153499,0,264.770771193424,312.42951000824
"baseline_health_system",66,266.756143900761,0,2172.84756995293,266.756143900761,82.9594861023326,0,0.5,266.256143900761,314.272249802897
"baseline_health_system",67,288.272805596234,0.5,2439.10371385369,288.272805596234,105.548758333897,1.94950420214366,0,288.272805596234,340.161910603557
"baseline_health_system",68,309.908297108295,0,2727.37651944993,309.908297108295,129.966946809577,0,0.5,309.408297108295,365.191790587788
"baseline_health_system",69,333.305121555994,0.5,3036.78481655822,333.305121555994,156.224152063782,2.76705131094063,0,333.305121555994,393.300043436073
"baseline_health_system",70,358.392785324658,0,3370.08993811421,358.392785324658,184.470087396042,0,0.5,357.892785324658,422.403486683096
"baseline_health_system",71,385.392195049137,0.5,3727.98272343887,385.392195049137,214.848474148638,3.71282716091721,0,385.392195049137,454.762790157982
"baseline_health_system",72,414.35861787511,0,4113.37491848801,414.35861787511,247.521810727814,0,0.5,413.85861787511,488.44316909263
"baseline_health_system",73,445.524993479041,0.5,4527.23353636312,445.524993479041,282.657293247199,4.80662876539376,0,445.524993479041,525.719492305268
"baseline_health_system",74,478.96868290905,0,4972.75852984216,478.96868290905,320.441917692917,0,0.5,478.46868290905,564.683045832679
"baseline_health_system",75,514.945682387373,0.5,5451.22721275121,514.945682387373,361.069255740186,6.0713195811467,0,514.945682387373,607.6359052171
"baseline_health_system",76,553.558177020097,0,5966.17289513858,553.558177020097,404.754638743113,0,0.5,553.058177020097,652.698648883714
"baseline_health_system",77,595.088831611087,0.5,6519.23107215868,595.088831611087,451.722083789821,7.53329451715146,0,595.088831611087,702.204821301082
"baseline_health_system",78,639.668485772694,0,7114.31990376977,639.668485772694,502.219634476764,0,0.5,639.168485772694,754.30881321178
"baseline_health_system",79,687.610592301581,0.5,7753.48838954246,687.610592301581,556.506455767443,9.22302534169616,0,687.610592301581,811.380498915866
