scenario,time,demand,capacity,effective_capacity,pressure,slack,burnout,attrition,served,unmet_need,backlog,access_gap,trust,surge_active
baseline_health_system,0,92.0,100.0,100.1484,0.92,0.08,0.1172,0.3516,92.0,0.0,0.0,16.56,0.639664,0
baseline_health_system,1,92.291774,100.1484,100.304528,0.92155,0.07845,0.114454,0.343872,92.291774,0.0,0.0,16.612519,0.63944,0
baseline_health_system,2,92.845496,100.304528,100.467951,0.925636,0.074364,0.111852,0.336576,92.845496,0.0,0.0,16.712189,0.639102,0
baseline_health_system,3,92.630662,100.467951,100.639056,0.921992,0.078008,0.109121,0.328896,92.630662,0.0,0.0,16.673519,0.640647,0
baseline_health_system,4,93.273166,100.639056,100.817334,0.926809,0.073191,0.10656,0.321722,93.273166,0.0,0.0,16.78917,0.639938,0
baseline_health_system,5,93.703971,100.817334,101.002512,0.929443,0.070557,0.10409,0.314822,93.703971,0.0,0.0,16.866715,0.640993,0
baseline_health_system,6,94.30089,101.002512,101.194148,0.933649,0.066351,0.101768,0.308364,94.30089,0.0,0.0,16.97416,0.643696,0
baseline_health_system,7,94.372627,101.194148,101.392361,0.93259,0.06741,0.099408,0.301787,94.372627,0.0,0.0,16.987073,0.640832,0
baseline_health_system,8,94.426334,101.392361,101.597298,0.931296,0.068704,0.097004,0.295063,94.426334,0.0,0.0,16.99674,0.641922,0
baseline_health_system,9,95.34277,101.597298,101.808205,0.938438,0.061562,0.094849,0.289092,95.34277,0.0,0.0,17.161699,0.642107,0
baseline_health_system,10,95.323419,101.808205,102.025322,0.936304,0.063696,0.09262,0.282884,95.323419,0.0,0.0,17.158215,0.644279,0
baseline_health_system,11,95.321614,102.025322,102.248874,0.934294,0.065706,0.09032,0.276448,95.321614,0.0,0.0,17.15789,0.643098,0
baseline_health_system,12,96.142591,102.248874,102.478232,0.94028,0.05972,0.08823,0.270642,96.142591,0.0,0.0,17.305666,0.646588,0
baseline_health_system,13,96.294843,102.478232,102.713475,0.939661,0.060339,0.086118,0.264757,96.294843,0.0,0.0,17.333072,0.648099,0
baseline_health_system,14,96.752053,102.713475,102.95437,0.941961,0.058039,0.084087,0.259105,96.752053,0.0,0.0,17.41537,0.651204,0
baseline_health_system,15,96.746694,102.95437,103.201176,0.939705,0.060295,0.081976,0.253194,96.746694,0.0,0.0,17.414405,0.653481,0
baseline_health_system,16,96.98137,103.201176,103.453905,0.939731,0.060269,0.079867,0.247271,96.98137,0.0,0.0,17.456647,0.643004,0
baseline_health_system,17,97.543277,103.453905,103.712235,0.942867,0.057133,0.077867,0.24167,97.543277,0.0,0.0,17.55779,0.639307,0
baseline_health_system,18,98.249003,103.712235,103.975698,0.947323,0.052677,0.076024,0.236537,98.249003,0.0,0.0,17.684821,0.641876,0
baseline_health_system,19,98.060231,103.975698,104.244771,0.943107,0.056893,0.074032,0.230927,98.060231,0.0,0.0,17.650842,0.645228,0
baseline_health_system,20,98.449449,104.244771,104.519332,0.944407,0.055593,0.072087,0.225439,98.449449,0.0,0.0,17.720901,0.64483,0
baseline_health_system,21,98.961525,104.519332,104.799135,0.946825,0.053175,0.070225,0.220197,98.961525,0.0,0.0,17.813075,0.645206,0
baseline_health_system,22,99.574659,104.799135,105.083834,0.950148,0.049852,0.068481,0.215301,99.574659,0.0,0.0,17.923439,0.647638,0
baseline_health_system,23,99.792471,105.083834,105.373504,0.949646,0.050354,0.066718,0.21033,99.792471,0.0,0.0,17.962645,0.650122,0
baseline_health_system,24,100.159623,105.373504,105.668068,0.95052,0.04948,0.064986,0.205435,100.159623,0.0,0.0,18.028732,0.647488,0
baseline_health_system,25,100.195657,105.668068,105.967805,0.948211,0.051789,0.063174,0.200264,100.195657,0.0,0.0,18.035218,0.645509,0
baseline_health_system,26,100.834832,105.967805,106.272363,0.951561,0.048439,0.061478,0.195442,100.834832,0.0,0.0,18.15027,0.64437,0
baseline_health_system,27,101.628939,106.272363,106.581235,0.956306,0.043694,0.059949,0.191128,101.628939,0.0,0.0,18.293209,0.640897,0
baseline_health_system,28,101.105281,106.581235,106.895301,0.948622,0.051378,0.058151,0.185934,101.105281,0.0,0.0,18.198951,0.643868,0
baseline_health_system,29,102.070462,106.895301,107.213885,0.954864,0.045136,0.056571,0.181416,102.070462,0.0,0.0,18.372683,0.645712,0
baseline_health_system,30,102.258954,107.213885,107.537132,0.953785,0.046215,0.054954,0.176754,102.258954,0.0,0.0,18.406612,0.651252,0
baseline_health_system,31,102.361493,107.537132,107.865279,0.951871,0.048129,0.053269,0.171852,102.361493,0.0,0.0,18.425069,0.645418,0
baseline_health_system,32,102.586981,107.865279,108.198445,0.951066,0.048934,0.051556,0.166834,102.586981,0.0,0.0,18.465657,0.649097,0
baseline_health_system,33,102.69408,108.198445,108.536875,0.949127,0.050873,0.049776,0.16157,102.69408,0.0,0.0,18.484934,0.649121,0
baseline_health_system,34,103.453309,108.536875,108.880137,0.953163,0.046837,0.048137,0.156738,103.453309,0.0,0.0,18.621596,0.647701,0
baseline_health_system,35,103.905908,108.880137,109.228127,0.954315,0.045685,0.046538,0.15201,103.905908,0.0,0.0,18.703063,0.649852,0
baseline_health_system,36,104.640352,109.228127,109.580448,0.957998,0.042002,0.045067,0.147679,104.640352,0.0,0.0,18.835263,0.652116,0
baseline_health_system,37,104.242649,109.580448,109.937897,0.951289,0.048711,0.043363,0.142551,104.242649,0.0,0.0,18.763677,0.649733,0
baseline_health_system,38,104.522105,109.937897,110.300568,0.950738,0.049262,0.041638,0.137329,104.522105,0.0,0.0,18.813979,0.653414,0
baseline_health_system,39,104.923292,110.300568,110.668432,0.951249,0.048751,0.039932,0.132136,104.923292,0.0,0.0,18.886193,0.652998,0
baseline_health_system,40,105.587326,110.668432,111.04119,0.954087,0.045913,0.038325,0.127242,105.587326,0.0,0.0,19.005719,0.649935,0
baseline_health_system,41,105.661586,111.04119,111.419169,0.951553,0.048447,0.03663,0.122022,105.661586,0.0,0.0,19.019085,0.642431,0
baseline_health_system,42,105.79938,111.419169,111.802633,0.949562,0.050438,0.034864,0.116536,105.79938,0.0,0.0,19.043888,0.640045,0
baseline_health_system,43,106.50894,111.802633,112.191254,0.952651,0.047349,0.033207,0.111379,106.50894,0.0,0.0,19.171609,0.644667,0
baseline_health_system,44,106.735383,112.191254,112.585216,0.95137,0.04863,0.031505,0.106037,106.735383,0.0,0.0,19.212369,0.645576,0
baseline_health_system,45,107.116992,112.585216,112.984548,0.95143,0.04857,0.029805,0.100668,107.116992,0.0,0.0,19.281059,0.649778,1
baseline_health_system,46,125.633339,112.984548,112.08639,1.111952,0.0,0.039321,0.13328,112.08639,13.546949,13.546949,36.16095,0.647483,1
baseline_health_system,47,126.57602,112.08639,110.968258,1.129272,0.0,0.050309,0.169169,110.968258,15.607762,29.154711,38.391445,0.647298,1
baseline_health_system,48,128.507639,110.968258,109.502113,1.158058,0.0,0.063744,0.212206,109.502113,19.005525,48.160236,42.1369,0.647733,1
baseline_health_system,49,130.260342,109.502113,107.663954,1.189569,0.0,0.079857,0.262336,107.663954,22.596388,70.756624,46.04325,0.65034,1
baseline_health_system,50,132.320811,107.663954,105.377461,1.229017,0.0,0.099324,0.320807,105.377461,26.94335,97.699974,50.761096,0.650597,1
baseline_health_system,51,134.929778,105.377461,102.532877,1.280442,0.0,0.123161,0.389353,102.532877,32.396901,130.096875,56.684261,0.641243,1
baseline_health_system,52,137.545638,102.532877,99.063475,1.341478,0.0,0.152187,0.468125,99.063475,38.482163,168.579037,63.240377,0.63197,1
baseline_health_system,53,141.597153,99.063475,94.749362,1.429358,0.0,0.188682,0.560746,94.749362,46.847792,215.426829,72.335279,0.624605,1
baseline_health_system,54,145.496367,94.749362,89.50893,1.535592,0.0,0.234208,0.665731,89.50893,55.987437,271.414266,82.176783,0.60213,1
baseline_health_system,55,150.315882,89.50893,83.144267,1.67934,0.0,0.291952,0.783968,83.144267,67.171616,338.585882,94.228474,0.58826,1
baseline_health_system,56,155.709389,83.144267,75.47449,1.872762,0.0,0.366136,0.913264,75.47449,80.234898,418.82078,108.262589,0.565514,1
baseline_health_system,57,162.600085,75.47449,66.210742,2.154371,0.0,0.464258,1.051189,66.210742,96.389343,515.210123,125.657358,0.546235,1
baseline_health_system,58,170.383035,66.210742,55.105708,2.573344,0.0,0.597992,1.187805,55.105708,115.277327,630.48745,145.946273,0.50963,1
baseline_health_system,59,180.544442,55.105708,41.753382,3.276329,0.0,0.79148,1.308452,41.753382,138.79106,769.278509,171.289059,0.458524,1
baseline_health_system,60,191.551218,41.753382,25.900205,4.587681,0.0,1.096433,1.373394,25.900205,165.651013,934.929522,200.130232,0.382982,1
baseline_health_system,61,204.919039,25.900205,7.189888,7.911869,0.0,1.683942,1.308433,7.189888,197.729151,1132.658673,234.614578,0.241045,1
baseline_health_system,62,221.080289,7.189888,0.0,30.748779,0.0,4.212588,0.908641,0.0,221.080289,1353.738963,260.874742,0.0,1
baseline_health_system,63,239.404912,0.0,0.5,239.404912,0.0,24.477006,0.0,0.5,238.904912,1592.643875,281.997796,0.0,1
baseline_health_system,64,258.92172,0.5,0.0,258.92172,0.0,46.400352,0.696005,0.0,258.92172,1851.565595,305.52763,0.0,1
baseline_health_system,65,279.574432,0.0,0.5,279.574432,0.0,70.079179,0.0,0.5,279.074432,2130.640027,329.397829,0.0,1
baseline_health_system,66,302.641989,0.5,0.0,302.641989,0.0,95.718748,1.435781,0.0,302.641989,2433.282015,357.117547,0.0,0
baseline_health_system,67,308.687332,0.0,0.5,308.687332,0.0,121.872171,0.0,0.5,308.187332,2741.469348,363.751052,0.0,0
baseline_health_system,68,334.245386,0.5,0.0,334.245386,0.0,150.198029,2.25297,0.0,334.245386,3075.714734,394.409556,0.0,0
baseline_health_system,69,361.350275,0.0,0.5,361.350275,0.0,180.827802,0.0,0.5,360.850275,3436.565009,425.893325,0.0,0
baseline_health_system,70,390.244788,0.5,0.0,390.244788,0.0,213.913609,3.208704,0.0,390.244788,3826.809797,460.48885,0.0,0
baseline_health_system,71,421.978639,0.0,0.5,421.978639,0.0,249.696793,0.0,0.5,421.478639,4248.288437,497.434795,0.0,0
baseline_health_system,72,456.488142,0.5,0.0,456.488142,0.0,288.413286,4.326199,0.0,456.488142,4704.776579,538.656007,0.0,0
baseline_health_system,73,492.917224,0.0,0.5,492.917224,0.0,330.22625,0.0,0.5,492.417224,5197.193803,581.142325,0.0,0
baseline_health_system,74,532.466639,0.5,0.0,532.466639,0.0,375.400914,5.631014,0.0,532.466639,5729.660442,628.310634,0.0,0
baseline_health_system,75,575.703825,0.0,0.5,575.703825,0.0,424.250739,0.0,0.5,575.203825,6304.864267,678.830514,0.0,0
baseline_health_system,76,621.838104,0.5,0.0,621.838104,0.0,477.021978,7.15533,0.0,621.838104,6926.702371,733.768963,0.0,0
baseline_health_system,77,672.045652,0.0,0.5,672.045652,0.0,534.060858,0.0,0.5,671.545652,7598.248024,792.51387,0.0,0
baseline_health_system,78,726.112756,0.5,0.0,726.112756,0.0,595.695443,8.935432,0.0,726.112756,8324.36078,856.813053,0.0,0
baseline_health_system,79,784.697208,0.0,0.5,784.697208,0.0,662.309705,0.0,0.5,784.197208,9108.557988,925.442706,0.0,0
baseline_health_system,80,847.659595,0.5,0.0,847.659595,0.0,734.275771,11.014137,0.0,847.659595,9956.217584,1000.238322,0.0,0
baseline_health_system,81,915.784725,0.0,0.5,915.784725,0.0,812.032473,0.0,0.5,915.284725,10871.502308,1080.125975,0.0,0
baseline_health_system,82,989.728383,0.5,0.0,989.728383,0.0,896.074385,13.441116,0.0,989.728383,11861.230692,1167.879493,0.0,0
baseline_health_system,83,1068.629464,0.0,0.5,1068.629464,0.0,986.82289,0.0,0.5,1068.129464,12929.360156,1260.482768,0.0,0
baseline_health_system,84,1154.859505,0.5,0.0,1154.859505,0.0,1084.900948,16.273514,0.0,1154.859505,14084.219661,1362.734216,0.0,0
baseline_health_system,85,1247.342417,0.0,0.5,1247.342417,0.0,1190.840053,0.0,0.5,1246.842417,15331.062078,1471.364052,0.0,0
baseline_health_system,86,1347.166752,0.5,0.0,1347.166752,0.0,1305.264227,19.578963,0.0,1347.166752,16678.22883,1589.656767,0.0,0
baseline_health_system,87,1455.478162,0.0,0.5,1455.478162,0.0,1428.894871,0.0,0.5,1454.978162,18133.206992,1716.964231,0.0,0
baseline_health_system,88,1571.984557,0.5,0.0,1571.984557,0.0,1562.428558,23.436428,0.0,1571.984557,19705.191549,1854.941777,0.0,0
baseline_health_system,89,1698.382216,0.0,0.5,1698.382216,0.0,1706.706046,0.0,0.5,1697.882216,21403.073765,2003.591015,0.0,0
baseline_health_system,90,1834.525456,0.5,0.0,1834.525456,0.0,1862.55571,27.938336,0.0,1834.525456,23237.59922,2164.740038,0.0,0
baseline_health_system,91,1981.122181,0.0,0.5,1981.122181,0.0,2030.866096,0.0,0.5,1980.622181,25218.221402,2337.224174,0.0,0
baseline_health_system,92,2140.266408,0.5,0.0,2140.266408,0.0,2212.70374,33.190556,0.0,2140.266408,27358.48781,2525.514362,0.0,0
baseline_health_system,93,2311.964761,0.0,0.5,2311.964761,0.0,2409.135745,0.0,0.5,2311.464761,29669.952571,2727.618418,0.0,0
baseline_health_system,94,2496.941821,0.5,0.0,2496.941821,0.0,2621.2908,39.319362,0.0,2496.941821,32166.894393,2946.391349,0.0,0
baseline_health_system,95,2697.430318,0.0,0.5,2697.430318,0.0,2850.487377,0.0,0.5,2696.930318,34863.82471,3182.467775,0.0,0
