scenario,time,stock,regeneration,extraction,restoration,disturbance,resilience_index
baseline_pressure,1,68.865,1.365,2.8,0.3,0.0,0.68865
baseline_pressure,2,67.815423,1.393673,2.7546,0.31135,0.0,0.678154
baseline_pressure,3,66.843348,1.418697,2.712617,0.321846,0.0,0.668433
baseline_pressure,4,65.941777,1.440596,2.673734,0.331567,0.0,0.659418
baseline_pressure,5,65.104497,1.459809,2.637671,0.340582,0.0,0.651045
baseline_pressure,6,64.325977,1.476705,2.60418,0.348955,0.0,0.64326
baseline_pressure,7,63.601277,1.491598,2.573039,0.35674,0.0,0.636013
baseline_pressure,8,62.925966,1.504753,2.544051,0.363987,0.0,0.62926
baseline_pressure,9,62.296066,1.516398,2.517039,0.37074,0.0,0.622961
baseline_pressure,10,61.707987,1.526724,2.491843,0.377039,0.0,0.61708
baseline_pressure,11,61.158487,1.5359,2.468319,0.38292,0.0,0.611585
baseline_pressure,12,60.64463,1.544067,2.446339,0.388415,0.0,0.606446
baseline_pressure,13,60.163748,1.55135,2.425785,0.393554,0.0,0.601637
baseline_pressure,14,59.713415,1.557854,2.40655,0.398363,0.0,0.597134
baseline_pressure,15,59.291416,1.563672,2.388537,0.402866,0.0,0.592914
baseline_pressure,16,58.895731,1.568885,2.371657,0.407086,0.0,0.588957
baseline_pressure,17,58.524507,1.573563,2.355829,0.411043,0.0,0.585245
baseline_pressure,18,58.176048,1.577766,2.34098,0.414755,0.0,0.58176
baseline_pressure,19,57.848795,1.581549,2.327042,0.41824,0.0,0.578488
baseline_pressure,20,57.541313,1.584958,2.313952,0.421512,0.0,0.575413
baseline_pressure,21,57.252281,1.588034,2.301653,0.424587,0.0,0.572523
baseline_pressure,22,56.980479,1.590813,2.290091,0.427477,0.0,0.569805
baseline_pressure,23,56.724783,1.593327,2.279219,0.430195,0.0,0.567248
baseline_pressure,24,56.484149,1.595605,2.268991,0.432752,0.0,0.564841
baseline_pressure,25,56.257613,1.597671,2.259366,0.435159,0.0,0.562576
baseline_pressure,26,56.04428,1.599547,2.250305,0.437424,0.0,0.560443
baseline_pressure,27,55.843319,1.601253,2.241771,0.439557,0.0,0.558433
baseline_pressure,28,55.653959,1.602806,2.233733,0.441567,0.0,0.55654
baseline_pressure,29,55.475482,1.604221,2.226158,0.44346,0.0,0.554755
baseline_pressure,30,55.307221,1.605512,2.219019,0.445245,0.0,0.553072
baseline_pressure,31,55.148551,1.606692,2.212289,0.446928,0.0,0.551486
baseline_pressure,32,54.998894,1.60777,2.205942,0.448514,0.0,0.549989
baseline_pressure,33,54.857706,1.608757,2.199956,0.450011,0.0,0.548577
baseline_pressure,34,54.724483,1.609662,2.194308,0.451423,0.0,0.547245
baseline_pressure,35,54.59875,1.610492,2.188979,0.452755,0.0,0.545988
baseline_pressure,36,54.480066,1.611253,2.18395,0.454012,0.0,0.544801
baseline_pressure,37,54.368017,1.611954,2.179203,0.455199,0.0,0.54368
baseline_pressure,38,54.262214,1.612598,2.174721,0.45632,0.0,0.542622
baseline_pressure,39,54.162295,1.613192,2.170489,0.457378,0.0,0.541623
baseline_pressure,40,54.067919,1.613739,2.166492,0.458377,0.0,0.540679
baseline_pressure,41,53.978767,1.614244,2.162717,0.459321,0.0,0.539788
baseline_pressure,42,53.894539,1.61471,2.159151,0.460212,0.0,0.538945
baseline_pressure,43,53.814953,1.615141,2.155782,0.461055,0.0,0.53815
baseline_pressure,44,53.739746,1.61554,2.152598,0.46185,0.0,0.537397
baseline_pressure,45,53.668668,1.615909,2.14959,0.462603,0.0,0.536687
baseline_pressure,46,53.601486,1.616252,2.146747,0.463313,0.0,0.536015
baseline_pressure,47,53.537981,1.616569,2.144059,0.463985,0.0,0.53538
baseline_pressure,48,53.477945,1.616864,2.141519,0.46462,0.0,0.534779
baseline_pressure,49,53.421186,1.617138,2.139118,0.465221,0.0,0.534212
baseline_pressure,50,53.367518,1.617392,2.136847,0.465788,0.0,0.533675
baseline_pressure,51,53.316771,1.617629,2.134701,0.466325,0.0,0.533168
baseline_pressure,52,53.268782,1.617849,2.132671,0.466832,0.0,0.532688
baseline_pressure,53,53.223398,1.618055,2.130751,0.467312,0.0,0.532234
baseline_pressure,54,53.180474,1.618246,2.128936,0.467766,0.0,0.531805
baseline_pressure,55,53.139875,1.618425,2.127219,0.468195,0.0,0.531399
baseline_pressure,56,53.101473,1.618592,2.125595,0.468601,0.0,0.531015
baseline_pressure,57,53.065147,1.618748,2.124059,0.468985,0.0,0.530651
baseline_pressure,58,53.030783,1.618893,2.122606,0.469349,0.0,0.530308
baseline_pressure,59,52.998273,1.619029,2.121231,0.469692,0.0,0.529983
baseline_pressure,60,52.967516,1.619157,2.119931,0.470017,0.0,0.529675
