scenario,time,stock,regeneration,extraction,restoration,disturbance,resilience_index
baseline_pressure,1,68.865000,1.365000,2.800000,0.300000,0.000000,0.688650
baseline_pressure,2,67.815423,1.393673,2.754600,0.311350,0.000000,0.678154
baseline_pressure,3,66.843348,1.418697,2.712617,0.321846,0.000000,0.668433
baseline_pressure,4,65.941777,1.440596,2.673734,0.331567,0.000000,0.659418
baseline_pressure,5,65.104497,1.459809,2.637671,0.340582,0.000000,0.651045
baseline_pressure,6,64.325977,1.476705,2.604180,0.348955,0.000000,0.643260
baseline_pressure,7,63.601277,1.491598,2.573039,0.356740,0.000000,0.636013
baseline_pressure,8,62.925966,1.504753,2.544051,0.363987,0.000000,0.629260
baseline_pressure,9,62.296066,1.516398,2.517039,0.370740,0.000000,0.622961
baseline_pressure,10,61.707987,1.526724,2.491843,0.377039,0.000000,0.617080
baseline_pressure,11,61.158487,1.535900,2.468319,0.382920,0.000000,0.611585
baseline_pressure,12,60.644630,1.544067,2.446339,0.388415,0.000000,0.606446
baseline_pressure,13,60.163748,1.551350,2.425785,0.393554,0.000000,0.601637
baseline_pressure,14,59.713415,1.557854,2.406550,0.398363,0.000000,0.597134
baseline_pressure,15,59.291416,1.563672,2.388537,0.402866,0.000000,0.592914
baseline_pressure,16,58.895731,1.568885,2.371657,0.407086,0.000000,0.588957
baseline_pressure,17,58.524507,1.573563,2.355829,0.411043,0.000000,0.585245
baseline_pressure,18,58.176048,1.577766,2.340980,0.414755,0.000000,0.581760
baseline_pressure,19,57.848795,1.581549,2.327042,0.418240,0.000000,0.578488
baseline_pressure,20,57.541313,1.584958,2.313952,0.421512,0.000000,0.575413
baseline_pressure,21,57.252281,1.588034,2.301653,0.424587,0.000000,0.572523
baseline_pressure,22,56.980479,1.590813,2.290091,0.427477,0.000000,0.569805
baseline_pressure,23,56.724783,1.593327,2.279219,0.430195,0.000000,0.567248
baseline_pressure,24,56.484149,1.595605,2.268991,0.432752,0.000000,0.564841
baseline_pressure,25,56.257613,1.597671,2.259366,0.435159,0.000000,0.562576
baseline_pressure,26,56.044280,1.599547,2.250305,0.437424,0.000000,0.560443
baseline_pressure,27,55.843319,1.601253,2.241771,0.439557,0.000000,0.558433
baseline_pressure,28,55.653959,1.602806,2.233733,0.441567,0.000000,0.556540
baseline_pressure,29,55.475482,1.604221,2.226158,0.443460,0.000000,0.554755
