scenario,time,active_load,concentration,decay_loss,flow_loss,exposure_weight,exposure,cumulative_exposure,intervention_active
baseline_pressure,1,4.2,11.322,0.42,0.3,1.0,11.322,11.322,0
baseline_pressure,2,4.2,10.68468,0.39627,0.28305,1.0,10.68468,22.00668,0
baseline_pressure,3,4.2,10.085599,0.373964,0.267117,1.0,10.085599,32.092279,0
baseline_pressure,4,4.2,9.522463,0.352996,0.25214,1.0,9.522463,41.614742,0
baseline_pressure,5,4.2,8.993115,0.333286,0.238062,1.0,8.993115,50.607858,0
baseline_pressure,6,4.2,8.495529,0.314759,0.224828,1.0,8.495529,59.103386,0
baseline_pressure,7,4.2,8.027797,0.297343,0.212388,1.0,8.027797,67.131183,0
baseline_pressure,8,4.2,7.588129,0.280973,0.200695,1.0,7.588129,74.719312,0
baseline_pressure,9,4.2,7.174841,0.265585,0.189703,1.0,7.174841,81.894154,0
baseline_pressure,10,4.2,6.786351,0.251119,0.179371,1.0,6.786351,88.680504,0
baseline_pressure,11,4.2,6.42117,0.237522,0.169659,1.0,6.42117,95.101674,0
baseline_pressure,12,4.2,6.0779,0.224741,0.160529,1.0,6.0779,101.179574,0
baseline_pressure,13,4.2,5.755226,0.212726,0.151947,1.0,5.755226,106.934799,0
baseline_pressure,14,4.2,5.451912,0.201433,0.143881,1.0,5.451912,112.386711,0
baseline_pressure,15,4.2,5.166797,0.190817,0.136298,1.0,5.166797,117.553509,0
baseline_pressure,16,4.2,4.898789,0.180838,0.12917,1.0,4.898789,122.452298,0
baseline_pressure,17,4.2,4.646862,0.171458,0.12247,1.0,4.646862,127.09916,0
baseline_pressure,18,4.2,4.41005,0.16264,0.116172,1.0,4.41005,131.509211,0
baseline_pressure,19,4.2,4.187447,0.154352,0.110251,1.0,4.187447,135.696658,0
baseline_pressure,20,4.2,3.978201,0.146561,0.104686,1.0,3.978201,139.674858,0
baseline_pressure,21,4.2,3.781508,0.139237,0.099455,1.0,3.781508,143.456367,0
baseline_pressure,22,4.2,3.596618,0.132353,0.094538,1.0,3.596618,147.052985,0
baseline_pressure,23,4.2,3.422821,0.125882,0.089915,1.0,3.422821,150.475806,0
baseline_pressure,24,4.2,3.259452,0.119799,0.085571,1.0,3.259452,153.735257,0
baseline_pressure,25,4.2,3.105885,0.114081,0.081486,1.0,3.105885,156.841142,0
baseline_pressure,26,4.2,2.961531,0.108706,0.077647,1.0,2.961531,159.802674,0
baseline_pressure,27,4.2,2.82584,0.103654,0.074038,1.0,2.82584,162.628513,0
baseline_pressure,28,4.2,2.698289,0.098904,0.070646,1.0,2.698289,165.326802,0
baseline_pressure,29,4.2,2.578392,0.09444,0.067457,1.0,2.578392,167.905194,0
baseline_pressure,30,4.2,2.465688,0.090244,0.06446,1.0,2.465688,170.370883,0
baseline_pressure,31,4.2,2.359747,0.086299,0.061642,1.0,2.359747,172.73063,0
baseline_pressure,32,4.2,2.260162,0.082591,0.058994,1.0,2.260162,174.990792,0
baseline_pressure,33,4.2,2.166552,0.079106,0.056504,1.0,2.166552,177.157344,0
baseline_pressure,34,4.2,2.078559,0.075829,0.054164,1.0,2.078559,179.235904,0
baseline_pressure,35,4.2,1.995846,0.07275,0.051964,1.0,1.995846,181.231749,0
baseline_pressure,36,4.2,1.918095,0.069855,0.049896,1.0,1.918095,183.149844,0
baseline_pressure,37,4.2,1.845009,0.067133,0.047952,1.0,1.845009,184.994854,0
baseline_pressure,38,4.2,1.776309,0.064575,0.046125,1.0,1.776309,186.771163,0
baseline_pressure,39,4.2,1.71173,0.062171,0.044408,1.0,1.71173,188.482893,0
baseline_pressure,40,4.2,1.651026,0.059911,0.042793,1.0,1.651026,190.133919,0
baseline_pressure,41,4.2,1.593965,0.057786,0.041276,1.0,1.593965,191.727884,0
baseline_pressure,42,4.2,1.540327,0.055789,0.039849,1.0,1.540327,193.268211,0
baseline_pressure,43,4.2,1.489907,0.053911,0.038508,1.0,1.489907,194.758118,0
baseline_pressure,44,4.2,1.442513,0.052147,0.037248,1.0,1.442513,196.200631,0
baseline_pressure,45,4.2,1.397962,0.050488,0.036063,1.0,1.397962,197.598593,0
baseline_pressure,46,4.2,1.356084,0.048929,0.034949,1.0,1.356084,198.954678,0
baseline_pressure,47,4.2,1.316719,0.047463,0.033902,1.0,1.316719,200.271397,0
baseline_pressure,48,4.2,1.279716,0.046085,0.032918,1.0,1.279716,201.551113,0
baseline_pressure,49,4.2,1.244933,0.04479,0.031993,1.0,1.244933,202.796046,0
baseline_pressure,50,4.2,1.212237,0.043573,0.031123,1.0,1.212237,204.008284,0
baseline_pressure,51,4.2,1.181503,0.042428,0.030306,1.0,1.181503,205.189787,0
baseline_pressure,52,4.2,1.152613,0.041353,0.029538,1.0,1.152613,206.342399,0
baseline_pressure,53,4.2,1.125456,0.040341,0.028815,1.0,1.125456,207.467856,0
baseline_pressure,54,4.2,1.099929,0.039391,0.028136,1.0,1.099929,208.567784,0
baseline_pressure,55,4.2,1.075933,0.038498,0.027498,1.0,1.075933,209.643717,0
baseline_pressure,56,4.2,1.053377,0.037658,0.026898,1.0,1.053377,210.697094,0
baseline_pressure,57,4.2,1.032174,0.036868,0.026334,1.0,1.032174,211.729268,0
baseline_pressure,58,4.2,1.012244,0.036126,0.025804,1.0,1.012244,212.741512,0
baseline_pressure,59,4.2,0.993509,0.035429,0.025306,1.0,0.993509,213.735022,0
baseline_pressure,60,4.2,0.975899,0.034773,0.024838,1.0,0.975899,214.71092,0
baseline_pressure,61,4.2,0.959345,0.034156,0.024397,1.0,0.959345,215.670265,0
baseline_pressure,62,4.2,0.943784,0.033577,0.023984,1.0,0.943784,216.614049,0
baseline_pressure,63,4.2,0.929157,0.033032,0.023595,1.0,0.929157,217.543206,0
baseline_pressure,64,4.2,0.915408,0.03252,0.023229,1.0,0.915408,218.458614,0
baseline_pressure,65,4.2,0.902483,0.032039,0.022885,1.0,0.902483,219.361097,0
baseline_pressure,66,4.2,0.890334,0.031587,0.022562,1.0,0.890334,220.251431,0
baseline_pressure,67,4.2,0.878914,0.031162,0.022258,1.0,0.878914,221.130345,0
baseline_pressure,68,4.2,0.868179,0.030762,0.021973,1.0,0.868179,221.998525,0
baseline_pressure,69,4.2,0.858089,0.030386,0.021704,1.0,0.858089,222.856613,0
baseline_pressure,70,4.2,0.848603,0.030033,0.021452,1.0,0.848603,223.705216,1
baseline_pressure,71,4.2,0.839687,0.029701,0.021215,1.0,0.839687,224.544903,1
baseline_pressure,72,4.2,0.831306,0.029389,0.020992,1.0,0.831306,225.376209,1
baseline_pressure,73,4.2,0.823427,0.029096,0.020783,1.0,0.823427,226.199637,1
baseline_pressure,74,4.2,0.816022,0.02882,0.020586,1.0,0.816022,227.015658,1
baseline_pressure,75,4.2,0.80906,0.028561,0.020401,1.0,0.80906,227.824719,1
baseline_pressure,76,4.2,0.802517,0.028317,0.020227,1.0,0.802517,228.627236,1
baseline_pressure,77,4.2,0.796366,0.028088,0.020063,1.0,0.796366,229.423602,1
baseline_pressure,78,4.2,0.790584,0.027873,0.019909,1.0,0.790584,230.214186,1
