time,stock,regeneration,extraction,restoration,disturbance,resilience_index
1,   68.865000,    1.365000,    2.800000,    0.300000,    0.000000,    0.688650
2,   67.815423,    1.393673,    2.754600,    0.311350,    0.000000,    0.678154
3,   66.843348,    1.418697,    2.712617,    0.321846,    0.000000,    0.668433
4,   65.941777,    1.440596,    2.673734,    0.331567,    0.000000,    0.659418
5,   65.104497,    1.459809,    2.637671,    0.340582,    0.000000,    0.651045
6,   64.325977,    1.476705,    2.604180,    0.348955,    0.000000,    0.643260
7,   63.601277,    1.491598,    2.573039,    0.356740,    0.000000,    0.636013
8,   62.925966,    1.504753,    2.544051,    0.363987,    0.000000,    0.629260
9,   62.296066,    1.516398,    2.517039,    0.370740,    0.000000,    0.622961
10,   61.707987,    1.526724,    2.491843,    0.377039,    0.000000,    0.617080
11,   61.158487,    1.535900,    2.468319,    0.382920,    0.000000,    0.611585
12,   60.644630,    1.544067,    2.446339,    0.388415,    0.000000,    0.606446
13,   60.163748,    1.551350,    2.425785,    0.393554,    0.000000,    0.601637
14,   59.713415,    1.557854,    2.406550,    0.398363,    0.000000,    0.597134
15,   59.291416,    1.563672,    2.388537,    0.402866,    0.000000,    0.592914
16,   58.895731,    1.568885,    2.371657,    0.407086,    0.000000,    0.588957
17,   58.524507,    1.573563,    2.355829,    0.411043,    0.000000,    0.585245
18,   58.176048,    1.577766,    2.340980,    0.414755,    0.000000,    0.581760
19,   57.848795,    1.581549,    2.327042,    0.418240,    0.000000,    0.578488
20,   57.541313,    1.584958,    2.313952,    0.421512,    0.000000,    0.575413
21,   57.252281,    1.588034,    2.301653,    0.424587,    0.000000,    0.572523
22,   56.980479,    1.590813,    2.290091,    0.427477,    0.000000,    0.569805
23,   56.724783,    1.593327,    2.279219,    0.430195,    0.000000,    0.567248
24,   56.484149,    1.595605,    2.268991,    0.432752,    0.000000,    0.564841
25,   56.257613,    1.597671,    2.259366,    0.435159,    0.000000,    0.562576
26,   56.044280,    1.599547,    2.250305,    0.437424,    0.000000,    0.560443
27,   55.843319,    1.601253,    2.241771,    0.439557,    0.000000,    0.558433
28,   55.653959,    1.602806,    2.233733,    0.441567,    0.000000,    0.556540
29,   55.475482,    1.604221,    2.226158,    0.443460,    0.000000,    0.554755
30,   55.307221,    1.605512,    2.219019,    0.445245,    0.000000,    0.553072
31,   55.148551,    1.606692,    2.212289,    0.446928,    0.000000,    0.551486
32,   54.998894,    1.607770,    2.205942,    0.448514,    0.000000,    0.549989
33,   54.857706,    1.608757,    2.199956,    0.450011,    0.000000,    0.548577
34,   54.724483,    1.609662,    2.194308,    0.451423,    0.000000,    0.547245
35,   54.598750,    1.610492,    2.188979,    0.452755,    0.000000,    0.545988
36,   54.480066,    1.611253,    2.183950,    0.454012,    0.000000,    0.544801
37,   54.368017,    1.611954,    2.179203,    0.455199,    0.000000,    0.543680
38,   54.262214,    1.612598,    2.174721,    0.456320,    0.000000,    0.542622
39,   54.162295,    1.613192,    2.170489,    0.457378,    0.000000,    0.541623
40,   54.067919,    1.613739,    2.166492,    0.458377,    0.000000,    0.540679
41,   53.978767,    1.614244,    2.162717,    0.459321,    0.000000,    0.539788
42,   53.894539,    1.614710,    2.159151,    0.460212,    0.000000,    0.538945
43,   53.814953,    1.615141,    2.155782,    0.461055,    0.000000,    0.538150
44,   53.739746,    1.615540,    2.152598,    0.461850,    0.000000,    0.537397
45,   53.668668,    1.615909,    2.149590,    0.462603,    0.000000,    0.536687
46,   53.601486,    1.616252,    2.146747,    0.463313,    0.000000,    0.536015
47,   53.537981,    1.616569,    2.144059,    0.463985,    0.000000,    0.535380
48,   53.477945,    1.616864,    2.141519,    0.464620,    0.000000,    0.534779
