pathway,year,energy_demand,clean_energy_share,emissions_intensity,annual_emissions,cumulative_emissions,climate_stress,adaptation_capacity,climate_damages,transition_cost,land_pressure,water_stress,equity_score,sustainability_score,land_breach,water_breach,equity_breach
baseline_continuation,0,1.0,0.22,0.5616,0.5616,0.5616,0.190109,0.282099,0.010897,0.012,0.419,0.435143,0.487443,0.056812,False,False,False
baseline_continuation,1,1.014,0.23,0.5544,0.562162,1.123762,0.200228,0.284097,0.012055,0.012,0.42402,0.440544,0.487188,0.058091,False,False,False
baseline_continuation,2,1.028196,0.24,0.5472,0.562629,1.68639,0.210355,0.285993,0.01327,0.012,0.429075,0.445993,0.486921,0.059353,False,False,False
baseline_continuation,3,1.042591,0.25,0.54,0.562999,2.249389,0.220489,0.287788,0.014542,0.012,0.434166,0.45149,0.486641,0.060598,False,False,False
baseline_continuation,4,1.057187,0.26,0.5328,0.563269,2.812659,0.230628,0.289482,0.015873,0.012,0.439294,0.457036,0.486348,0.061827,False,False,False
baseline_continuation,5,1.071988,0.27,0.5256,0.563437,3.376095,0.24077,0.291074,0.017261,0.012,0.444458,0.462629,0.486043,0.06304,False,False,False
baseline_continuation,6,1.086995,0.28,0.5184,0.563498,3.939594,0.250913,0.292565,0.018706,0.012,0.449659,0.46827,0.485725,0.064237,False,False,False
baseline_continuation,7,1.102213,0.29,0.5112,0.563451,4.503045,0.261055,0.293955,0.020209,0.012,0.454898,0.473959,0.485394,0.06542,False,False,False
baseline_continuation,8,1.117644,0.3,0.504,0.563293,5.066338,0.271194,0.295243,0.02177,0.012,0.460176,0.479695,0.485051,0.066587,False,False,False
baseline_continuation,9,1.133291,0.31,0.4968,0.563019,5.629357,0.281328,0.296429,0.023388,0.012,0.465492,0.485478,0.484695,0.067741,False,False,False
baseline_continuation,10,1.149157,0.32,0.4896,0.562628,6.191985,0.291456,0.297515,0.025063,0.012,0.470848,0.491308,0.484326,0.068881,False,False,False
baseline_continuation,11,1.165246,0.33,0.4824,0.562115,6.754099,0.301574,0.298499,0.026796,0.012,0.476244,0.497185,0.483945,0.070007,False,False,False
baseline_continuation,12,1.181559,0.34,0.4752,0.561477,7.315576,0.31168,0.299382,0.028586,0.012,0.481681,0.503107,0.483551,0.071121,False,False,False
baseline_continuation,13,1.198101,0.35,0.468,0.560711,7.876287,0.321773,0.300164,0.030433,0.012,0.487158,0.509076,0.483145,0.072223,False,False,False
