time,state,perceived_state,target,intervention,counterresponse
1,   80.000000,   80.000000,   50.000000,    0.000000,    0.000000
2,   79.824000,   80.000000,   50.000000,    7.200000,    3.024000
3,   79.643600,   79.903200,   50.000000,    7.200000,    3.024000
4,   79.458690,   79.760420,   50.000000,    7.200000,    3.024000
5,   79.269157,   79.594468,   50.000000,    7.200000,    3.024000
6,   79.074886,   79.415547,   50.000000,    7.200000,    3.024000
7,   78.875758,   79.228184,   50.000000,    7.200000,    3.024000
8,   78.671652,   79.034350,   50.000000,    7.200000,    3.024000
9,   78.475918,   78.834866,   50.000000,    7.176768,    3.014243
10,   78.295166,   78.637445,   50.000000,    7.142501,    2.999850
11,   78.132995,   78.449191,   50.000000,    7.102672,    2.983122
12,   77.991675,   78.275283,   50.000000,    7.059731,    2.965087
13,   77.872904,   78.119299,   50.000000,    7.014764,    2.946201
14,   77.778145,   77.983782,   50.000000,    6.968244,    2.926662
15,   77.708786,   77.870682,   50.000000,    6.920368,    2.906555
16,   77.665173,   77.781639,   50.000000,    6.872987,    2.886654
17,   77.646675,   77.717583,   50.000000,    6.827806,    2.867678
18,   77.651922,   77.678583,   50.000000,    6.786068,    2.850149
19,   77.679014,   77.663920,   50.000000,    6.748632,    2.834425
20,   77.725647,   77.672222,   50.000000,    6.716108,    2.820765
21,   77.789189,   77.701605,   50.000000,    6.688964,    2.809365
22,   77.866715,   77.749776,   50.000000,    6.667593,    2.800389
23,   77.955095,   77.814092,   50.000000,    6.652220,    2.793932
24,   78.051114,   77.891644,   50.000000,    6.642860,    2.790001
25,   78.151574,   77.979352,   50.000000,    6.639341,    2.788523
26,   78.253390,   78.074074,   50.000000,    6.641333,    2.789360
27,   78.353661,   78.172698,   50.000000,    6.648385,    2.792322
28,   78.449734,   78.272228,   50.000000,    6.659946,    2.797177
29,   78.539256,   78.369856,   50.000000,    6.675382,    2.803661
30,   78.620220,   78.463026,   50.000000,    6.693995,    2.811478
31,   78.691000,   78.549483,   50.000000,    6.715045,    2.820319
32,   78.750364,   78.627317,   50.000000,    6.737778,    2.829867
33,   78.797483,   78.694993,   50.000000,    6.761447,    2.839808
34,   78.831926,   78.751362,   50.000000,    6.785335,    2.849841
35,   78.853640,   78.795673,   50.000000,    6.808765,    2.859681
36,   78.862928,   78.827555,   50.000000,    6.831126,    2.869073
37,   78.860413,   78.847010,   50.000000,    6.851876,    2.877788
38,   78.847001,   78.854382,   50.000000,    6.870556,    2.885634
39,   78.823833,   78.850323,   50.000000,    6.886798,    2.892455
40,   78.792239,   78.835753,   50.000000,    6.900327,    2.898137
41,   78.753688,   78.811821,   50.000000,    6.910961,    2.902604
42,   78.709734,   78.779848,   50.000000,    6.918613,    2.905818
43,   78.661974,   78.741285,   50.000000,    6.923282,    2.907779
44,   78.611993,   78.697664,   50.000000,    6.925052,    2.908522
45,   78.561328,   78.650545,   50.000000,    6.924077,    2.908113
46,   78.511425,   78.601476,   50.000000,    6.920581,    2.906644
47,   78.463605,   78.551948,   50.000000,    6.914837,    2.904232
48,   78.419040,   78.503359,   50.000000,    6.907163,    2.901009
49,   78.378729,   78.456984,   50.000000,    6.897908,    2.897122
50,   78.343483,   78.413944,   50.000000,    6.887439,    2.892725
51,   78.313914,   78.375190,   50.000000,    6.876131,    2.887975
52,   78.290436,   78.341488,   50.000000,    6.864354,    2.883029
53,   78.273266,   78.313409,   50.000000,    6.852467,    2.878036
54,   78.262430,   78.291331,   50.000000,    6.840806,    2.873139
55,   78.257779,   78.275435,   50.000000,    6.829676,    2.868464
56,   78.259002,   78.265724,   50.000000,    6.819346,    2.864126
57,   78.265651,   78.262027,   50.000000,    6.810046,    2.860219
58,   78.277157,   78.264020,   50.000000,    6.801957,    2.856822
59,   78.292859,   78.271245,   50.000000,    6.795218,    2.853992
60,   78.312027,   78.283133,   50.000000,    6.789919,    2.851766
61,   78.333888,   78.299025,   50.000000,    6.786104,    2.850164
62,   78.357646,   78.318199,   50.000000,    6.783774,    2.849185
63,   78.382513,   78.339895,   50.000000,    6.782886,    2.848812
64,   78.407724,   78.363335,   50.000000,    6.783365,    2.849013
65,   78.432560,   78.387749,   50.000000,    6.785099,    2.849742
66,   78.456362,   78.412395,   50.000000,    6.787952,    2.850940
67,   78.478547,   78.436577,   50.000000,    6.791766,    2.852542
68,   78.498617,   78.459660,   50.000000,    6.796368,    2.854474
69,   78.516169,   78.481086,   50.000000,    6.801575,    2.856661
70,   78.530897,   78.500382,   50.000000,    6.807200,    2.859024
