scenario,time,state,perceived_state,target,intervention,counterresponse
timely_moderate_response,1,80.000000,80.000000,50.000000,0.000000,0.000000
timely_moderate_response,2,78.600000,80.000000,50.000000,5.400000,0.000000
timely_moderate_response,3,77.165000,78.950000,50.000000,5.400000,0.000000
timely_moderate_response,4,75.883125,77.611250,50.000000,5.211000,0.000000
timely_moderate_response,5,74.810178,76.315156,50.000000,4.970025,0.000000
timely_moderate_response,6,73.943704,75.186423,50.000000,4.736728,0.000000
timely_moderate_response,7,73.258741,74.254384,50.000000,4.533556,0.000000
timely_moderate_response,8,72.724420,73.507652,50.000000,4.365789,0.000000
timely_moderate_response,9,72.311154,72.920228,50.000000,4.231377,0.000000
timely_moderate_response,10,71.993291,72.463422,50.000000,4.125641,0.000000
timely_moderate_response,11,71.749708,72.110824,50.000000,4.043416,0.000000
timely_moderate_response,12,71.563502,71.839987,50.000000,3.979948,0.000000
timely_moderate_response,13,71.421392,71.632623,50.000000,3.931198,0.000000
timely_moderate_response,14,71.313055,71.474200,50.000000,3.893872,0.000000
timely_moderate_response,15,71.230525,71.353341,50.000000,3.865356,0.000000
timely_moderate_response,16,71.167687,71.261229,50.000000,3.843601,0.000000
timely_moderate_response,17,71.119858,71.191072,50.000000,3.827021,0.000000
timely_moderate_response,18,71.083461,71.137661,50.000000,3.814393,0.000000
timely_moderate_response,19,71.055769,71.097011,50.000000,3.804779,0.000000
timely_moderate_response,20,71.034701,71.066079,50.000000,3.797462,0.000000
timely_moderate_response,21,71.018674,71.042545,50.000000,3.791894,0.000000
timely_moderate_response,22,71.006483,71.024642,50.000000,3.787658,0.000000
timely_moderate_response,23,70.997209,71.011023,50.000000,3.784436,0.000000
timely_moderate_response,24,70.990155,71.000663,50.000000,3.781984,0.000000
timely_moderate_response,25,70.984790,70.992782,50.000000,3.780119,0.000000
timely_moderate_response,26,70.980709,70.986788,50.000000,3.778701,0.000000
timely_moderate_response,27,70.977605,70.982229,50.000000,3.777622,0.000000
timely_moderate_response,28,70.975244,70.978761,50.000000,3.776801,0.000000
timely_moderate_response,29,70.973448,70.976123,50.000000,3.776177,0.000000
timely_moderate_response,30,70.972082,70.974117,50.000000,3.775702,0.000000
timely_moderate_response,31,70.971043,70.972591,50.000000,3.775341,0.000000
timely_moderate_response,32,70.970253,70.971430,50.000000,3.775066,0.000000
timely_moderate_response,33,70.969652,70.970547,50.000000,3.774857,0.000000
timely_moderate_response,34,70.969195,70.969876,50.000000,3.774698,0.000000
timely_moderate_response,35,70.968847,70.969365,50.000000,3.774578,0.000000
timely_moderate_response,36,70.968582,70.968976,50.000000,3.774486,0.000000
timely_moderate_response,37,70.968381,70.968681,50.000000,3.774416,0.000000
timely_moderate_response,38,70.968228,70.968456,50.000000,3.774363,0.000000
timely_moderate_response,39,70.968112,70.968285,50.000000,3.774322,0.000000
timely_moderate_response,40,70.968023,70.968155,50.000000,3.774291,0.000000
timely_moderate_response,41,70.967956,70.968056,50.000000,3.774268,0.000000
timely_moderate_response,42,70.967905,70.967981,50.000000,3.774250,0.000000
timely_moderate_response,43,70.967866,70.967924,50.000000,3.774237,0.000000
timely_moderate_response,44,70.967836,70.967880,50.000000,3.774226,0.000000
timely_moderate_response,45,70.967814,70.967847,50.000000,3.774218,0.000000
timely_moderate_response,46,70.967796,70.967822,50.000000,3.774212,0.000000
