scenario,time,state,perceived_state,target,intervention,counterresponse,target_gap,delay,correction_strength,counterresponse_strength,perception_smoothing,natural_pressure_base,natural_pressure_slope
timely_moderate_response,1,80.0,80.0,50.0,0.0,0.0,30.0,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,2,78.6,80.0,50.0,5.4,0.0,28.6,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,3,77.165,78.95,50.0,5.4,0.0,27.165,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,4,75.883125,77.61125,50.0,5.211,0.0,25.883125,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,5,74.810178,76.315156,50.0,4.970025,0.0,24.810178,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,6,73.943704,75.186423,50.0,4.736728,0.0,23.943704,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,7,73.258741,74.254384,50.0,4.533556,0.0,23.258741,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,8,72.72442,73.507652,50.0,4.365789,0.0,22.72442,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,9,72.311154,72.920228,50.0,4.231377,0.0,22.311154,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,10,71.993291,72.463422,50.0,4.125641,0.0,21.993291,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,11,71.749708,72.110824,50.0,4.043416,0.0,21.749708,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,12,71.563502,71.839987,50.0,3.979948,0.0,21.563502,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,13,71.421392,71.632623,50.0,3.931198,0.0,21.421392,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,14,71.313055,71.4742,50.0,3.893872,0.0,21.313055,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,15,71.230525,71.353341,50.0,3.865356,0.0,21.230525,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,16,71.167687,71.261229,50.0,3.843601,0.0,21.167687,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,17,71.119858,71.191072,50.0,3.827021,0.0,21.119858,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,18,71.083461,71.137661,50.0,3.814393,0.0,21.083461,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,19,71.055769,71.097011,50.0,3.804779,0.0,21.055769,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,20,71.034701,71.066079,50.0,3.797462,0.0,21.034701,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,21,71.018674,71.042545,50.0,3.791894,0.0,21.018674,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,22,71.006483,71.024642,50.0,3.787658,0.0,21.006483,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,23,70.997209,71.011023,50.0,3.784436,0.0,20.997209,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,24,70.990155,71.000663,50.0,3.781984,0.0,20.990155,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,25,70.98479,70.992782,50.0,3.780119,0.0,20.98479,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,26,70.980709,70.986788,50.0,3.778701,0.0,20.980709,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,27,70.977605,70.982229,50.0,3.777622,0.0,20.977605,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,28,70.975244,70.978761,50.0,3.776801,0.0,20.975244,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,29,70.973448,70.976123,50.0,3.776177,0.0,20.973448,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,30,70.972082,70.974117,50.0,3.775702,0.0,20.972082,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,31,70.971043,70.972591,50.0,3.775341,0.0,20.971043,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,32,70.970253,70.97143,50.0,3.775066,0.0,20.970253,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,33,70.969652,70.970547,50.0,3.774857,0.0,20.969652,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,34,70.969195,70.969876,50.0,3.774698,0.0,20.969195,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,35,70.968847,70.969365,50.0,3.774578,0.0,20.968847,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,36,70.968582,70.968976,50.0,3.774486,0.0,20.968582,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,37,70.968381,70.968681,50.0,3.774416,0.0,20.968381,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,38,70.968228,70.968456,50.0,3.774363,0.0,20.968228,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,39,70.968112,70.968285,50.0,3.774322,0.0,20.968112,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,40,70.968023,70.968155,50.0,3.774291,0.0,20.968023,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,41,70.967956,70.968056,50.0,3.774268,0.0,20.967956,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,42,70.967905,70.967981,50.0,3.77425,0.0,20.967905,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,43,70.967866,70.967924,50.0,3.774237,0.0,20.967866,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,44,70.967836,70.96788,50.0,3.774226,0.0,20.967836,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,45,70.967814,70.967847,50.0,3.774218,0.0,20.967814,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,46,70.967796,70.967822,50.0,3.774212,0.0,20.967796,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,47,70.967783,70.967803,50.0,3.774208,0.0,20.967783,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,48,70.967773,70.967788,50.0,3.774205,0.0,20.967773,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,49,70.967766,70.967777,50.0,3.774202,0.0,20.967766,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,50,70.96776,70.967769,50.0,3.7742,0.0,20.96776,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,51,70.967756,70.967762,50.0,3.774198,0.0,20.967756,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,52,70.967752,70.967757,50.0,3.774197,0.0,20.967752,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,53,70.96775,70.967754,50.0,3.774196,0.0,20.96775,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,54,70.967748,70.967751,50.0,3.774196,0.0,20.967748,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,55,70.967747,70.967749,50.0,3.774195,0.0,20.967747,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,56,70.967745,70.967747,50.0,3.774195,0.0,20.967745,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,57,70.967745,70.967746,50.0,3.774194,0.0,20.967745,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,58,70.967744,70.967745,50.0,3.774194,0.0,20.967744,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,59,70.967743,70.967744,50.0,3.774194,0.0,20.967743,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,60,70.967743,70.967744,50.0,3.774194,0.0,20.967743,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,61,70.967743,70.967743,50.0,3.774194,0.0,20.967743,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,62,70.967743,70.967743,50.0,3.774194,0.0,20.967743,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,63,70.967742,70.967743,50.0,3.774194,0.0,20.967742,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,64,70.967742,70.967743,50.0,3.774194,0.0,20.967742,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,65,70.967742,70.967742,50.0,3.774194,0.0,20.967742,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,66,70.967742,70.967742,50.0,3.774194,0.0,20.967742,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,67,70.967742,70.967742,50.0,3.774194,0.0,20.967742,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,68,70.967742,70.967742,50.0,3.774194,0.0,20.967742,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,69,70.967742,70.967742,50.0,3.774194,0.0,20.967742,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,70,70.967742,70.967742,50.0,3.774194,0.0,20.967742,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,71,70.967742,70.967742,50.0,3.774194,0.0,20.967742,1,0.18,0.0,0.75,2.0,0.025
timely_moderate_response,72,70.967742,70.967742,50.0,3.774194,0.0,20.967742,1,0.18,0.0,0.75,2.0,0.025
