time,baseline_state,parameter_state,feedback_state,rule_state,goal_state
1,   70.000000,   70.000000,   70.000000,   70.000000,   70.000000
2,   75.943000,   74.707000,   63.343000,   57.743000,   56.125000
3,   81.177977,   78.563553,   57.728117,   48.761957,   45.259525
4,   85.847623,   81.721435,   52.882455,   41.954698,   36.466343
5,   90.069828,   84.305251,   48.610282,   47.511088,   35.608990
6,   93.942141,   86.417294,   44.771033,   39.831975,   33.749518
7,   97.545453,   88.141538,   41.263589,   44.323654,   31.054806
8,  100.947004,   89.546917,   38.015042,   48.060640,   27.655015
9,  104.202870,   90.690008,   34.931776,   38.681792,   23.651245
10,  107.359994,   91.617247,   31.955529,   41.811926,   19.121587
11,  110.457861,   92.366740,   29.064172,   44.378053,   14.125896
12,  113.529879,   92.969752,   26.241744,   46.460504,    8.709557
13,  116.604506,   93.451930,   23.476709,   36.064973,    3.093601
14,  119.706183,   93.834309,   20.760708,   37.869044,    0.000000
15,  122.856105,   94.134133,   18.087658,   39.262002,    0.000000
16,  126.072846,   94.365533,   15.453114,   40.314199,    0.000000
17,  129.372886,   94.540084,   12.853805,   41.076122,    0.000000
18,  132.771039,   94.667260,   10.287305,   41.583686,    0.000000
19,  136.280807,   94.754809,    7.751790,   41.877072,    0.000000
20,  139.914681,   94.809058,    5.245877,   41.989034,    0.000000
21,  143.684379,   94.835170,    2.768492,   41.946213,    0.000000
22,  147.601053,   94.837347,    0.318789,   41.770223,    0.000000
23,  151.675459,   94.819003,    0.000000,   41.478536,    0.000000
24,  155.918099,   94.782901,    0.000000,   41.085213,    0.000000
25,  160.339346,   94.731268,    0.000000,   40.601498,    0.000000
26,  164.949538,   94.665892,    0.000000,   40.036312,    0.000000
27,  169.759076,   94.588195,    0.000000,   39.396652,    0.000000
28,  174.778490,   94.499297,    0.000000,   38.675492,    0.000000
29,  180.018512,   94.400071,    0.000000,   37.873054,    0.000000
30,  185.490132,   94.291180,    0.000000,   36.989018,    0.000000
31,  191.204648,   94.173117,    0.000000,   36.022029,    0.000000
32,  197.173717,   94.046232,    0.000000,   34.969809,    0.000000
33,  203.409397,   93.910750,    0.000000,   33.829240,    0.000000
34,  209.924184,   93.766799,    0.000000,   32.596435,    0.000000
35,  216.731057,   93.614418,    0.000000,   31.266780,    0.000000
36,  223.843508,   93.453574,    0.000000,   29.834965,    0.000000
37,  231.275583,   93.284170,    0.000000,   28.295003,    0.000000
38,  239.041914,   93.106052,    0.000000,   26.640236,    0.000000
39,  247.157753,   92.919019,    0.000000,   24.863332,    0.000000
40,  255.639011,   92.722827,    0.000000,   22.956276,    0.000000
41,  264.502290,   92.517192,    0.000000,   20.910344,    0.000000
42,  273.764919,   92.301795,    0.000000,   18.716084,    0.000000
43,  283.444992,   92.076281,    0.000000,   16.363281,    0.000000
44,  293.561404,   91.840266,    0.000000,   13.840918,    0.000000
45,  304.133891,   91.593336,    0.000000,   11.137131,    0.000000
46,  315.183070,   91.335046,    0.000000,    8.436646,    0.000000
47,  326.730479,   91.064924,    0.000000,    5.844180,    0.000000
48,  338.798623,   90.782467,    0.000000,    3.355413,    0.000000
49,  351.411013,   90.487148,    0.000000,    0.966197,    0.000000
50,  364.592221,   90.178406,    0.000000,    0.000000,    0.000000
51,  378.367920,   89.855656,    0.000000,    0.000000,    0.000000
52,  392.764940,   89.518279,    0.000000,    0.000000,    0.000000
53,  407.811317,   89.165628,    0.000000,    0.000000,    0.000000
54,  423.536353,   88.797025,    0.000000,    0.000000,    0.000000
55,  439.970665,   88.411757,    0.000000,    0.000000,    0.000000
56,  457.146256,   88.009080,    0.000000,    0.000000,    0.000000
