"scenario","time","state","pressure","resilience","learning_capacity","intervention","buffer_remaining"
"baseline",1,70,50,30,0,0,0
"baseline",2,76.27225,48.15,28.75,0,3.5,0
"baseline",3,81.970666705,46.889698875,27.54625,0,3.71952875,0
"baseline",4,87.2437661190923,46.1300306451975,26.374007528125,0,3.918973334675,0
"baseline",5,92.2157298040434,45.7993716700907,25.2207567619951,0,4.10353181416823,0
"baseline",6,96.991027795487,45.8404338726433,24.0757724702428,0,4.27755054314152,0
"baseline",7,101.658209398838,46.2077300791272,22.9297616234267,0,4.44468597284204,0
"baseline",8,106.254252017235,46.8372822412995,21.7745683714485,0,4.70212107895931,0
"baseline",9,110.843451287049,47.7042040995776,20.603636315416,0,4.94845882117821,0
"baseline",10,115.481661037153,48.7892686820425,19.4110312129266,0,5.18817728683312,0
"baseline",11,120.217969641946,50.077981299734,18.1912994958755,0,5.425094083361,0
"baseline",12,125.096088964589,51.559820571539,16.9393499633822,0,5.6624943544004,0
"baseline",13,130.155507466623,53.2276180726634,15.6503544490937,0,5.90323625474317,0
"baseline",14,135.432689502743,55.0772268283465,14.3196639972771,0,6.14925654159031,0
"baseline",15,140.961673759937,57.1069393485257,12.9427333265685,0,6.40279590190174,0
"baseline",16,146.774746548733,59.3171575881447,11.5150598428553,0,6.66588349715509,0
"baseline",17,152.9030102833,61.7101275677583,10.0321309031517,0,6.94038567383484,0
"baseline",18,159.376866613641,64.2897275620497,8.48937771395776,0,7.22804669438433,0
"baseline",19,166.226430275369,67.0613007528188,6.88213452490652,0,7.53052294347678,0
"baseline",20,173.481885449985,70.031523802691,5.20560200608605,0,7.84941540217906,0
"baseline",21,181.173798168774,73.2083072325598,3.45481391101877,0,8.18629109714855,0
"baseline",22,189.33339275368,76.6007216567614,1.62460623020478,0,8.54270413413808,0
"baseline",23,197.979731304762,80.2189457810138,0,0,8.92021390062829,0
"baseline",24,207.066602535978,84.0618387735945,0,0,9.31994359487129,0
"baseline",25,216.608583197626,88.0687171986225,0,0,9.74072754288977,0
"baseline",26,226.621858081829,92.2500748664803,0,0,10.1835286936667,0
"baseline",27,237.124106058947,96.6162865926064,0,0,10.6493720053956,0
"baseline",28,248.134413813617,101.177704842388,0,0,11.1393446033683,0
"baseline",29,259.673293164063,105.944800237612,0,0,11.654400453048,0
"baseline",30,271.763056643453,110.928529448076,0,0,12.1945642987819,0
"baseline",31,284.427480239825,116.140125043646,0,0,12.7608357304852,0
"baseline",32,297.691798659789,121.591150502619,0,0,13.3542896796213,0
"baseline",33,311.582713488535,127.293550500375,0,0,13.9760745439768,0
"baseline",34,326.12841255901,133.259697545748,0,0,14.627411179303,0
"baseline",35,341.358598670778,139.502435494654,0,0,15.3095938370263,0
"baseline",36,357.304524410759,146.035119166151,0,0,16.023996803129,0
"baseline",37,373.999036400432,152.871653982558,0,0,16.7720705579739,0
"baseline",38,391.47662656512,160.026534695984,0,0,17.5553432539119,0
"baseline",39,409.773489881984,167.514883643272,0,0,18.3754226321072,0
"baseline",40,428.9275881907,175.35248890684,0,0,19.2339983342546,0
"baseline",41,448.978719760434,183.555842708553,0,0,20.1328445667362,0
"baseline",42,469.968594409736,192.14218033068,0,0,21.0738230577766,0
"baseline",43,491.940914027308,201.129519804497,0,0,22.0588863503472,0
"baseline",44,514.94145841473,210.536702587174,0,0,23.0900813894326,0
"baseline",45,539.018176426736,220.383435425536,0,0,24.1695533927453,0
"baseline",46,564.221282431481,230.69033358777,0,0,25.2995499977963,0
"baseline",47,590.603358153858,241.478965630622,0,0,26.4824256815083,0
"baseline",48,618.219460000385,252.771899859177,0,0,27.7206464515311,0
