scenario,time,state,pressure,resilience,intervention
baseline,1,70.000000,50.000000,30.000000,0.000000
baseline,2,76.272250,48.150000,28.750000,3.500000
baseline,3,81.931904,46.861474,27.546250,3.813613
baseline,4,87.126527,46.048346,26.374713,4.096595
baseline,5,91.979088,45.640965,25.223505,4.356326
baseline,6,96.592534,45.583188,24.082480,4.598954
baseline,7,101.053527,45.829991,22.942901,4.829627
baseline,8,105.435529,46.345520,21.797151,5.052676
baseline,9,109.801328,47.101491,20.638513,5.271776
baseline,10,114.205122,48.075890,19.460976,5.490066
baseline,11,118.694228,49.251902,18.259078,5.710256
baseline,12,123.310499,50.617050,17.027781,5.934711
baseline,13,128.091491,52.162482,15.762355,6.165525
baseline,14,133.071428,53.882397,14.458293,6.404575
baseline,15,138.282009,55.773578,13.111233,6.653571
baseline,16,143.753079,57.835017,11.716893,6.914100
baseline,17,149.513184,60.067609,10.271018,7.187654
baseline,18,155.590050,62.473909,8.769328,7.475659
baseline,19,162.010986,65.057936,7.207480,7.779503
baseline,20,168.803220,67.825027,5.581031,8.100549
baseline,21,175.994203,70.781711,3.885406,8.440161
baseline,22,183.611869,73.935622,2.115863,8.799710
baseline,23,191.684861,77.295434,0.267472,9.180593
baseline,24,200.167819,80.870813,0.000000,9.584243
baseline,25,209.062654,84.601670,0.000000,10.008391
baseline,26,218.382714,88.485966,0.000000,10.453133
baseline,27,228.142886,92.533278,0.000000,10.919136
baseline,28,238.359496,96.753142,0.000000,11.407144
baseline,29,249.050236,101.155131,0.000000,11.917975
baseline,30,260.234117,105.748933,0.000000,12.452512
baseline,31,271.931429,110.544405,0.000000,13.011706
baseline,32,284.163731,115.551637,0.000000,13.596571
baseline,33,296.953837,120.780995,0.000000,14.208187
baseline,34,310.325828,126.243166,0.000000,14.847692
baseline,35,324.305064,131.949202,0.000000,15.516291
baseline,36,338.918208,137.910552,0.000000,16.215253
baseline,37,354.193255,144.139104,0.000000,16.945910
baseline,38,370.159571,150.647214,0.000000,17.709663
baseline,39,386.847933,157.447741,0.000000,18.507979
baseline,40,404.290581,164.554081,0.000000,19.342397
baseline,41,422.521264,171.980195,0.000000,20.214529
baseline,42,441.575308,179.740647,0.000000,21.126063
baseline,43,461.489666,187.850631,0.000000,22.078765
baseline,44,482.302997,196.326006,0.000000,23.074483
baseline,45,504.055725,205.183330,0.000000,24.115150
baseline,46,526.790124,214.439895,0.000000,25.202786
baseline,47,550.550390,224.113762,0.000000,26.339506
baseline,48,575.382728,234.223794,0.000000,27.527519
baseline,49,601.335441,244.789703,0.000000,28.769136
baseline,50,628.459020,255.832079,0.000000,30.066772
baseline,51,656.806241,267.372438,0.000000,31.422951
