scenario,time,state,pressure,resilience,learning_capacity,intervention,buffer_remaining
baseline,1,70.0,50.0,30.0,0.0,0.0,0.0
baseline,2,76.27225,48.15,28.75,0.0,3.5,0.0
baseline,3,81.970667,46.889699,27.54625,0.0,3.719529,0.0
baseline,4,87.243766,46.130031,26.374008,0.0,3.918973,0.0
baseline,5,92.21573,45.799372,25.220757,0.0,4.103532,0.0
baseline,6,96.991028,45.840434,24.075772,0.0,4.277551,0.0
baseline,7,101.658209,46.20773,22.929762,0.0,4.444686,0.0
baseline,8,106.254252,46.837282,21.774568,0.0,4.702121,0.0
baseline,9,110.843451,47.704204,20.603636,0.0,4.948459,0.0
baseline,10,115.481661,48.789269,19.411031,0.0,5.188177,0.0
baseline,11,120.21797,50.077981,18.191299,0.0,5.425094,0.0
baseline,12,125.096089,51.559821,16.93935,0.0,5.662494,0.0
baseline,13,130.155507,53.227618,15.650354,0.0,5.903236,0.0
baseline,14,135.43269,55.077227,14.319664,0.0,6.149257,0.0
baseline,15,140.961674,57.106939,12.942733,0.0,6.402796,0.0
baseline,16,146.774747,59.317158,11.51506,0.0,6.665883,0.0
baseline,17,152.90301,61.710128,10.032131,0.0,6.940386,0.0
baseline,18,159.376867,64.289728,8.489378,0.0,7.228047,0.0
baseline,19,166.22643,67.061301,6.882135,0.0,7.530523,0.0
baseline,20,173.481885,70.031524,5.205602,0.0,7.849415,0.0
baseline,21,181.173798,73.208307,3.454814,0.0,8.186291,0.0
baseline,22,189.333393,76.600722,1.624606,0.0,8.542704,0.0
baseline,23,197.979731,80.218946,0.0,0.0,8.920214,0.0
baseline,24,207.066603,84.061839,0.0,0.0,9.319944,0.0
baseline,25,216.608583,88.068717,0.0,0.0,9.740728,0.0
baseline,26,226.621858,92.250075,0.0,0.0,10.183529,0.0
baseline,27,237.124106,96.616287,0.0,0.0,10.649372,0.0
baseline,28,248.134414,101.177705,0.0,0.0,11.139345,0.0
baseline,29,259.673293,105.9448,0.0,0.0,11.6544,0.0
baseline,30,271.763057,110.928529,0.0,0.0,12.194564,0.0
baseline,31,284.42748,116.140125,0.0,0.0,12.760836,0.0
baseline,32,297.691799,121.591151,0.0,0.0,13.35429,0.0
baseline,33,311.582713,127.293551,0.0,0.0,13.976075,0.0
baseline,34,326.128413,133.259698,0.0,0.0,14.627411,0.0
baseline,35,341.358599,139.502435,0.0,0.0,15.309594,0.0
baseline,36,357.304524,146.035119,0.0,0.0,16.023997,0.0
baseline,37,373.999036,152.871654,0.0,0.0,16.772071,0.0
baseline,38,391.476627,160.026535,0.0,0.0,17.555343,0.0
baseline,39,409.77349,167.514884,0.0,0.0,18.375423,0.0
baseline,40,428.927588,175.352489,0.0,0.0,19.233998,0.0
baseline,41,448.97872,183.555843,0.0,0.0,20.132845,0.0
baseline,42,469.968594,192.14218,0.0,0.0,21.073823,0.0
baseline,43,491.940914,201.12952,0.0,0.0,22.058886,0.0
baseline,44,514.941458,210.536703,0.0,0.0,23.090081,0.0
baseline,45,539.018176,220.383435,0.0,0.0,24.169553,0.0
baseline,46,564.221282,230.690334,0.0,0.0,25.29955,0.0
baseline,47,590.603358,241.478966,0.0,0.0,26.482426,0.0
baseline,48,618.21946,252.7719,0.0,0.0,27.720646,0.0
baseline,49,647.127232,264.592753,0.0,0.0,29.016795,0.0
baseline,50,677.387024,276.966239,0.0,0.0,30.373575,0.0
baseline,51,709.062019,289.918223,0.0,0.0,31.793819,0.0
baseline,52,742.218358,303.475778,0.0,0.0,33.28049,0.0
baseline,53,776.925285,317.667235,0.0,0.0,34.836693,0.0
baseline,54,813.255283,332.522251,0.0,0.0,36.465677,0.0
baseline,55,851.284233,348.071865,0.0,0.0,38.170843,0.0
baseline,56,891.091563,364.348567,0.0,0.0,39.955754,0.0
baseline,57,932.760422,381.386365,0.0,0.0,41.824135,0.0
baseline,58,976.377848,399.220855,0.0,0.0,43.77989,0.0
baseline,59,1022.03495,417.889296,0.0,0.0,45.827104,0.0
baseline,60,1069.8271,437.43069,0.0,0.0,47.970052,0.0
baseline,61,1119.85413,457.885861,0.0,0.0,50.213212,0.0
baseline,62,1172.220544,479.297543,0.0,0.0,52.561268,0.0
baseline,63,1227.035731,501.710464,0.0,0.0,55.019125,0.0
baseline,64,1284.414197,525.171448,0.0,0.0,57.591918,0.0
baseline,65,1344.475803,549.729505,0.0,0.0,60.285021,0.0
baseline,66,1407.346016,575.435938,0.0,0.0,63.10406,0.0
baseline,67,1473.156169,602.344448,0.0,0.0,66.054923,0.0
baseline,68,1542.043739,630.511247,0.0,0.0,69.143774,0.0
baseline,69,1614.152629,659.995177,0.0,0.0,72.377067,0.0
baseline,70,1689.633474,690.857828,0.0,0.0,75.761555,0.0
baseline,71,1768.643952,723.163674,0.0,0.0,79.304309,0.0
baseline,72,1851.349114,756.980202,0.0,0.0,83.012729,0.0
baseline,73,1937.921732,792.378053,0.0,0.0,86.894562,0.0
baseline,74,2028.542653,829.431175,0.0,0.0,90.957917,0.0
baseline,75,2123.401183,868.21697,0.0,0.0,95.211282,0.0
baseline,76,2222.695482,908.816462,0.0,0.0,99.663544,0.0
baseline,77,2326.632974,951.314464,0.0,0.0,104.324001,0.0
baseline,78,2435.430783,995.799753,0.0,0.0,109.202391,0.0
baseline,79,2549.316187,1042.365259,0.0,0.0,114.308903,0.0
baseline,80,2668.527091,1091.108257,0.0,0.0,119.654206,0.0
baseline,81,2793.312526,1142.130571,0.0,0.0,125.249466,0.0
baseline,82,2923.933167,1195.538785,0.0,0.0,131.106371,0.0
baseline,83,3060.66188,1251.444469,0.0,0.0,137.237155,0.0
baseline,84,3203.78429,1309.96441,0.0,0.0,143.654628,0.0
baseline,85,3353.599378,1371.220856,0.0,0.0,150.372193,0.0
baseline,86,3510.420107,1435.34177,0.0,0.0,157.403885,0.0
baseline,87,3674.574074,1502.461101,0.0,0.0,164.764392,0.0
baseline,88,3846.404195,1572.71906,0.0,0.0,172.46909,0.0
baseline,89,4026.269421,1646.262415,0.0,0.0,180.534075,0.0
baseline,90,4214.54549,1723.244799,0.0,0.0,188.976194,0.0
baseline,91,4411.625709,1803.827027,0.0,0.0,197.813083,0.0
baseline,92,4617.921776,1888.177434,0.0,0.0,207.063201,0.0
baseline,93,4833.864642,1976.472227,0.0,0.0,216.745873,0.0
baseline,94,5059.905411,2068.895854,0.0,0.0,226.881325,0.0
baseline,95,5296.516279,2165.641387,0.0,0.0,237.490731,0.0
baseline,96,5544.191524,2266.910926,0.0,0.0,248.596252,0.0
