time,process,state,target,delay,correction_strength
1,reinforcing,2.0,,0,
1,balancing,2.0,20.0,0,0.15
1,logistic,2.0,,0,
1,stock_flow,40.0,60.0,0,0.08
2,reinforcing,2.2,,0,
2,balancing,4.7,20.0,0,0.15
2,logistic,2.2208,,0,
2,stock_flow,42.8,60.0,0,0.08
3,reinforcing,2.42,,0,
3,balancing,6.995,20.0,0,0.15
3,logistic,2.463623,,0,
3,stock_flow,45.18,60.0,0,0.08
4,reinforcing,2.662,,0,
4,balancing,8.94575,20.0,0,0.15
4,logistic,2.730124,,0,
4,stock_flow,47.203,60.0,0,0.08
5,reinforcing,2.9282,,0,
5,balancing,10.603887,20.0,0,0.15
5,logistic,3.021962,,0,
5,stock_flow,48.92255,60.0,0,0.08
6,reinforcing,3.22102,,0,
6,balancing,12.013304,20.0,0,0.15
6,logistic,3.340762,,0,
6,stock_flow,50.384167,60.0,0,0.08
7,reinforcing,3.543122,,0,
7,balancing,13.211309,20.0,0,0.15
7,logistic,3.688083,,0,
7,stock_flow,51.626542,60.0,0,0.08
8,reinforcing,3.897434,,0,
8,balancing,14.229612,20.0,0,0.15
8,logistic,4.065363,,0,
8,stock_flow,52.682561,60.0,0,0.08
9,reinforcing,4.287178,,0,
9,balancing,15.095171,20.0,0,0.15
9,logistic,4.473876,,0,
9,stock_flow,53.580177,60.0,0,0.08
10,reinforcing,4.715895,,0,
10,balancing,15.830895,20.0,0,0.15
10,logistic,4.914667,,0,
10,stock_flow,54.34315,60.0,0,0.08
11,reinforcing,5.187485,,0,
11,balancing,16.456261,20.0,0,0.15
11,logistic,5.388488,,0,
11,stock_flow,54.991678,60.0,0,0.08
12,reinforcing,5.706233,,0,
12,balancing,16.987822,20.0,0,0.15
12,logistic,5.895734,,0,
12,stock_flow,55.542926,60.0,0,0.08
13,reinforcing,6.276857,,0,
13,balancing,17.439648,20.0,0,0.15
13,logistic,6.436376,,0,
13,stock_flow,56.011487,60.0,0,0.08
14,reinforcing,6.904542,,0,
14,balancing,17.823701,20.0,0,0.15
14,logistic,7.009892,,0,
14,stock_flow,56.409764,60.0,0,0.08
15,reinforcing,7.594997,,0,
15,balancing,18.150146,20.0,0,0.15
15,logistic,7.615214,,0,
