scenario,time,policy_pressure,intervention_strength,behavioral_response,implementation_delay
capacity_expansion,1,100.0,0.35,0.26,4
capacity_expansion,2,98.5,0.35,0.26,4
capacity_expansion,3,97.4125,0.35,0.26,4
capacity_expansion,4,96.624063,0.35,0.26,4
capacity_expansion,5,71.026813,0.35,0.26,4
capacity_expansion,6,59.098495,0.35,0.26,4
capacity_expansion,7,53.539899,0.35,0.26,4
capacity_expansion,8,50.949593,0.35,0.26,4
capacity_expansion,9,49.74251,0.35,0.26,4
capacity_expansion,10,49.18001,0.35,0.26,4
capacity_expansion,11,48.917885,0.35,0.26,4
capacity_expansion,12,48.795734,0.35,0.26,4
capacity_expansion,13,48.738812,0.35,0.26,4
capacity_expansion,14,48.712286,0.35,0.26,4
capacity_expansion,15,48.699925,0.35,0.26,4
capacity_expansion,16,48.694165,0.35,0.26,4
capacity_expansion,17,48.691481,0.35,0.26,4
capacity_expansion,18,48.69023,0.35,0.26,4
capacity_expansion,19,48.689647,0.35,0.26,4
capacity_expansion,20,48.689376,0.35,0.26,4
capacity_expansion,21,48.689249,0.35,0.26,4
capacity_expansion,22,48.68919,0.35,0.26,4
capacity_expansion,23,48.689163,0.35,0.26,4
capacity_expansion,24,48.68915,0.35,0.26,4
capacity_expansion,25,48.689144,0.35,0.26,4
capacity_expansion,26,48.689141,0.35,0.26,4
capacity_expansion,27,48.68914,0.35,0.26,4
capacity_expansion,28,48.689139,0.35,0.26,4
capacity_expansion,29,48.689139,0.35,0.26,4
capacity_expansion,30,48.689139,0.35,0.26,4
capacity_expansion,31,48.689139,0.35,0.26,4
capacity_expansion,32,48.689139,0.35,0.26,4
capacity_expansion,33,48.689139,0.35,0.26,4
capacity_expansion,34,48.689139,0.35,0.26,4
capacity_expansion,35,48.689139,0.35,0.26,4
capacity_expansion,36,48.689139,0.35,0.26,4
capacity_expansion,37,48.689139,0.35,0.26,4
capacity_expansion,38,48.689139,0.35,0.26,4
capacity_expansion,39,48.689139,0.35,0.26,4
capacity_expansion,40,48.689139,0.35,0.26,4
capacity_expansion,41,48.689139,0.35,0.26,4
capacity_expansion,42,48.689139,0.35,0.26,4
capacity_expansion,43,48.689139,0.35,0.26,4
capacity_expansion,44,48.689139,0.35,0.26,4
capacity_expansion,45,48.689139,0.35,0.26,4
capacity_expansion,46,48.689139,0.35,0.26,4
capacity_expansion,47,48.689139,0.35,0.26,4
capacity_expansion,48,48.689139,0.35,0.26,4
capacity_expansion,49,48.689139,0.35,0.26,4
capacity_expansion,50,48.689139,0.35,0.26,4
capacity_expansion,51,48.689139,0.35,0.26,4
capacity_expansion,52,48.689139,0.35,0.26,4
capacity_expansion,53,48.689139,0.35,0.26,4
capacity_expansion,54,48.689139,0.35,0.26,4
capacity_expansion,55,48.689139,0.35,0.26,4
capacity_expansion,56,48.689139,0.35,0.26,4
capacity_expansion,57,48.689139,0.35,0.26,4
capacity_expansion,58,48.689139,0.35,0.26,4
capacity_expansion,59,48.689139,0.35,0.26,4
capacity_expansion,60,48.689139,0.35,0.26,4
capacity_expansion,61,48.689139,0.35,0.26,4
capacity_expansion,62,48.689139,0.35,0.26,4
capacity_expansion,63,48.689139,0.35,0.26,4
capacity_expansion,64,48.689139,0.35,0.26,4
capacity_expansion,65,48.689139,0.35,0.26,4
capacity_expansion,66,48.689139,0.35,0.26,4
capacity_expansion,67,48.689139,0.35,0.26,4
capacity_expansion,68,48.689139,0.35,0.26,4
capacity_expansion,69,48.689139,0.35,0.26,4
capacity_expansion,70,48.689139,0.35,0.26,4
capacity_expansion,71,48.689139,0.35,0.26,4
capacity_expansion,72,48.689139,0.35,0.26,4
metric_targeting,1,100.0,0.3,0.35,3
metric_targeting,2,98.5,0.3,0.35,3
metric_targeting,3,97.5475,0.3,0.35,3
metric_targeting,4,77.9209,0.3,0.35,3
metric_targeting,5,69.285196,0.3,0.35,3
metric_targeting,6,65.485486,0.3,0.35,3
metric_targeting,7,63.813614,0.3,0.35,3
metric_targeting,8,63.07799,0.3,0.35,3
metric_targeting,9,62.754316,0.3,0.35,3
metric_targeting,10,62.611899,0.3,0.35,3
metric_targeting,11,62.549236,0.3,0.35,3
metric_targeting,12,62.521664,0.3,0.35,3
metric_targeting,13,62.509532,0.3,0.35,3
metric_targeting,14,62.504194,0.3,0.35,3
metric_targeting,15,62.501845,0.3,0.35,3
metric_targeting,16,62.500812,0.3,0.35,3
metric_targeting,17,62.500357,0.3,0.35,3
metric_targeting,18,62.500157,0.3,0.35,3
metric_targeting,19,62.500069,0.3,0.35,3
metric_targeting,20,62.50003,0.3,0.35,3
metric_targeting,21,62.500013,0.3,0.35,3
metric_targeting,22,62.500006,0.3,0.35,3
metric_targeting,23,62.500003,0.3,0.35,3
metric_targeting,24,62.500001,0.3,0.35,3
metric_targeting,25,62.500001,0.3,0.35,3
metric_targeting,26,62.5,0.3,0.35,3
metric_targeting,27,62.5,0.3,0.35,3
metric_targeting,28,62.5,0.3,0.35,3
metric_targeting,29,62.5,0.3,0.35,3
metric_targeting,30,62.5,0.3,0.35,3
metric_targeting,31,62.5,0.3,0.35,3
metric_targeting,32,62.5,0.3,0.35,3
metric_targeting,33,62.5,0.3,0.35,3
metric_targeting,34,62.5,0.3,0.35,3
metric_targeting,35,62.5,0.3,0.35,3
metric_targeting,36,62.5,0.3,0.35,3
metric_targeting,37,62.5,0.3,0.35,3
metric_targeting,38,62.5,0.3,0.35,3
metric_targeting,39,62.5,0.3,0.35,3
metric_targeting,40,62.5,0.3,0.35,3
metric_targeting,41,62.5,0.3,0.35,3
metric_targeting,42,62.5,0.3,0.35,3
metric_targeting,43,62.5,0.3,0.35,3
metric_targeting,44,62.5,0.3,0.35,3
metric_targeting,45,62.5,0.3,0.35,3
metric_targeting,46,62.5,0.3,0.35,3
metric_targeting,47,62.5,0.3,0.35,3
metric_targeting,48,62.5,0.3,0.35,3
metric_targeting,49,62.5,0.3,0.35,3
metric_targeting,50,62.5,0.3,0.35,3
metric_targeting,51,62.5,0.3,0.35,3
metric_targeting,52,62.5,0.3,0.35,3
metric_targeting,53,62.5,0.3,0.35,3
metric_targeting,54,62.5,0.3,0.35,3
metric_targeting,55,62.5,0.3,0.35,3
metric_targeting,56,62.5,0.3,0.35,3
metric_targeting,57,62.5,0.3,0.35,3
metric_targeting,58,62.5,0.3,0.35,3
metric_targeting,59,62.5,0.3,0.35,3
metric_targeting,60,62.5,0.3,0.35,3
metric_targeting,61,62.5,0.3,0.35,3
metric_targeting,62,62.5,0.3,0.35,3
metric_targeting,63,62.5,0.3,0.35,3
metric_targeting,64,62.5,0.3,0.35,3
metric_targeting,65,62.5,0.3,0.35,3
metric_targeting,66,62.5,0.3,0.35,3
metric_targeting,67,62.5,0.3,0.35,3
metric_targeting,68,62.5,0.3,0.35,3
metric_targeting,69,62.5,0.3,0.35,3
metric_targeting,70,62.5,0.3,0.35,3
