scenario_id,delay,correction_strength,final_state,maximum_state,minimum_state,overshoot_above_target,target_crossings,mean_absolute_target_gap
1,1,0.120000,19.999828,19.999828,5.000000,0.000000,0,1.388875
2,1,0.200000,20.000000,20.000000,5.000000,0.000000,0,0.833333
3,1,0.280000,20.000000,20.000000,5.000000,0.000000,0,0.595238
4,1,0.360000,20.000000,20.000000,5.000000,0.000000,0,0.462963
5,3,0.120000,19.999999,19.999999,5.000000,0.000000,0,1.055556
6,3,0.200000,20.000000,20.600000,5.000000,0.600000,9,0.569306
7,3,0.280000,20.000000,23.144000,5.000000,3.144000,12,0.572908
8,3,0.360000,20.000004,26.168000,5.000000,6.168000,15,0.745854
9,5,0.120000,20.000004,21.027200,5.000000,1.027200,5,0.925811
10,5,0.200000,19.993812,26.000000,5.000000,6.000000,7,1.246904
11,5,0.280000,20.289250,31.544000,5.000000,11.544000,9,3.048525
12,5,0.360000,-3.242784,45.434753,-6.696950,25.434753,10,13.743842
13,8,0.120000,20.125318,26.024000,5.000000,6.024000,5,2.003313
14,8,0.200000,9.074826,35.000000,5.000000,15.000000,5,8.385733
15,8,0.280000,106.657318,134.523621,-148.811823,114.523621,7,48.277350
16,8,0.360000,2075.711132,2075.711132,-1017.180912,2055.711132,7,291.994151
17,12,0.120000,12.929303,33.224000,5.000000,13.224000,4,6.850883
18,12,0.200000,24.226496,93.214400,-100.689088,73.214400,4,39.589521
19,12,0.280000,1072.722462,1072.722462,-558.004439,1052.722462,5,176.302744
20,12,0.360000,5416.505960,5416.505960,-1695.079607,5396.505960,5,709.967929
