time,reinforcing,balancing,logistic,delayed_balancing
1,2.000000,2.000000,2.000000,5.000000
2,2.200000,4.700000,2.220800,9.200000
3,2.420000,6.995000,2.463623,13.400000
4,2.662000,8.945750,2.730124,17.600000
5,2.928200,10.603888,3.021962,21.800000
6,3.221020,12.013304,3.340762,26.000000
7,3.543122,13.211309,3.688083,29.024000
8,3.897434,14.229612,4.065363,30.872000
9,4.287178,15.095171,4.473876,31.544000
10,4.715895,15.830895,4.914667,31.040000
11,5.187485,16.456261,5.388488,29.360000
12,5.706233,16.987822,5.895734,26.833280
13,6.276857,17.439648,6.436376,23.789120
14,6.904542,17.823701,7.009892,20.556800
15,7.594997,18.150146,7.615214,17.465600
16,8.354496,18.427624,8.250680,14.844800
17,9.189946,18.663480,8.914008,12.931482
18,10.108941,18.863958,9.602283,11.870528
19,11.119835,19.034365,10.311979,11.714624
20,12.231818,19.179210,11.038999,12.424256
21,13.455000,19.302328,11.778753,13.867712
22,14.800500,19.406979,12.526256,15.846897
23,16.280550,19.495932,13.276253,18.123149
24,17.908605,19.571542,14.023361,20.443055
25,19.699465,19.635811,14.762222,22.564263
26,21.669412,19.690439,15.487657,24.281304
27,23.836353,19.736874,16.194812,25.444172
28,26.219988,19.776342,16.879284,25.969691
29,28.841987,19.809891,17.537229,25.845635
30,31.726186,19.838407,18.165435,25.127642
31,34.898805,19.862646,18.761369,23.928877
32,38.388685,19.883249,19.323186,22.404508
33,42.227553,19.900762,19.849718,20.732995
34,46.450309,19.915648,20.340430,19.096217
35,51.095340,19.928301,20.795363,17.660478
36,56.204874,19.939055,21.215060,16.560392
37,61.825361,19.948197,21.600489,15.887130
38,68.007897,19.955968,21.952958,15.681891
39,74.808687,19.962572,22.274038,15.934950
40,82.289556,19.968187,22.565485,16.590017
41,90.518511,19.972959,22.829178,17.553107
42,99.570362,19.977015,23.067057,18.704710
43,109.527398,19.980463,23.281076,19.913781
44,120.480138,19.983393,23.473164,21.051995
45,132.528152,19.985884,23.645195,22.006790
46,145.780967,19.988002,23.798961,22.691920
47,160.359064,19.989801,23.936162,23.054601
48,176.394971,19.991331,24.058390,23.078743
49,194.034468,19.992631,24.167127,22.784184
50,213.437914,19.993737,24.263742,22.222283
51,234.781706,19.994676,24.349491,21.468545
52,258.259876,19.995475,24.425521,20.613257
53,284.085864,19.996154,24.492874,19.751209
54,312.494450,19.996731,24.552495,18.971637
55,343.743895,19.997221,24.605234,18.349398
56,378.118285,19.997638,24.651858,17.938205
57,415.930113,19.997992,24.693053,17.766493
58,457.523125,19.998293,24.729435,17.836155
59,503.275437,19.998549,24.761551,18.124097
60,553.602981,19.998767,24.789892,18.586265
61,608.963279,19.998952,24.814893,19.163568
62,669.859607,19.999109,24.836942,19.788949
63,736.845568,19.999243,24.856381,20.394826
64,810.530124,19.999356,24.873516,20.920079
65,891.583137,19.999453,24.888618,21.315925
66,980.741451,19.999535,24.901924,21.550126
67,1078.815596,19.999605,24.913647,21.609220
68,1186.697155,19.999664,24.923973,21.498669
69,1305.366871,19.999714,24.933069,21.241047
70,1435.903558,19.999757,24.941079,20.872588
71,1579.493914,19.999794,24.948133,20.438552
72,1737.443305,19.999825,24.954344,19.987971
73,1911.187635,19.999851,24.959813,19.568344
74,2102.306399,19.999873,24.964627,19.220851
75,2312.537039,19.999892,24.968866,18.976526
76,2543.790743,19.999908,24.972598,18.853731
77,2798.169817,19.999922,24.975882,18.857099
78,3077.986799,19.999934,24.978774,18.977963
79,3385.785479,19.999944,24.981319,19.196125
80,3724.364027,19.999952,24.983559,19.482698
81,4096.800429,19.999959,24.985530,19.803653
82,4506.480472,19.999965,24.987266,20.123665
83,4957.128519,19.999971,24.988793,20.409836
84,5452.841371,19.999975,24.990137,20.634920
85,5998.125508,19.999979,24.991320,20.779765
86,6597.938059,19.999982,24.992362,20.834742
87,7257.731865,19.999985,24.993278,20.800116
88,7983.505052,19.999987,24.994084,20.685362
89,8781.855557,19.999989,24.994794,20.507584
90,9660.041112,19.999991,24.995419,20.289250
