scenario_id,time,process,state,target,delay,correction_strength
1,1,delayed_balancing,5.0,20.0,1,0.12
1,2,delayed_balancing,6.8,20.0,1,0.12
1,3,delayed_balancing,8.384,20.0,1,0.12
1,4,delayed_balancing,9.77792,20.0,1,0.12
1,5,delayed_balancing,11.00457,20.0,1,0.12
1,6,delayed_balancing,12.084021,20.0,1,0.12
1,7,delayed_balancing,13.033939,20.0,1,0.12
1,8,delayed_balancing,13.869866,20.0,1,0.12
1,9,delayed_balancing,14.605482,20.0,1,0.12
1,10,delayed_balancing,15.252824,20.0,1,0.12
1,11,delayed_balancing,15.822485,20.0,1,0.12
1,12,delayed_balancing,16.323787,20.0,1,0.12
1,13,delayed_balancing,16.764933,20.0,1,0.12
1,14,delayed_balancing,17.153141,20.0,1,0.12
1,15,delayed_balancing,17.494764,20.0,1,0.12
1,16,delayed_balancing,17.795392,20.0,1,0.12
1,17,delayed_balancing,18.059945,20.0,1,0.12
1,18,delayed_balancing,18.292752,20.0,1,0.12
1,19,delayed_balancing,18.497622,20.0,1,0.12
1,20,delayed_balancing,18.677907,20.0,1,0.12
1,21,delayed_balancing,18.836558,20.0,1,0.12
1,22,delayed_balancing,18.976171,20.0,1,0.12
1,23,delayed_balancing,19.099031,20.0,1,0.12
1,24,delayed_balancing,19.207147,20.0,1,0.12
1,25,delayed_balancing,19.302289,20.0,1,0.12
1,26,delayed_balancing,19.386015,20.0,1,0.12
1,27,delayed_balancing,19.459693,20.0,1,0.12
1,28,delayed_balancing,19.52453,20.0,1,0.12
1,29,delayed_balancing,19.581586,20.0,1,0.12
1,30,delayed_balancing,19.631796,20.0,1,0.12
1,31,delayed_balancing,19.67598,20.0,1,0.12
1,32,delayed_balancing,19.714863,20.0,1,0.12
1,33,delayed_balancing,19.749079,20.0,1,0.12
1,34,delayed_balancing,19.77919,20.0,1,0.12
1,35,delayed_balancing,19.805687,20.0,1,0.12
1,36,delayed_balancing,19.829004,20.0,1,0.12
1,37,delayed_balancing,19.849524,20.0,1,0.12
1,38,delayed_balancing,19.867581,20.0,1,0.12
1,39,delayed_balancing,19.883471,20.0,1,0.12
1,40,delayed_balancing,19.897455,20.0,1,0.12
1,41,delayed_balancing,19.90976,20.0,1,0.12
1,42,delayed_balancing,19.920589,20.0,1,0.12
1,43,delayed_balancing,19.930118,20.0,1,0.12
1,44,delayed_balancing,19.938504,20.0,1,0.12
1,45,delayed_balancing,19.945884,20.0,1,0.12
1,46,delayed_balancing,19.952378,20.0,1,0.12
1,47,delayed_balancing,19.958092,20.0,1,0.12
1,48,delayed_balancing,19.963121,20.0,1,0.12
1,49,delayed_balancing,19.967547,20.0,1,0.12
1,50,delayed_balancing,19.971441,20.0,1,0.12
1,51,delayed_balancing,19.974868,20.0,1,0.12
1,52,delayed_balancing,19.977884,20.0,1,0.12
