time,reinforcing_strength_proxy,balancing_strength_proxy,delayed_target_gap,loop_dominance_label
1,0.000207,0.1,15.0,delayed balancing instability
2,0.000228,0.235,13.2,delayed balancing instability
3,0.000251,0.34975,11.616,delayed balancing instability
4,0.000276,0.447288,10.22208,delayed balancing instability
5,0.000303,0.530195,8.99543,delayed balancing instability
6,0.000333,0.600666,7.915979,delayed balancing instability
7,0.000367,0.660566,6.966061,delayed balancing instability
8,0.000403,0.711481,6.130134,delayed balancing instability
9,0.000444,0.754759,5.394518,delayed balancing instability
10,0.000488,0.791545,4.747176,balancing loop dominance
11,0.000537,0.822813,4.177515,balancing loop dominance
12,0.000591,0.849391,3.676213,balancing loop dominance
13,0.00065,0.871983,3.235067,balancing loop dominance
14,0.000715,0.891185,2.846859,balancing loop dominance
15,0.000786,0.907508,2.505236,balancing loop dominance
16,0.000865,0.921382,2.204608,balancing loop dominance
17,0.000951,0.933174,1.940055,balancing loop dominance
18,0.001046,0.943198,1.707248,balancing loop dominance
19,0.001151,0.951719,1.502378,balancing loop dominance
20,0.001266,0.958961,1.322093,balancing loop dominance
21,0.001393,0.965117,1.163442,balancing loop dominance
22,0.001532,0.970349,1.023829,balancing loop dominance
23,0.001685,0.974797,0.900969,balancing loop dominance
24,0.001854,0.978578,0.792853,balancing loop dominance
25,0.002039,0.981791,0.697711,balancing loop dominance
26,0.002243,0.984522,0.613985,balancing loop dominance
27,0.002468,0.986844,0.540307,balancing loop dominance
28,0.002714,0.988818,0.47547,balancing loop dominance
29,0.002986,0.990495,0.418414,balancing loop dominance
30,0.003284,0.991921,0.368204,balancing loop dominance
31,0.003613,0.993133,0.32402,balancing loop dominance
32,0.003974,0.994163,0.285137,balancing loop dominance
33,0.004371,0.995039,0.250921,balancing loop dominance
34,0.004809,0.995783,0.22081,balancing loop dominance
35,0.005289,0.996415,0.194313,balancing loop dominance
36,0.005818,0.996953,0.170996,balancing loop dominance
37,0.0064,0.99741,0.150476,balancing loop dominance
38,0.00704,0.997799,0.132419,balancing loop dominance
39,0.007744,0.998129,0.116529,balancing loop dominance
40,0.008519,0.99841,0.102545,balancing loop dominance
41,0.00937,0.998648,0.09024,balancing loop dominance
42,0.010307,0.998851,0.079411,balancing loop dominance
43,0.011338,0.999024,0.069882,balancing loop dominance
44,0.012472,0.99917,0.061496,balancing loop dominance
45,0.013719,0.999295,0.054116,balancing loop dominance
46,0.015091,0.999401,0.047622,balancing loop dominance
47,0.0166,0.999491,0.041908,balancing loop dominance
48,0.01826,0.999567,0.036879,balancing loop dominance
49,0.020086,0.999632,0.032453,balancing loop dominance
50,0.022095,0.999687,0.028559,balancing loop dominance
51,0.024304,0.999734,0.025132,balancing loop dominance
52,0.026735,0.999774,0.022116,balancing loop dominance
53,0.029408,0.999808,0.019462,balancing loop dominance
54,0.032349,0.999837,0.017127,balancing loop dominance
55,0.035584,0.999862,0.015071,balancing loop dominance
56,0.039143,0.999882,0.013263,balancing loop dominance
57,0.043057,0.9999,0.011671,balancing loop dominance
58,0.047362,0.999915,0.010271,balancing loop dominance
59,0.052099,0.999928,0.009038,balancing loop dominance
60,0.057309,0.999939,0.007954,balancing loop dominance
61,0.063039,0.999948,0.006999,balancing loop dominance
62,0.069343,0.999956,0.006159,balancing loop dominance
63,0.076278,0.999963,0.00542,balancing loop dominance
64,0.083905,0.999968,0.00477,balancing loop dominance
65,0.092296,0.999973,0.004197,balancing loop dominance
66,0.101526,0.999977,0.003694,balancing loop dominance
67,0.111678,0.999981,0.00325,balancing loop dominance
68,0.122846,0.999984,0.00286,balancing loop dominance
69,0.135131,0.999986,0.002517,balancing loop dominance
70,0.148644,0.999988,0.002215,balancing loop dominance
71,0.163508,0.99999,0.001949,balancing loop dominance
72,0.179859,0.999992,0.001715,balancing loop dominance
73,0.197845,0.999993,0.00151,balancing loop dominance
74,0.217629,0.999994,0.001328,balancing loop dominance
75,0.239392,0.999995,0.001169,balancing loop dominance
76,0.263331,0.999996,0.001029,balancing loop dominance
77,0.289664,0.999997,0.000905,balancing loop dominance
78,0.318631,0.999997,0.000797,balancing loop dominance
79,0.350494,0.999998,0.000701,balancing loop dominance
80,0.385543,0.999998,0.000617,balancing loop dominance
81,0.424098,0.999998,0.000543,balancing loop dominance
82,0.466507,0.999999,0.000478,balancing loop dominance
83,0.513158,0.999999,0.00042,balancing loop dominance
84,0.564474,0.999999,0.00037,balancing loop dominance
85,0.620921,0.999999,0.000326,balancing loop dominance
86,0.683013,1.0,0.000286,balancing loop dominance
87,0.751315,1.0,0.000252,balancing loop dominance
88,0.826446,1.0,0.000222,mixed loop influence
89,0.909091,1.0,0.000195,mixed loop influence
90,1.0,1.0,0.000172,mixed loop influence
