"scenario","time","climate_stress","service_level","adaptive_capacity","degradation","vulnerability_pressure","recovery","adaptation_investment","below_threshold","transformed"
"moderate_climate_stress",0,0.44,0.92,0.58,0,0.0426888,0.0088,0,FALSE,0
"moderate_climate_stress",1,0.284,0.8861112,0.58,0,0.02755368,0.012527768,0,FALSE,0
"moderate_climate_stress",2,0.288,0.871085288,0.58,0,0.02794176,0.01418061832,0,FALSE,0
"moderate_climate_stress",3,0.292,0.85732414632,0.58,0,0.02832984,0.0156943439048,0,FALSE,0
"moderate_climate_stress",4,0.296,0.8446886502248,0.58,0,0.02871792,0.017084248475272,0,FALSE,0
"moderate_climate_stress",5,0.3,0.833054978700072,0.58,0,0.029106,0.0183639523429921,0,FALSE,0
"moderate_climate_stress",6,0.304,0.822312931043064,0.58,0,0.02949408,0.019545577585263,0,FALSE,0
"moderate_climate_stress",7,0.308,0.812364428628327,0.58,0,0.02988216,0.020639912850884,0,FALSE,0
"moderate_climate_stress",8,0.312,0.803122181479211,0.58,0,0.03027024,0.0216565600372868,0.006,FALSE,0
"moderate_climate_stress",9,0.316,0.794508501516498,0.586,0,0.030220344,0.0226040648331852,0.006,FALSE,0
"moderate_climate_stress",10,0.32,0.786892222349683,0.592,0,0.03015936,0.0234418555415349,0.006,FALSE,0
"moderate_climate_stress",11,0.324,0.780174717891218,0.598,0,0.030087288,0.024180781031966,0.006,FALSE,0
"moderate_climate_stress",12,0.328,0.774268210923184,0.604,0,0.030004128,0.0248304967984498,0.006,FALSE,0
"moderate_climate_stress",13,0.332,0.769094579721634,0.61,0,0.02990988,0.0253995962306203,0.006,FALSE,0
"moderate_climate_stress",14,0.336,0.764584295952254,0.616,0,0.029804544,0.0258957274452521,0.006,FALSE,0
"moderate_climate_stress",15,0.34,0.760675479397506,0.622,0,0.02968812,0.0263256972662743,0.006,FALSE,0
"moderate_climate_stress",16,0.344,0.75731305666378,0.628,0,0.029560608,0.0266955637669842,0.006,FALSE,0
"moderate_climate_stress",17,0.348,0.754448012430764,0.634,0,0.029422008,0.0270107186326159,0.006,FALSE,0
"moderate_climate_stress",18,0.512,0.75203672306338,0.64,0,0.04257792,0.0272759604630282,0.006,FALSE,0
"moderate_climate_stress",19,0.356,0.736734763526408,0.646,0,0.029111544,0.0289591760120951,0.006,FALSE,0
"moderate_climate_stress",20,0.36,0.736582395538503,0.652,0,0.02893968,0.0289759364907646,0.006,FALSE,0
"moderate_climate_stress",21,0.364,0.736618652029268,0.658,0,0.028756728,0.0289719482767805,0.006,FALSE,0
