scenario,time,population,housing,transport,service_capacity,accessibility,congestion,housing_gap,service_pressure,policy_investment
baseline_neighborhood,1,100.000000,112.000000,90.000000,120.000000,45.000000,1.111111,0.000000,0.833333,0.000000
baseline_neighborhood,2,102.044949,114.242899,91.589096,119.990000,45.331049,1.114160,0.000000,0.850445,0.000000
baseline_neighborhood,3,104.095288,116.517833,93.200849,119.980030,45.665361,1.116892,0.000000,0.867605,0.000000
baseline_neighborhood,4,106.151313,118.824788,94.835590,119.970090,46.002904,1.119319,0.000000,0.884815,0.000000
baseline_neighborhood,5,108.213310,121.163755,96.493648,119.960180,46.343650,1.121455,0.000000,0.902077,0.000000
baseline_neighborhood,6,110.281556,123.534731,98.175352,119.950299,46.687572,1.123312,0.000000,0.919394,0.000000
baseline_neighborhood,7,112.356319,125.937719,99.881030,119.940448,47.034640,1.124901,0.000000,0.936768,0.000000
baseline_neighborhood,8,114.437857,128.372725,101.611010,119.930627,47.384828,1.126235,0.000000,0.954200,0.000000
baseline_neighborhood,9,116.526420,130.839762,103.365621,119.920835,47.738110,1.127323,0.000000,0.971695,0.000000
baseline_neighborhood,10,118.622251,133.338848,105.145189,119.911072,48.094459,1.128176,0.000000,0.989252,0.000000
baseline_neighborhood,11,120.725584,135.870005,106.950044,119.901339,48.453850,1.128804,0.000000,1.006874,0.000000
baseline_neighborhood,12,122.831834,138.433161,108.780512,119.891635,48.817312,1.129171,0.000000,1.024524,0.000000
baseline_neighborhood,13,124.933731,141.028103,110.636918,119.881960,49.186450,1.129223,0.000000,1.042140,0.000000
baseline_neighborhood,14,127.031652,143.654624,112.519587,119.872314,49.561189,1.128974,0.000000,1.059725,0.000000
baseline_neighborhood,15,129.125953,146.312525,114.428843,119.862698,49.941459,1.128439,0.000000,1.077282,0.000000
baseline_neighborhood,16,131.216982,149.001614,116.365006,119.853109,50.327188,1.127633,0.000000,1.094815,0.000000
baseline_neighborhood,17,133.305068,151.721709,118.328394,119.843550,50.718313,1.126569,0.000000,1.112326,0.000000
baseline_neighborhood,18,135.390531,154.472633,120.319323,119.834019,51.114768,1.125260,0.000000,1.129817,0.000000
baseline_neighborhood,19,137.473676,157.254216,122.338108,119.824517,51.516492,1.123719,0.000000,1.147292,0.000000
baseline_neighborhood,20,139.554798,160.066295,124.385059,119.815044,51.923426,1.121958,0.000000,1.164752,8.000000
baseline_neighborhood,21,141.634179,162.908713,126.460488,127.805599,52.335513,1.119988,0.000000,1.108200,0.000000
baseline_neighborhood,22,143.763891,165.782356,128.564712,127.772182,52.741491,1.118222,0.000000,1.125158,0.000000
baseline_neighborhood,23,145.892195,168.687071,130.698036,127.738865,53.152576,1.116254,0.000000,1.142113,0.000000
baseline_neighborhood,24,148.019352,171.622709,132.860775,127.705649,53.568713,1.114094,0.000000,1.159067,0.000000
baseline_neighborhood,25,150.145610,174.589131,135.053244,127.672532,53.989852,1.111751,0.000000,1.176021,0.000000
baseline_neighborhood,26,152.271212,177.586199,137.275753,127.639514,54.415941,1.109236,0.000000,1.192979,0.000000
baseline_neighborhood,27,154.396387,180.613782,139.528614,127.606596,54.846932,1.106557,0.000000,1.209940,0.000000
baseline_neighborhood,28,156.521360,183.671754,141.812135,127.573776,55.282778,1.103723,0.000000,1.226909,0.000000
baseline_neighborhood,29,158.646345,186.759993,144.126623,127.541055,55.723433,1.100743,0.000000,1.243885,0.000000
baseline_neighborhood,30,160.771547,189.878384,146.472384,127.508431,56.168852,1.097624,0.000000,1.260870,0.000000
baseline_neighborhood,31,162.897166,193.026814,148.849724,127.475906,56.618991,1.094373,0.000000,1.277866,0.000000
baseline_neighborhood,32,165.023394,196.205175,151.258944,127.443478,57.073808,1.090999,0.000000,1.294875,0.000000
baseline_neighborhood,33,167.150414,199.413362,153.700348,127.411148,57.533262,1.087508,0.000000,1.311898,0.000000
baseline_neighborhood,34,169.278404,202.651277,156.174235,127.378915,57.997312,1.083907,0.000000,1.328936,0.000000
baseline_neighborhood,35,171.407534,205.918823,158.680906,127.346778,58.465918,1.080203,0.000000,1.345990,0.000000
baseline_neighborhood,36,173.537970,209.215907,161.220659,127.314737,58.939042,1.076400,0.000000,1.363063,0.000000
baseline_neighborhood,37,175.669869,212.542440,163.793792,127.282793,59.416647,1.072506,0.000000,1.380154,0.000000
baseline_neighborhood,38,177.803386,215.898338,166.400600,127.250945,59.898694,1.068526,0.000000,1.397266,0.000000
baseline_neighborhood,39,179.938665,219.283518,169.041379,127.219192,60.385149,1.064465,0.000000,1.414399,0.000000
baseline_neighborhood,40,182.075850,222.697901,171.716425,127.187534,60.875975,1.060329,0.000000,1.431554,8.000000
baseline_neighborhood,41,184.215077,226.141411,174.426029,135.155972,61.371139,1.056121,0.000000,1.362981,0.000000
baseline_neighborhood,42,186.416504,229.615176,177.170497,135.100504,61.857643,1.052187,0.000000,1.379836,0.000000
baseline_neighborhood,43,188.619943,233.119114,179.950122,135.045202,62.348471,1.048179,0.000000,1.396717,0.000000
baseline_neighborhood,44,190.825527,236.653148,182.765209,134.990067,62.843592,1.044102,0.000000,1.413626,0.000000
