run_id,n_agents,n_steps,initial_adopters,threshold_low,threshold_high,neighbor_radius,initial_adoption_rate,final_adoption_rate,peak_new_adopters,time_to_half_adoption,mean_threshold
1,180,50,20,0.184206,0.512585,5,0.111111,1.000000,16,5,0.363563
2,180,50,30,0.298805,0.672270,3,0.166667,0.488889,12,0,0.482939
3,180,50,13,0.147348,0.529319,5,0.072222,1.000000,11,13,0.331921
4,180,50,20,0.195459,0.606301,3,0.111111,0.466667,17,0,0.407314
5,180,50,20,0.151874,0.426532,4,0.111111,1.000000,20,4,0.287807
6,180,50,34,0.053395,0.413887,5,0.188889,1.000000,54,2,0.241707
7,180,50,30,0.154748,0.652224,2,0.166667,0.650000,28,3,0.401563
8,180,50,17,0.316827,0.779466,5,0.094444,0.094444,0,0,0.563162
9,180,50,4,0.117596,0.556371,1,0.022222,0.350000,7,0,0.336851
10,180,50,14,0.244726,0.631299,3,0.077778,0.205556,5,0,0.436284
11,180,50,23,0.087610,0.631198,2,0.127778,0.666667,25,4,0.350714
12,180,50,26,0.121524,0.335688,4,0.144444,1.000000,43,2,0.226695
13,180,50,11,0.100000,0.424657,3,0.061111,1.000000,30,4,0.265613
14,180,50,19,0.306352,0.853437,4,0.105556,0.122222,3,0,0.594849
15,180,50,17,0.118213,0.503334,4,0.094444,1.000000,20,5,0.315845
16,180,50,21,0.223197,0.727901,2,0.116667,0.227778,9,0,0.470269
17,180,50,34,0.236685,0.608407,2,0.188889,0.516667,27,8,0.418313
18,180,50,22,0.223596,0.767010,3,0.122222,0.261111,6,0,0.504474
19,180,50,11,0.264652,0.572256,4,0.061111,0.061111,0,0,0.418826
20,180,50,35,0.204138,0.604898,4,0.194444,0.883333,19,4,0.413859
21,180,50,21,0.193502,0.676096,3,0.116667,0.350000,8,0,0.430032
22,180,50,10,0.262007,0.473656,1,0.055556,1.000000,20,5,0.359232
23,180,50,30,0.166929,0.596288,1,0.166667,0.788889,38,2,0.383624
24,180,50,11,0.264056,0.705603,1,0.061111,0.166667,8,0,0.484504
25,180,50,4,0.134570,0.597015,4,0.022222,0.122222,2,0,0.343512
26,180,50,33,0.346598,0.632182,1,0.183333,0.472222,27,0,0.492613
27,180,50,32,0.046143,0.523740,1,0.177778,0.966667,49,2,0.284655
28,180,50,7,0.112810,0.546020,5,0.038889,0.588889,10,26,0.329993
29,180,50,15,0.051320,0.465999,3,0.083333,1.000000,36,3,0.252296
30,180,50,15,0.305451,0.528284,5,0.083333,0.361111,5,0,0.423650
31,180,50,29,0.214061,0.571601,1,0.161111,0.616667,40,3,0.391518
32,180,50,25,0.282472,0.699429,5,0.138889,0.155556,2,0,0.503873
33,180,50,5,0.101223,0.600297,5,0.027778,0.266667,5,0,0.344549
34,180,50,7,0.183296,0.568697,3,0.038889,0.283333,6,0,0.367579
35,180,50,8,0.107457,0.583143,4,0.044444,0.238889,10,0,0.348844
36,180,50,28,0.225105,0.586828,3,0.155556,0.672222,18,4,0.405064
37,180,50,6,0.148672,0.434147,5,0.033333,1.000000,8,17,0.276750
38,180,50,30,0.142745,0.650096,2,0.166667,0.722222,25,3,0.400199
39,180,50,19,0.252599,0.461577,4,0.105556,1.000000,6,21,0.355961
40,180,50,8,0.053650,0.309847,3,0.044444,1.000000,33,4,0.190033
41,180,50,28,0.145308,0.444931,4,0.155556,1.000000,25,3,0.293278
42,180,50,32,0.300645,0.616937,4,0.177778,0.666667,12,7,0.449529
43,180,50,4,0.339486,0.787654,4,0.022222,0.022222,0,0,0.571987
44,180,50,14,0.079323,0.558670,3,0.077778,0.883333,24,4,0.329301
45,180,50,4,0.136122,0.552237,4,0.022222,0.022222,0,0,0.336755
46,180,50,7,0.054159,0.494175,2,0.038889,1.000000,18,8,0.278314
47,180,50,23,0.238258,0.616910,4,0.127778,0.700000,11,9,0.414554
48,180,50,17,0.218474,0.517608,1,0.094444,0.866667,25,4,0.370855
49,180,50,27,0.156502,0.651102,5,0.150000,0.822222,24,4,0.421868
50,180,50,35,0.143555,0.358895,5,0.194444,1.000000,50,2,0.251362
51,180,50,15,0.044902,0.446120,3,0.083333,1.000000,32,3,0.238329
52,180,50,33,0.336024,0.813540,1,0.183333,0.266667,12,0,0.588594
53,180,50,7,0.252004,0.521527,5,0.038889,0.038889,0,0,0.378168
54,180,50,8,0.108264,0.328752,4,0.044444,1.000000,17,7,0.214702
55,180,50,24,0.284025,0.720581,3,0.133333,0.305556,7,0,0.492216
56,180,50,13,0.306073,0.662527,3,0.072222,0.072222,0,0,0.477968
57,180,50,35,0.201470,0.749802,2,0.194444,0.572222,22,4,0.475567
58,180,50,34,0.084198,0.525039,1,0.188889,0.911111,43,2,0.311825
59,180,50,9,0.241752,0.477717,1,0.050000,1.000000,14,7,0.361020
60,180,50,29,0.096991,0.316044,1,0.161111,1.000000,39,2,0.207022
61,180,50,7,0.058357,0.295269,1,0.038889,1.000000,14,8,0.183853
62,180,50,13,0.113879,0.663319,4,0.072222,0.361111,7,0,0.392380
63,180,50,7,0.236368,0.575421,2,0.038889,0.038889,0,0,0.398038
64,180,50,13,0.297293,0.566370,1,0.072222,0.350000,19,0,0.429556
65,180,50,12,0.296412,0.831206,3,0.066667,0.105556,1,0,0.571052
66,180,50,28,0.199125,0.617544,3,0.155556,0.777778,20,4,0.405796
67,180,50,33,0.181522,0.626955,2,0.183333,0.688889,24,3,0.418804
68,180,50,12,0.167597,0.442105,1,0.066667,1.000000,23,5,0.303624
69,180,50,20,0.271400,0.682903,2,0.111111,0.188889,6,0,0.458777
70,180,50,11,0.311215,0.544118,1,0.061111,0.527778,19,9,0.423604
71,180,50,24,0.260237,0.692813,3,0.133333,0.322222,7,0,0.474547
72,180,50,10,0.227961,0.572967,3,0.055556,0.055556,0,0,0.407305
73,180,50,5,0.348329,0.637918,5,0.027778,0.027778,0,0,0.499748
74,180,50,33,0.292893,0.822229,1,0.183333,0.483333,31,0,0.550858
75,180,50,32,0.076395,0.333217,3,0.177778,1.000000,57,2,0.198388
76,180,50,18,0.087189,0.505981,5,0.100000,1.000000,30,3,0.289319
77,180,50,14,0.055099,0.559089,5,0.077778,1.000000,32,3,0.303451
78,180,50,18,0.154670,0.699689,3,0.100000,0.350000,9,0,0.435629
79,180,50,6,0.137024,0.659572,4,0.033333,0.083333,3,0,0.407324
80,180,50,13,0.086844,0.411900,2,0.072222,1.000000,27,4,0.236936
81,180,50,20,0.349403,0.680315,2,0.111111,0.133333,4,0,0.517668
82,180,50,28,0.341756,0.792998,4,0.155556,0.216667,3,0,0.572779
83,180,50,29,0.060661,0.563763,4,0.161111,1.000000,43,2,0.323628
84,180,50,13,0.111926,0.333496,4,0.072222,1.000000,32,4,0.227593
85,180,50,12,0.073212,0.566451,2,0.066667,0.911111,25,4,0.311303
86,180,50,9,0.300771,0.664941,4,0.050000,0.050000,0,0,0.488170
87,180,50,12,0.069685,0.601739,3,0.066667,0.694444,18,5,0.338237
88,180,50,10,0.054619,0.398470,1,0.055556,1.000000,20,5,0.229486
89,180,50,28,0.104159,0.594787,4,0.155556,0.950000,25,3,0.367907
90,180,50,5,0.131021,0.413737,4,0.027778,1.000000,7,19,0.273442
91,180,50,8,0.253001,0.656064,4,0.044444,0.044444,0,0,0.445853
92,180,50,23,0.220207,0.512848,2,0.127778,1.000000,17,5,0.354485
93,180,50,25,0.345279,0.608858,2,0.138889,0.272222,10,0,0.482158
94,180,50,19,0.176870,0.548975,1,0.105556,0.733333,30,3,0.357123
95,180,50,9,0.163273,0.427226,4,0.050000,1.000000,6,19,0.291885
96,180,50,31,0.264346,0.802131,1,0.172222,0.444444,26,0,0.532252
97,180,50,30,0.247377,0.767806,4,0.166667,0.272222,5,0,0.508369
98,180,50,30,0.261644,0.734230,4,0.166667,0.222222,3,0,0.501577
99,180,50,11,0.113554,0.588812,4,0.061111,0.750000,10,11,0.355591
100,180,50,21,0.171286,0.414643,5,0.116667,1.000000,16,6,0.299020
101,180,50,13,0.208969,0.523478,5,0.072222,0.488889,7,0,0.365882
102,180,50,5,0.323154,0.744335,3,0.027778,0.027778,0,0,0.529995
103,180,50,25,0.196246,0.435281,3,0.138889,1.000000,28,4,0.317753
104,180,50,11,0.110258,0.330843,4,0.061111,1.000000,25,4,0.213924
105,180,50,32,0.211086,0.521669,2,0.177778,0.916667,31,3,0.364921
106,180,50,24,0.290749,0.831327,4,0.133333,0.200000,3,0,0.550932
107,180,50,27,0.250944,0.790726,3,0.150000,0.383333,9,0,0.508510
108,180,50,11,0.050404,0.499179,5,0.061111,1.000000,22,5,0.281103
109,180,50,15,0.100812,0.302999,3,0.083333,1.000000,50,2,0.197742
110,180,50,27,0.327695,0.661207,4,0.150000,0.177778,2,0,0.502853
111,180,50,11,0.217345,0.764386,4,0.061111,0.066667,1,0,0.506517
112,180,50,18,0.136387,0.406309,5,0.100000,1.000000,17,6,0.272977
113,180,50,32,0.106261,0.415491,2,0.177778,1.000000,50,2,0.261215
114,180,50,18,0.164907,0.645903,4,0.100000,0.427778,12,0,0.387992
115,180,50,22,0.169223,0.706970,3,0.122222,0.477778,15,0,0.426809
116,180,50,12,0.342891,0.857469,1,0.066667,0.138889,8,0,0.587033
117,180,50,35,0.080543,0.589255,5,0.194444,1.000000,45,2,0.355248
118,180,50,8,0.152332,0.451215,4,0.044444,1.000000,6,20,0.304840
119,180,50,15,0.292164,0.575245,1,0.083333,0.333333,16,0,0.437594
120,180,50,23,0.194746,0.649029,3,0.127778,0.455556,10,0,0.422284
121,180,50,31,0.233727,0.473012,1,0.172222,1.000000,51,2,0.354215
122,180,50,27,0.246374,0.653306,2,0.150000,0.344444,14,0,0.451767
123,180,50,6,0.247946,0.507197,4,0.033333,0.033333,0,0,0.372587
124,180,50,35,0.092774,0.515878,1,0.194444,1.000000,47,2,0.315046
125,180,50,13,0.225933,0.615469,3,0.072222,0.166667,6,0,0.418927
126,180,50,21,0.268376,0.682070,5,0.116667,0.183333,4,0,0.461999
127,180,50,28,0.269163,0.575370,3,0.155556,0.605556,12,8,0.420400
128,180,50,7,0.307689,0.836786,1,0.038889,0.066667,4,0,0.585455
129,180,50,4,0.034561,0.475111,4,0.022222,1.000000,13,9,0.238475
130,180,50,31,0.276657,0.506637,2,0.172222,1.000000,21,4,0.396929
131,180,50,12,0.333668,0.719749,5,0.066667,0.066667,0,0,0.549090
132,180,50,17,0.160113,0.566644,1,0.094444,0.794444,25,4,0.369961
133,180,50,30,0.145902,0.625085,4,0.166667,1.000000,21,4,0.391327
134,180,50,19,0.031470,0.473532,3,0.105556,1.000000,44,2,0.249995
135,180,50,23,0.041025,0.417741,4,0.127778,1.000000,56,2,0.233098
136,180,50,21,0.342089,0.833697,2,0.116667,0.161111,4,0,0.564718
137,180,50,15,0.139798,0.628006,5,0.083333,0.683333,14,9,0.381705
138,180,50,9,0.098893,0.537148,1,0.050000,0.922222,17,7,0.303341
139,180,50,27,0.298367,0.785931,1,0.150000,0.394444,22,0,0.559544
140,180,50,13,0.205849,0.630577,3,0.072222,0.227778,4,0,0.418606
141,180,50,30,0.180062,0.450444,5,0.166667,1.000000,28,3,0.317415
142,180,50,7,0.157503,0.423023,5,0.038889,0.038889,0,0,0.281390
143,180,50,13,0.218813,0.594518,3,0.072222,0.305556,5,0,0.402020
144,180,50,14,0.245750,0.522495,5,0.077778,0.372222,6,0,0.378570
145,180,50,31,0.079096,0.501323,3,0.172222,1.000000,45,2,0.293624
146,180,50,13,0.259874,0.565989,3,0.072222,0.161111,4,0,0.413395
147,180,50,21,0.078972,0.621607,3,0.116667,0.716667,36,3,0.339964
148,180,50,8,0.276943,0.754459,4,0.044444,0.044444,0,0,0.527169
149,180,50,6,0.086880,0.328176,1,0.033333,1.000000,12,9,0.198804
150,180,50,35,0.204553,0.571271,3,0.194444,0.961111,23,4,0.388868
151,180,50,28,0.280672,0.807032,4,0.155556,0.233333,5,0,0.545533
152,180,50,13,0.253648,0.770490,4,0.072222,0.088889,2,0,0.499445
153,180,50,20,0.328272,0.574338,2,0.111111,0.394444,12,0,0.456451
154,180,50,7,0.318950,0.652684,5,0.038889,0.038889,0,0,0.486616
155,180,50,4,0.233259,0.500915,2,0.022222,0.022222,0,0,0.377036
156,180,50,15,0.269989,0.607818,3,0.083333,0.211111,6,0,0.438244
157,180,50,23,0.054929,0.280499,2,0.127778,1.000000,65,2,0.167824
158,180,50,31,0.158771,0.376777,1,0.172222,1.000000,52,2,0.264295
159,180,50,17,0.211804,0.647761,1,0.094444,0.400000,21,0,0.424115
160,180,50,6,0.064136,0.582440,1,0.033333,0.377778,12,0,0.322345
161,180,50,10,0.037317,0.331288,1,0.055556,1.000000,19,6,0.184184
162,180,50,26,0.220175,0.573048,2,0.144444,0.500000,14,12,0.401638
163,180,50,12,0.178560,0.574496,4,0.066667,0.211111,6,0,0.381548
164,180,50,27,0.310315,0.798496,3,0.150000,0.300000,9,0,0.562695
165,180,50,20,0.079428,0.505913,3,0.111111,1.000000,31,3,0.307078
166,180,50,24,0.233405,0.499480,5,0.133333,1.000000,18,5,0.360229
167,180,50,22,0.081042,0.471378,4,0.122222,1.000000,43,2,0.273972
168,180,50,8,0.135553,0.654057,2,0.044444,0.250000,6,0,0.392499
169,180,50,5,0.130589,0.561403,2,0.027778,0.172222,7,0,0.349372
170,180,50,31,0.321121,0.803445,5,0.172222,0.183333,1,0,0.552705
171,180,50,32,0.254240,0.666372,4,0.177778,0.511111,12,15,0.451503
172,180,50,19,0.238941,0.565743,3,0.105556,0.322222,4,0,0.415841
173,180,50,27,0.341610,0.817327,3,0.150000,0.266667,6,0,0.580831
174,180,50,13,0.149215,0.399083,3,0.072222,1.000000,24,4,0.273131
175,180,50,19,0.273447,0.791174,5,0.105556,0.105556,0,0,0.533335
176,180,50,9,0.269452,0.545726,1,0.050000,0.405556,15,0,0.403275
177,180,50,35,0.147374,0.488494,1,0.194444,1.000000,48,2,0.311028
178,180,50,11,0.174897,0.441477,1,0.061111,1.000000,19,6,0.303581
179,180,50,10,0.334374,0.884229,1,0.055556,0.094444,5,0,0.614692
180,180,50,15,0.348195,0.821544,2,0.083333,0.127778,4,0,0.590451
181,180,50,16,0.152855,0.485713,5,0.088889,1.000000,16,6,0.311765
182,180,50,16,0.037316,0.296191,2,0.088889,1.000000,36,3,0.159008
183,180,50,11,0.124196,0.573030,1,0.061111,0.327778,18,0,0.359127
184,180,50,32,0.219215,0.489267,2,0.177778,1.000000,28,3,0.358713
185,180,50,23,0.275887,0.516181,2,0.127778,0.744444,15,10,0.393558
186,180,50,9,0.037298,0.388099,2,0.050000,1.000000,26,5,0.217346
187,180,50,35,0.031073,0.563594,5,0.194444,1.000000,57,2,0.311966
188,180,50,4,0.144601,0.398445,4,0.022222,0.022222,0,0,0.273887
189,180,50,30,0.106557,0.650060,3,0.166667,0.716667,27,3,0.372871
190,180,50,7,0.288707,0.734322,5,0.038889,0.038889,0,0,0.492959
191,180,50,14,0.223193,0.654284,5,0.077778,0.077778,0,0,0.433675
192,180,50,30,0.197945,0.718017,3,0.166667,0.433333,15,0,0.454271
193,180,50,31,0.039500,0.532265,3,0.172222,1.000000,46,2,0.295005
194,180,50,8,0.292121,0.759062,4,0.044444,0.044444,0,0,0.522045
195,180,50,12,0.176145,0.661394,2,0.066667,0.166667,6,0,0.397895
196,180,50,30,0.116182,0.332146,1,0.166667,1.000000,47,2,0.231013
197,180,50,11,0.152620,0.411543,4,0.061111,1.000000,8,18,0.279020
198,180,50,22,0.285379,0.674015,2,0.122222,0.211111,7,0,0.487847
199,180,50,21,0.164693,0.396920,4,0.116667,1.000000,24,4,0.272829
200,180,50,17,0.140123,0.623302,4,0.094444,0.688889,11,8,0.371338
201,180,50,25,0.166533,0.647962,4,0.138889,0.411111,9,0,0.421903
202,180,50,12,0.205938,0.543922,4,0.066667,0.705556,5,30,0.378302
203,180,50,33,0.096615,0.645336,1,0.183333,0.633333,36,2,0.382011
204,180,50,4,0.152305,0.615196,1,0.022222,0.105556,5,0,0.379217
