scenario,row,col,agent_type
baseline_abm,0,0,1
baseline_abm,0,1,1
baseline_abm,0,2,1
baseline_abm,0,3,1
baseline_abm,0,4,1
baseline_abm,0,5,1
baseline_abm,0,6,1
baseline_abm,0,7,1
baseline_abm,0,8,1
baseline_abm,0,9,1
baseline_abm,0,10,-1
baseline_abm,0,11,1
baseline_abm,0,12,1
baseline_abm,0,13,-1
baseline_abm,0,14,1
baseline_abm,0,15,1
baseline_abm,0,16,1
baseline_abm,0,17,1
baseline_abm,0,18,1
baseline_abm,0,19,0
baseline_abm,0,20,0
baseline_abm,0,21,-1
baseline_abm,0,22,1
baseline_abm,0,23,1
baseline_abm,1,0,1
baseline_abm,1,1,-1
baseline_abm,1,2,1
baseline_abm,1,3,1
baseline_abm,1,4,1
baseline_abm,1,5,1
baseline_abm,1,6,-1
baseline_abm,1,7,-1
baseline_abm,1,8,1
baseline_abm,1,9,1
baseline_abm,1,10,1
baseline_abm,1,11,1
baseline_abm,1,12,-1
baseline_abm,1,13,1
baseline_abm,1,14,1
baseline_abm,1,15,1
baseline_abm,1,16,1
baseline_abm,1,17,1
baseline_abm,1,18,1
baseline_abm,1,19,-1
baseline_abm,1,20,0
baseline_abm,1,21,0
baseline_abm,1,22,-1
baseline_abm,1,23,1
baseline_abm,2,0,0
baseline_abm,2,1,-1
baseline_abm,2,2,1
baseline_abm,2,3,1
baseline_abm,2,4,1
baseline_abm,2,5,1
baseline_abm,2,6,-1
baseline_abm,2,7,1
baseline_abm,2,8,1
baseline_abm,2,9,1
baseline_abm,2,10,1
baseline_abm,2,11,1
baseline_abm,2,12,-1
baseline_abm,2,13,1
baseline_abm,2,14,1
baseline_abm,2,15,1
baseline_abm,2,16,1
baseline_abm,2,17,1
baseline_abm,2,18,-1
baseline_abm,2,19,1
baseline_abm,2,20,0
baseline_abm,2,21,0
baseline_abm,2,22,0
baseline_abm,2,23,-1
baseline_abm,3,0,-1
baseline_abm,3,1,0
baseline_abm,3,2,-1
baseline_abm,3,3,1
baseline_abm,3,4,1
baseline_abm,3,5,1
baseline_abm,3,6,1
baseline_abm,3,7,1
baseline_abm,3,8,1
baseline_abm,3,9,1
baseline_abm,3,10,1
baseline_abm,3,11,1
baseline_abm,3,12,1
baseline_abm,3,13,1
baseline_abm,3,14,1
baseline_abm,3,15,1
baseline_abm,3,16,1
baseline_abm,3,17,1
baseline_abm,3,18,1
baseline_abm,3,19,1
baseline_abm,3,20,0
baseline_abm,3,21,0
baseline_abm,3,22,0
baseline_abm,3,23,0
baseline_abm,4,0,0
baseline_abm,4,1,0
baseline_abm,4,2,0
baseline_abm,4,3,0
baseline_abm,4,4,0
baseline_abm,4,5,0
baseline_abm,4,6,1
baseline_abm,4,7,1
baseline_abm,4,8,1
baseline_abm,4,9,1
baseline_abm,4,10,1
baseline_abm,4,11,1
