"scenario","time","adoption_rate","new_adopters","mean_threshold","threshold_low","threshold_high","neighbor_radius"
"baseline_threshold_adoption",1,0.127777777777778,11,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",2,0.183333333333333,10,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",3,0.227777777777778,8,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",4,0.244444444444444,3,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",5,0.261111111111111,3,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",6,0.283333333333333,4,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",7,0.3,3,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",8,0.3,0,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",9,0.3,0,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",10,0.3,0,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",11,0.3,0,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",12,0.3,0,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",13,0.3,0,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",14,0.3,0,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",15,0.3,0,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",16,0.3,0,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",17,0.3,0,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",18,0.3,0,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",19,0.3,0,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",20,0.3,0,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",21,0.3,0,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",22,0.3,0,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",23,0.3,0,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",24,0.3,0,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",25,0.3,0,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",26,0.3,0,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",27,0.3,0,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",28,0.3,0,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",29,0.3,0,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",30,0.3,0,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",31,0.3,0,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",32,0.3,0,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",33,0.3,0,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",34,0.3,0,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",35,0.3,0,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",36,0.3,0,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",37,0.3,0,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",38,0.3,0,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",39,0.3,0,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",40,0.3,0,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",41,0.3,0,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",42,0.3,0,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",43,0.3,0,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",44,0.3,0,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",45,0.3,0,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",46,0.3,0,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",47,0.3,0,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",48,0.3,0,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",49,0.3,0,0.4212943988534,0.1,0.7,2
"baseline_threshold_adoption",50,0.3,0,0.4212943988534,0.1,0.7,2
"low_threshold_population",1,0.188888888888889,22,0.254539954928785,0.05,0.45,2
"low_threshold_population",2,0.355555555555556,30,0.254539954928785,0.05,0.45,2
"low_threshold_population",3,0.483333333333333,23,0.254539954928785,0.05,0.45,2
