time,adoption_rate,new_adopters,mean_threshold
1,0.127778,11,0.402445
2,0.194444,12,0.402445
3,0.250000,10,0.402445
4,0.283333,6,0.402445
5,0.322222,7,0.402445
6,0.338889,3,0.402445
7,0.355556,3,0.402445
8,0.355556,0,0.402445
9,0.355556,0,0.402445
10,0.355556,0,0.402445
11,0.355556,0,0.402445
12,0.355556,0,0.402445
13,0.355556,0,0.402445
14,0.355556,0,0.402445
15,0.355556,0,0.402445
16,0.355556,0,0.402445
17,0.355556,0,0.402445
18,0.355556,0,0.402445
19,0.355556,0,0.402445
20,0.355556,0,0.402445
21,0.355556,0,0.402445
22,0.355556,0,0.402445
23,0.355556,0,0.402445
24,0.355556,0,0.402445
25,0.355556,0,0.402445
26,0.355556,0,0.402445
27,0.355556,0,0.402445
28,0.355556,0,0.402445
29,0.355556,0,0.402445
30,0.355556,0,0.402445
31,0.355556,0,0.402445
32,0.355556,0,0.402445
33,0.355556,0,0.402445
34,0.355556,0,0.402445
35,0.355556,0,0.402445
36,0.355556,0,0.402445
37,0.355556,0,0.402445
38,0.355556,0,0.402445
39,0.355556,0,0.402445
40,0.355556,0,0.402445
41,0.355556,0,0.402445
42,0.355556,0,0.402445
43,0.355556,0,0.402445
44,0.355556,0,0.402445
45,0.355556,0,0.402445
46,0.355556,0,0.402445
47,0.355556,0,0.402445
48,0.355556,0,0.402445
49,0.355556,0,0.402445
50,0.355556,0,0.402445
