scenario,step,occupied_agents,unhappy_agents,satisfied_share,clustering_index,empty_cells
baseline_abm,0,468,198,0.576923,0.503414,108
baseline_abm,1,468,119,0.745726,0.620714,108
baseline_abm,2,468,76,0.837607,0.711088,108
baseline_abm,3,468,49,0.895299,0.784203,108
baseline_abm,4,468,33,0.929487,0.82339,108
baseline_abm,5,468,25,0.946581,0.850219,108
baseline_abm,6,468,20,0.957265,0.860946,108
baseline_abm,7,468,11,0.976496,0.886536,108
baseline_abm,8,468,7,0.985043,0.901544,108
baseline_abm,9,468,6,0.987179,0.90408,108
baseline_abm,10,468,6,0.987179,0.905619,108
baseline_abm,11,468,6,0.987179,0.908043,108
baseline_abm,12,468,5,0.989316,0.909857,108
baseline_abm,13,468,4,0.991453,0.91032,108
baseline_abm,14,468,3,0.99359,0.91222,108
baseline_abm,15,468,4,0.991453,0.911414,108
baseline_abm,16,468,4,0.991453,0.910417,108
baseline_abm,17,468,6,0.987179,0.910241,108
baseline_abm,18,468,4,0.991453,0.913685,108
baseline_abm,19,468,3,0.99359,0.913551,108
baseline_abm,20,468,4,0.991453,0.911986,108
baseline_abm,21,468,2,0.995726,0.914726,108
baseline_abm,22,468,1,0.997863,0.917219,108
baseline_abm,23,468,0,1.0,0.918857,108
low_threshold,0,473,78,0.835095,0.507432,103
low_threshold,1,473,36,0.92389,0.608293,103
low_threshold,2,473,25,0.947146,0.651296,103
low_threshold,3,473,21,0.955603,0.670014,103
low_threshold,4,473,12,0.97463,0.7071,103
low_threshold,5,473,11,0.976744,0.720782,103
low_threshold,6,473,3,0.993658,0.738108,103
low_threshold,7,473,1,0.997886,0.747468,103
low_threshold,8,473,0,1.0,0.749444,103
high_threshold,0,470,311,0.338298,0.492386,106
high_threshold,1,470,244,0.480851,0.564359,106
high_threshold,2,470,185,0.606383,0.631727,106
high_threshold,3,470,165,0.648936,0.67691,106
high_threshold,4,470,127,0.729787,0.734772,106
high_threshold,5,470,106,0.774468,0.765362,106
high_threshold,6,470,105,0.776596,0.77465,106
high_threshold,7,470,100,0.787234,0.786857,106
high_threshold,8,470,93,0.802128,0.800251,106
high_threshold,9,470,86,0.817021,0.813642,106
high_threshold,10,470,77,0.83617,0.826064,106
high_threshold,11,470,64,0.86383,0.841836,106
high_threshold,12,470,64,0.86383,0.854721,106
high_threshold,13,470,56,0.880851,0.863397,106
high_threshold,14,470,49,0.895745,0.875914,106
high_threshold,15,470,40,0.914894,0.895208,106
high_threshold,16,470,46,0.902128,0.88998,106
high_threshold,17,470,46,0.902128,0.895362,106
high_threshold,18,470,46,0.902128,0.889531,106
high_threshold,19,470,42,0.910638,0.897794,106
high_threshold,20,470,37,0.921277,0.896284,106
high_threshold,21,470,35,0.925532,0.909896,106
high_threshold,22,470,33,0.929787,0.907705,106
high_threshold,23,470,31,0.934043,0.912766,106
high_threshold,24,470,33,0.929787,0.911512,106
high_threshold,25,470,34,0.92766,0.904711,106
high_threshold,26,470,31,0.934043,0.91464,106
high_threshold,27,470,26,0.944681,0.92248,106
high_threshold,28,470,25,0.946809,0.922224,106
high_threshold,29,470,25,0.946809,0.927209,106
high_threshold,30,470,26,0.944681,0.92386,106
high_threshold,31,470,24,0.948936,0.925286,106
high_threshold,32,470,21,0.955319,0.928594,106
high_threshold,33,470,25,0.946809,0.925912,106
high_threshold,34,470,24,0.948936,0.926993,106
high_threshold,35,470,23,0.951064,0.929101,106
high_threshold,36,470,23,0.951064,0.924336,106
high_threshold,37,470,19,0.959574,0.929802,106
high_threshold,38,470,20,0.957447,0.933356,106
high_threshold,39,470,20,0.957447,0.932579,106
high_threshold,40,470,18,0.961702,0.932791,106
high_threshold,41,470,15,0.968085,0.93748,106
high_threshold,42,470,16,0.965957,0.936353,106
high_threshold,43,470,14,0.970213,0.938969,106
high_threshold,44,470,13,0.97234,0.945109,106
high_threshold,45,470,16,0.965957,0.945737,106
high_threshold,46,470,15,0.968085,0.942399,106
high_threshold,47,470,17,0.96383,0.940798,106
high_threshold,48,470,16,0.965957,0.943873,106
high_threshold,49,470,15,0.968085,0.945729,106
high_threshold,50,470,15,0.968085,0.94675,106
high_threshold,51,470,14,0.970213,0.946355,106
high_threshold,52,470,12,0.974468,0.951256,106
high_threshold,53,470,12,0.974468,0.949562,106
high_threshold,54,470,11,0.976596,0.952682,106
high_threshold,55,470,11,0.976596,0.950694,106
high_threshold,56,470,11,0.976596,0.951211,106
high_threshold,57,470,11,0.976596,0.953034,106
high_threshold,58,470,10,0.978723,0.954141,106
high_threshold,59,470,9,0.980851,0.95462,106
high_threshold,60,470,11,0.976596,0.956102,106
fewer_empty_cells,0,513,209,0.592593,0.507765,63
fewer_empty_cells,1,513,122,0.762183,0.628314,63
fewer_empty_cells,2,513,70,0.863548,0.708322,63
fewer_empty_cells,3,513,46,0.910331,0.765543,63
fewer_empty_cells,4,513,38,0.925926,0.787861,63
fewer_empty_cells,5,513,29,0.94347,0.813146,63
fewer_empty_cells,6,513,23,0.955166,0.831347,63
fewer_empty_cells,7,513,19,0.962963,0.842145,63
fewer_empty_cells,8,513,14,0.97271,0.853699,63
fewer_empty_cells,9,513,17,0.966862,0.854084,63
fewer_empty_cells,10,513,13,0.974659,0.860208,63
fewer_empty_cells,11,513,7,0.986355,0.868588,63
