time,system_state,performance_gap,policy_intensity,institutional_capacity,trust,administrative_burden,uptake,side_effect
0,   12.000000,    4.000000,    1.080000,    7.000000,    0.580000,    0.250000,    0.726500,    0.000000
1,   11.341541,    4.658459,    1.160000,    7.450000,    0.587711,    0.129000,    0.799013,    0.086400
2,   10.862827,    5.137173,    1.240000,    7.800239,    0.597943,    0.000750,    0.872054,    0.174016
3,   10.544040,    5.455960,    1.320000,    8.075872,    0.608396,    0.000000,    0.885174,    0.262775
4,   10.325185,    5.674815,    1.400000,    8.298007,    0.618148,    0.000000,    0.895875,    0.352609
5,   10.190887,    5.809113,    1.480000,    8.480453,    0.627151,    0.000000,    0.904961,    0.443452
6,   10.128642,    5.871358,    1.560000,    8.634392,    0.635373,    0.000000,    0.912816,    0.535245
7,   10.128120,    5.871880,    1.640000,    8.768874,    0.642786,    0.000000,    0.919746,    0.627930
8,   10.180801,    5.819199,    1.720000,    8.891206,    0.649368,    0.000000,    0.926003,    0.721454
9,   10.279663,    5.720337,    1.800000,    9.007270,    0.655100,    0.000000,    0.931784,    0.815767
10,   10.418934,    5.581066,    1.880000,    9.121785,    0.659969,    0.000000,    0.937253,    0.910821
11,   10.593871,    5.406129,    1.960000,    9.238529,    0.663962,    0.000000,    0.942537,    1.006572
12,   10.800588,    5.199412,    2.000000,    9.360509,    0.667070,    0.000000,    0.947739,    1.102978
13,   11.015055,    4.984945,    2.000000,    9.490117,    0.669318,    0.000000,    0.952950,    1.196799
14,   11.215999,    4.784001,    2.000000,    9.627361,    0.670762,    0.000000,    0.958186,    1.284991
15,   11.405452,    4.594548,    2.000000,    9.770338,    0.671456,    0.000000,    0.963399,    1.367891
16,   11.585053,    4.414947,    2.000000,    9.917499,    0.671449,    0.000000,    0.968547,    1.445818
17,   11.756124,    4.243876,    2.000000,   10.067579,    0.670787,    0.000000,    0.973601,    1.519069
18,   11.919729,    4.080271,    2.000000,   10.219548,    0.669511,    0.000000,    0.978538,    1.587925
19,   12.076731,    3.923269,    2.000000,   10.372564,    0.667663,    0.000000,    0.983339,    1.652649
20,   12.227824,    3.772176,    2.000000,   10.525939,    0.665278,    0.000000,    0.987991,    1.713490
21,   12.373572,    3.626428,    2.000000,   10.679109,    0.662391,    0.000000,    0.992486,    1.770681
22,   12.514434,    3.485566,    2.000000,   10.831610,    0.659034,    0.000000,    0.996817,    1.824440
23,   12.650781,    3.349219,    2.000000,   10.983064,    0.655237,    0.000000,    1.000000,    1.874974
24,   12.781840,    3.218160,    2.000000,   11.133159,    0.651012,    0.000000,    1.000000,    1.922475
25,   12.904677,    3.095323,    2.000000,   11.281540,    0.646341,    0.000000,    1.000000,    1.967127
