scenario,time,system_state,performance_gap,policy_intensity,institutional_capacity,trust,administrative_burden,uptake,side_effect
baseline_adaptive_policy,0,12.000000,4.000000,1.080000,7.000000,0.580000,0.250000,0.726500,0.000000
baseline_adaptive_policy,1,11.341541,4.658459,1.160000,7.450000,0.587711,0.129000,0.799013,0.086400
baseline_adaptive_policy,2,10.862827,5.137173,1.240000,7.800239,0.597943,0.000750,0.872054,0.174016
baseline_adaptive_policy,3,10.544040,5.455960,1.320000,8.075872,0.608396,0.000000,0.885174,0.262775
baseline_adaptive_policy,4,10.325185,5.674815,1.400000,8.298007,0.618148,0.000000,0.895875,0.352609
baseline_adaptive_policy,5,10.190887,5.809113,1.480000,8.480453,0.627151,0.000000,0.904961,0.443452
baseline_adaptive_policy,6,10.128642,5.871358,1.560000,8.634392,0.635373,0.000000,0.912816,0.535245
baseline_adaptive_policy,7,10.128120,5.871880,1.640000,8.768874,0.642786,0.000000,0.919746,0.627930
baseline_adaptive_policy,8,10.180801,5.819199,1.720000,8.891206,0.649368,0.000000,0.926003,0.721454
baseline_adaptive_policy,9,10.279663,5.720337,1.800000,9.007270,0.655100,0.000000,0.931784,0.815767
baseline_adaptive_policy,10,10.418934,5.581066,1.880000,9.121785,0.659969,0.000000,0.937253,0.910821
baseline_adaptive_policy,11,10.593871,5.406129,1.960000,9.238529,0.663962,0.000000,0.942537,1.006572
baseline_adaptive_policy,12,10.800588,5.199412,2.000000,9.360509,0.667070,0.000000,0.947739,1.102978
baseline_adaptive_policy,13,11.015055,4.984945,2.000000,9.490117,0.669318,0.000000,0.952950,1.196799
baseline_adaptive_policy,14,11.215999,4.784001,2.000000,9.627361,0.670762,0.000000,0.958186,1.284991
baseline_adaptive_policy,15,11.405452,4.594548,2.000000,9.770338,0.671456,0.000000,0.963399,1.367891
baseline_adaptive_policy,16,11.585053,4.414947,2.000000,9.917499,0.671449,0.000000,0.968547,1.445818
baseline_adaptive_policy,17,11.756124,4.243876,2.000000,10.067579,0.670787,0.000000,0.973601,1.519069
baseline_adaptive_policy,18,11.919729,4.080271,2.000000,10.219548,0.669511,0.000000,0.978538,1.587925
baseline_adaptive_policy,19,12.076731,3.923269,2.000000,10.372564,0.667663,0.000000,0.983339,1.652649
baseline_adaptive_policy,20,12.227824,3.772176,2.000000,10.525939,0.665278,0.000000,0.987991,1.713490
baseline_adaptive_policy,21,12.373572,3.626428,2.000000,10.679109,0.662391,0.000000,0.992486,1.770681
baseline_adaptive_policy,22,12.514434,3.485566,2.000000,10.831610,0.659034,0.000000,0.996817,1.824440
baseline_adaptive_policy,23,12.650781,3.349219,2.000000,10.983064,0.655237,0.000000,1.000000,1.874974
baseline_adaptive_policy,24,12.781840,3.218160,2.000000,11.133159,0.651012,0.000000,1.000000,1.922475
baseline_adaptive_policy,25,12.904677,3.095323,2.000000,11.281540,0.646341,0.000000,1.000000,1.967127
baseline_adaptive_policy,26,13.020193,2.979807,2.000000,11.427623,0.641250,0.000000,1.000000,2.009099
baseline_adaptive_policy,27,13.129151,2.870849,2.000000,11.570954,0.635764,0.000000,1.000000,2.048553
baseline_adaptive_policy,28,13.232201,2.767799,2.000000,11.711192,0.629908,0.000000,1.000000,2.085640
baseline_adaptive_policy,29,13.329896,2.670104,2.000000,11.848082,0.623703,0.000000,1.000000,2.120502
baseline_adaptive_policy,30,13.422713,2.577287,2.000000,11.981446,0.617170,0.000000,1.000000,2.153271
baseline_adaptive_policy,31,13.511059,2.488941,2.000000,12.111160,0.610329,0.000000,1.000000,2.184075
baseline_adaptive_policy,32,13.595290,2.404710,2.000000,12.237151,0.603199,0.000000,1.000000,2.213031
baseline_adaptive_policy,33,13.675713,2.324287,2.000000,12.359383,0.595796,0.000000,1.000000,2.240249
baseline_adaptive_policy,34,13.752597,2.247403,2.000000,12.477853,0.588138,0.000000,1.000000,2.265834
baseline_adaptive_policy,35,13.826178,2.173822,2.000000,12.592580,0.580239,0.000000,1.000000,2.289884
baseline_adaptive_policy,36,13.896665,2.103335,2.000000,12.703604,0.572114,0.000000,1.000000,2.312491
baseline_adaptive_policy,37,13.964246,2.035754,2.000000,12.810979,0.563777,0.000000,1.000000,2.333741
baseline_adaptive_policy,38,14.029085,1.970915,2.000000,12.914773,0.555240,0.000000,1.000000,2.353717
baseline_adaptive_policy,39,14.091334,1.908666,2.000000,13.015061,0.546515,0.000000,1.000000,2.372494
baseline_adaptive_policy,40,14.151127,1.848873,2.000000,13.111926,0.537613,0.000000,1.000000,2.390144
baseline_adaptive_policy,41,14.208588,1.791412,2.000000,13.205454,0.528546,0.000000,1.000000,2.406736
baseline_adaptive_policy,42,14.263830,1.736170,2.000000,13.295736,0.519323,0.000000,1.000000,2.422331
baseline_adaptive_policy,43,14.316957,1.683043,2.000000,13.382864,0.509953,0.000000,1.000000,2.436992
baseline_adaptive_policy,44,14.368065,1.631935,2.000000,13.466933,0.500445,0.000000,1.000000,2.450772
baseline_adaptive_policy,45,14.417244,1.582756,2.000000,13.548035,0.490808,0.000000,1.000000,2.463726
baseline_adaptive_policy,46,14.464577,1.535423,2.000000,13.626263,0.481049,0.000000,1.000000,2.475902
baseline_adaptive_policy,47,14.510141,1.489859,2.000000,13.701712,0.471175,0.000000,1.000000,2.487348
baseline_adaptive_policy,48,14.554009,1.445991,2.000000,13.774470,0.461194,0.000000,1.000000,2.498107
baseline_adaptive_policy,49,14.596252,1.403748,2.000000,13.844629,0.451112,0.000000,1.000000,2.508221
baseline_adaptive_policy,50,14.636933,1.363067,2.000000,13.912275,0.440935,0.000000,1.000000,2.517728
baseline_adaptive_policy,51,14.676115,1.323885,2.000000,13.977494,0.430668,0.000000,1.000000,2.526664
baseline_adaptive_policy,52,14.713856,1.286144,2.000000,14.040370,0.420318,0.000000,1.000000,2.535064
baseline_adaptive_policy,53,14.750211,1.249789,2.000000,14.100984,0.409888,0.000000,1.000000,2.542960
baseline_adaptive_policy,54,14.785235,1.214765,2.000000,14.159414,0.399384,0.000000,1.000000,2.550383
baseline_adaptive_policy,55,14.818978,1.181022,2.000000,14.215738,0.388810,0.000000,1.000000,2.557360
baseline_adaptive_policy,56,14.851487,1.148513,2.000000,14.270030,0.378171,0.000000,1.000000,2.563918
baseline_adaptive_policy,57,14.882810,1.117190,2.000000,14.322361,0.367470,0.000000,1.000000,2.570083
baseline_adaptive_policy,58,14.912991,1.087009,2.000000,14.372801,0.356712,0.000000,1.000000,2.575878
baseline_adaptive_policy,59,14.942072,1.057928,2.000000,14.421418,0.345898,0.000000,1.000000,2.581325
baseline_adaptive_policy,60,14.970095,1.029905,2.000000,14.468277,0.335034,0.000000,1.000000,2.586446
baseline_adaptive_policy,61,14.997097,1.002903,2.000000,14.513441,0.324121,0.000000,1.000000,2.591259
baseline_adaptive_policy,62,15.023117,0.976883,2.000000,14.556970,0.313164,0.000000,1.000000,2.595784
baseline_adaptive_policy,63,15.048192,0.951808,2.000000,14.598923,0.302163,0.000000,1.000000,2.600036
baseline_adaptive_policy,64,15.072355,0.927645,2.000000,14.639357,0.291123,0.000000,1.000000,2.604034
baseline_adaptive_policy,65,15.095640,0.904360,2.000000,14.678327,0.280045,0.000000,1.000000,2.607792
baseline_adaptive_policy,66,15.118080,0.881920,2.000000,14.715885,0.268932,0.000000,1.000000,2.611325
