scenario,time,system_state,target_state,performance_gap,policy_intensity,institutional_capacity,trust,administrative_burden,uptake,side_effect
baseline_adaptive_policy,0,12.0,16.0,4.0,1.08,7.0,0.58,0.25,0.7265,0.0
baseline_adaptive_policy,1,11.32425,16.0,4.67575,1.16,7.45,0.587711,0.129,0.799013,0.0864
baseline_adaptive_policy,2,10.826862,16.0,5.173138,1.24,7.798683,0.597943,0.00075,0.871999,0.174016
baseline_adaptive_policy,3,10.498919,16.0,5.501081,1.32,8.071219,0.608395,0.0,0.885011,0.262775
baseline_adaptive_policy,4,10.369365,16.0,5.630635,1.4,8.289712,0.618144,0.0,0.895583,0.352609
baseline_adaptive_policy,5,10.213816,16.0,5.786184,1.48,8.476881,0.627144,0.0,0.904834,0.443452
baseline_adaptive_policy,6,9.968854,16.0,6.031146,1.56,8.633205,0.635364,0.0,0.912771,0.535245
baseline_adaptive_policy,7,10.027288,16.0,5.972712,1.64,8.753413,0.642776,0.0,0.919202,0.62793
baseline_adaptive_policy,8,10.058724,16.0,5.941276,1.72,8.868062,0.649349,0.0,0.925187,0.721454
baseline_adaptive_policy,9,10.144272,16.0,5.855728,1.8,8.975221,0.65507,0.0,0.930654,0.815767
baseline_adaptive_policy,10,10.310974,16.0,5.689026,1.88,9.080436,0.659921,0.0,0.935792,0.910821
baseline_adaptive_policy,11,10.523163,16.0,5.476837,1.96,9.191184,0.663892,0.0,0.940859,1.006572
baseline_adaptive_policy,12,10.873816,16.0,5.126184,2.0,9.311062,0.666975,0.0,0.94598,1.102978
baseline_adaptive_policy,13,11.153885,16.0,4.846115,2.0,9.45171,0.669197,0.0,0.951569,1.196799
baseline_adaptive_policy,14,11.347991,16.0,4.652009,2.0,9.604906,0.670621,0.0,0.957358,1.284991
baseline_adaptive_policy,15,11.430973,16.0,4.569027,2.0,9.761784,0.671302,0.0,0.963053,1.367891
baseline_adaptive_policy,16,11.484944,16.0,4.515056,2.0,9.912011,0.67129,0.0,0.968307,1.445818
baseline_adaptive_policy,17,11.69705,16.0,4.30295,2.0,10.053575,0.670624,0.0,0.973062,1.519069
baseline_adaptive_policy,18,12.023781,16.0,3.976219,2.0,10.201487,0.66934,0.0,0.977854,1.587925
baseline_adaptive_policy,19,12.17164,16.0,3.82836,2.0,10.365494,0.667482,0.0,0.983037,1.652649
baseline_adaptive_policy,20,12.2979,16.0,3.7021,2.0,10.528047,0.665092,0.0,0.988009,1.71349
baseline_adaptive_policy,21,12.499178,16.0,3.500822,2.0,10.687334,0.662206,0.0,0.992718,1.770681
baseline_adaptive_policy,22,12.451208,16.0,3.548792,2.0,10.8504,0.658852,0.0,0.99742,1.82444
baseline_adaptive_policy,23,12.559271,16.0,3.440729,2.0,10.994473,0.655064,0.0,1.0,1.874974
baseline_adaptive_policy,24,12.760726,16.0,3.239274,2.0,11.135304,0.650839,0.0,1.0,1.922475
baseline_adaptive_policy,25,12.991012,16.0,3.008988,2.0,11.281592,0.646168,0.0,1.0,1.967127
baseline_adaptive_policy,26,13.067295,16.0,2.932705,2.0,11.43544,0.641077,0.0,1.0,2.009099
baseline_adaptive_policy,27,13.216184,16.0,2.783816,2.0,11.582307,0.635591,0.0,1.0,2.048553
baseline_adaptive_policy,28,13.339143,16.0,2.660857,2.0,11.729356,0.629735,0.0,1.0,2.08564
baseline_adaptive_policy,29,13.518792,16.0,2.481208,2.0,11.874237,0.62353,0.0,1.0,2.120502
baseline_adaptive_policy,30,13.456663,16.0,2.543337,2.0,12.022247,0.616997,0.0,1.0,2.153271
baseline_adaptive_policy,31,13.611165,16.0,2.388835,2.0,12.151344,0.610156,0.0,1.0,2.184075
baseline_adaptive_policy,32,13.50365,16.0,2.49635,2.0,12.282728,0.603026,0.0,1.0,2.213031
baseline_adaptive_policy,33,13.282955,16.0,2.717045,2.0,12.392611,0.595623,0.0,1.0,2.240249
baseline_adaptive_policy,34,13.335804,16.0,2.664196,2.0,12.472742,0.587965,0.0,1.0,2.265834
