strategy,removal_fraction,nodes_removed,remaining_nodes,component_count,largest_component_size,largest_component_share
random_removal,0.000000,0,48,1,48,1.000000
targeted_high_degree_removal,0.000000,0,48,1,48,1.000000
random_removal,0.050000,2,46,3,41,0.891304
targeted_high_degree_removal,0.050000,2,46,2,40,0.869565
random_removal,0.100000,5,43,2,40,0.930233
targeted_high_degree_removal,0.100000,5,43,5,21,0.488372
random_removal,0.150000,7,41,2,37,0.902439
targeted_high_degree_removal,0.150000,7,41,8,12,0.292683
random_removal,0.200000,10,38,4,23,0.605263
targeted_high_degree_removal,0.200000,10,38,12,6,0.157895
random_removal,0.250000,12,36,8,22,0.611111
targeted_high_degree_removal,0.250000,12,36,13,6,0.166667
