node,degree,degree_centrality
0,2,0.042553
1,2,0.042553
2,5,0.106383
3,4,0.085106
4,2,0.042553
5,2,0.042553
6,2,0.042553
7,3,0.06383
8,2,0.042553
9,2,0.042553
10,2,0.042553
11,2,0.042553
12,3,0.06383
13,2,0.042553
14,1,0.021277
15,1,0.021277
16,2,0.042553
17,2,0.042553
18,5,0.106383
19,4,0.085106
20,2,0.042553
21,3,0.06383
22,2,0.042553
23,2,0.042553
24,2,0.042553
25,3,0.06383
26,2,0.042553
27,2,0.042553
28,2,0.042553
29,3,0.06383
30,1,0.021277
31,1,0.021277
32,2,0.042553
33,2,0.042553
34,5,0.106383
35,4,0.085106
36,2,0.042553
37,3,0.06383
38,2,0.042553
39,2,0.042553
40,2,0.042553
41,2,0.042553
42,3,0.06383
43,2,0.042553
44,2,0.042553
45,2,0.042553
46,1,0.021277
47,1,0.021277
