"node","node_label","layer","region","criticality","degree","degree_centrality","component"
0,"N0","infrastructure","north","high",2,0.0425531914893617,1
1,"N1","infrastructure","north","medium",2,0.0425531914893617,1
2,"N2","infrastructure","north","high",5,0.106382978723404,1
3,"N3","infrastructure","north","medium",4,0.0851063829787234,1
4,"N4","infrastructure","north","low",2,0.0425531914893617,1
5,"N5","infrastructure","north","medium",2,0.0425531914893617,1
6,"N6","infrastructure","north","low",2,0.0425531914893617,1
7,"N7","infrastructure","north","medium",3,0.0638297872340425,1
8,"N8","infrastructure","north","low",2,0.0425531914893617,1
9,"N9","infrastructure","north","medium",2,0.0425531914893617,1
10,"N10","infrastructure","north","low",2,0.0425531914893617,1
11,"N11","infrastructure","north","medium",2,0.0425531914893617,1
12,"N12","infrastructure","north","medium",3,0.0638297872340425,1
13,"N13","infrastructure","north","low",2,0.0425531914893617,1
14,"N14","infrastructure","north","medium",1,0.0212765957446809,1
15,"N15","infrastructure","north","low",1,0.0212765957446809,1
16,"N16","logistics","central","medium",2,0.0425531914893617,1
17,"N17","logistics","central","low",2,0.0425531914893617,1
18,"N18","logistics","central","high",5,0.106382978723404,1
19,"N19","logistics","central","medium",4,0.0851063829787234,1
20,"N20","logistics","central","low",2,0.0425531914893617,1
21,"N21","logistics","central","medium",3,0.0638297872340425,1
22,"N22","logistics","central","low",2,0.0425531914893617,1
23,"N23","logistics","central","medium",2,0.0425531914893617,1
24,"N24","logistics","central","low",2,0.0425531914893617,1
25,"N25","logistics","central","medium",3,0.0638297872340425,1
26,"N26","logistics","central","low",2,0.0425531914893617,1
27,"N27","logistics","central","medium",2,0.0425531914893617,1
28,"N28","logistics","central","low",2,0.0425531914893617,1
29,"N29","logistics","central","medium",3,0.0638297872340425,1
30,"N30","logistics","central","low",1,0.0212765957446809,1
31,"N31","logistics","central","medium",1,0.0212765957446809,1
32,"N32","digital","south","medium",2,0.0425531914893617,1
33,"N33","digital","south","low",2,0.0425531914893617,1
34,"N34","digital","south","high",5,0.106382978723404,1
35,"N35","digital","south","medium",4,0.0851063829787234,1
36,"N36","digital","south","low",2,0.0425531914893617,1
37,"N37","digital","south","medium",3,0.0638297872340425,1
38,"N38","digital","south","low",2,0.0425531914893617,1
39,"N39","digital","south","medium",2,0.0425531914893617,1
40,"N40","digital","south","low",2,0.0425531914893617,1
41,"N41","digital","south","medium",2,0.0425531914893617,1
42,"N42","digital","south","medium",3,0.0638297872340425,1
43,"N43","digital","south","low",2,0.0425531914893617,1
44,"N44","digital","south","medium",2,0.0425531914893617,1
45,"N45","digital","south","low",2,0.0425531914893617,1
46,"N46","digital","south","medium",1,0.0212765957446809,1
47,"N47","digital","south","low",1,0.0212765957446809,1
