strategy,removal_fraction,nodes_removed,remaining_nodes,component_count,largest_component_size,largest_component_share
random_removal,0.0,0,48,1,48,1.0
targeted_high_degree_removal,0.0,0,48,1,48,1.0
random_removal,0.05,2,46,3,41,0.891304
targeted_high_degree_removal,0.05,2,46,2,40,0.869565
random_removal,0.1,5,43,4,28,0.651163
targeted_high_degree_removal,0.1,5,43,4,33,0.767442
random_removal,0.15,7,41,4,35,0.853659
targeted_high_degree_removal,0.15,7,41,8,12,0.292683
random_removal,0.2,10,38,8,25,0.657895
targeted_high_degree_removal,0.2,10,38,11,9,0.236842
random_removal,0.25,12,36,9,20,0.555556
targeted_high_degree_removal,0.25,12,36,13,6,0.166667
