step,total_state,maximum_node_state,mean_node_state
0,    1.900000,    1.000000,    0.039583
1,    1.956000,    0.904000,    0.040750
2,    2.006080,    0.822720,    0.041793
3,    2.050808,    0.753587,    0.042725
4,    2.090715,    0.694532,    0.043557
5,    2.126293,    0.643883,    0.044298
6,    2.157993,    0.600280,    0.044958
7,    2.186223,    0.562614,    0.045546
8,    2.211357,    0.529975,    0.046070
9,    2.233728,    0.501611,    0.046536
10,    2.253638,    0.476898,    0.046951
11,    2.271357,    0.455316,    0.047320
12,    2.287124,    0.436430,    0.047648
13,    2.301155,    0.419871,    0.047941
14,    2.313640,    0.405331,    0.048201
15,    2.324752,    0.392544,    0.048432
16,    2.334639,    0.381284,    0.048638
17,    2.343438,    0.373120,    0.048822
18,    2.351268,    0.367308,    0.048985
19,    2.358235,    0.362008,    0.049130
20,    2.364432,    0.357174,    0.049259
21,    2.369944,    0.352765,    0.049374
22,    2.374846,    0.348741,    0.049476
23,    2.379202,    0.345067,    0.049567
24,    2.383072,    0.341711,    0.049647
25,    2.386508,    0.338644,    0.049719
26,    2.389557,    0.335839,    0.049782
27,    2.392260,    0.333273,    0.049839
28,    2.394653,    0.330924,    0.049889
29,    2.396770,    0.328771,    0.049933
30,    2.398639,    0.326798,    0.049972
