step,infected_count,infected_share,probability
0,1,0.020833,0.180000
1,1,0.020833,0.180000
2,3,0.062500,0.180000
3,4,0.083333,0.180000
4,6,0.125000,0.180000
5,6,0.125000,0.180000
6,6,0.125000,0.180000
7,6,0.125000,0.180000
8,8,0.166667,0.180000
9,12,0.250000,0.180000
10,12,0.250000,0.180000
11,14,0.291667,0.180000
12,14,0.291667,0.180000
13,15,0.312500,0.180000
14,15,0.312500,0.180000
15,17,0.354167,0.180000
16,19,0.395833,0.180000
17,22,0.458333,0.180000
18,25,0.520833,0.180000
19,28,0.583333,0.180000
20,30,0.625000,0.180000
21,33,0.687500,0.180000
22,34,0.708333,0.180000
23,36,0.750000,0.180000
24,39,0.812500,0.180000
