step,infected_count,infected_share,probability
0,1,0.020833,0.18
1,3,0.0625,0.18
2,5,0.104167,0.18
3,8,0.166667,0.18
4,8,0.166667,0.18
5,10,0.208333,0.18
6,16,0.333333,0.18
7,18,0.375,0.18
8,19,0.395833,0.18
9,20,0.416667,0.18
10,20,0.416667,0.18
11,21,0.4375,0.18
12,21,0.4375,0.18
13,24,0.5,0.18
14,26,0.541667,0.18
15,26,0.541667,0.18
16,27,0.5625,0.18
17,28,0.583333,0.18
18,29,0.604167,0.18
19,32,0.666667,0.18
20,34,0.708333,0.18
21,37,0.770833,0.18
22,40,0.833333,0.18
23,43,0.895833,0.18
24,44,0.916667,0.18
