scenario_id,uncertainty_class,policy,growth,shock_intensity,shock_timing,policy_strength,adaptive_capacity,final_state,maximum_state,minimum_state,cumulative_stress,resilience_score,regret
1,moderate_future,Policy_A_low_control,0.073366,0.600258,28,0.025,0.01,259.239362,259.239362,20.0,3724.298691,0.0,48.93693
1,moderate_future,Policy_B_balanced,0.073366,0.600258,28,0.045,0.02,81.139322,81.139322,20.0,697.094693,0.0,48.93693
1,moderate_future,Policy_C_high_adaptation,0.073366,0.600258,28,0.035,0.045,87.037203,87.037203,20.0,1034.237724,0.0,48.93693
1,moderate_future,Policy_D_precautionary,0.073366,0.600258,28,0.055,0.04,48.693401,48.693401,20.0,96.736794,48.93693,0.0
2,low_pressure_future,Policy_A_low_control,0.049694,3.34891,23,0.025,0.01,71.285909,71.285909,20.0,415.231514,0.0,87.929844
2,low_pressure_future,Policy_B_balanced,0.049694,3.34891,23,0.045,0.02,22.505381,22.505381,18.925322,0.0,80.870426,7.059418
2,low_pressure_future,Policy_C_high_adaptation,0.049694,3.34891,23,0.035,0.045,40.556937,40.556937,20.0,0.757203,65.450883,22.478961
2,low_pressure_future,Policy_D_precautionary,0.049694,3.34891,23,0.055,0.04,11.783594,20.0,11.783594,0.0,87.929844,0.0
3,compound_stress_future,Policy_A_low_control,0.075602,21.41231,22,0.025,0.01,196.772099,196.772099,20.0,2316.86579,0.0,79.420285
3,compound_stress_future,Policy_B_balanced,0.075602,21.41231,22,0.045,0.02,51.870556,51.870556,17.311527,64.647795,49.445248,29.975037
3,compound_stress_future,Policy_C_high_adaptation,0.075602,21.41231,22,0.035,0.045,74.06635,74.06635,20.0,473.733742,0.0,79.420285
3,compound_stress_future,Policy_D_precautionary,0.075602,21.41231,22,0.055,0.04,21.511508,30.69124,9.91123,0.0,79.420285,0.0
4,moderate_future,Policy_A_low_control,0.07043,0.762784,22,0.025,0.01,221.031752,221.031752,20.0,3099.326006,0.0,59.813027
4,moderate_future,Policy_B_balanced,0.07043,0.762784,22,0.045,0.02,71.178624,71.178624,20.0,489.58227,0.0,59.813027
