scenario_id,policy,growth,shock_intensity,shock_timing,final_state,maximum_state,cumulative_stress,resilience_score
1,Policy_A_low_control,0.057382,1.584012,40,111.446848,111.446848,1210.010013,0.000000
1,Policy_B_balanced,0.057382,1.584012,40,39.384580,39.384580,0.000000,66.523107
1,Policy_C_high_adaptation,0.057382,1.584012,40,52.978531,52.978531,195.907043,35.377545
1,Policy_D_precautionary,0.057382,1.584012,40,21.407221,21.944317,0.000000,81.669588
2,Policy_A_low_control,0.047529,1.051643,39,67.864591,67.864591,383.336183,3.981479
2,Policy_B_balanced,0.047529,1.051643,39,22.163931,22.163931,0.000000,81.160659
2,Policy_C_high_adaptation,0.047529,1.051643,39,39.538847,39.538847,0.000000,66.391980
2,Policy_D_precautionary,0.047529,1.051643,39,11.854971,20.000000,0.000000,87.887017
3,Policy_A_low_control,0.083773,9.226700,24,402.139584,402.139584,5719.247984,0.000000
3,Policy_B_balanced,0.083773,9.226700,24,112.515316,112.515316,1205.380335,0.000000
3,Policy_C_high_adaptation,0.083773,9.226700,24,114.573896,114.573896,1551.826142,0.000000
3,Policy_D_precautionary,0.083773,9.226700,24,61.169235,61.169235,293.209993,18.685151
4,Policy_A_low_control,0.073783,17.655104,39,227.784391,227.784391,3258.390522,0.000000
4,Policy_B_balanced,0.073783,17.655104,39,62.211237,62.211237,326.583812,14.462068
4,Policy_C_high_adaptation,0.073783,17.655104,39,73.233807,73.233807,716.890811,0.000000
4,Policy_D_precautionary,0.073783,17.655104,39,33.616149,39.842863,0.000000,69.869595
5,Policy_A_low_control,0.056701,2.909714,40,105.554840,105.554840,1103.286137,0.000000
5,Policy_B_balanced,0.056701,2.909714,40,36.481134,36.481134,0.000000,68.991036
5,Policy_C_high_adaptation,0.056701,2.909714,40,51.134827,51.134827,149.959000,41.539497
5,Policy_D_precautionary,0.056701,2.909714,40,19.136716,21.370545,0.000000,83.175334
6,Policy_A_low_control,0.062972,17.096781,33,115.833037,115.833037,1226.436469,0.000000
6,Policy_B_balanced,0.062972,17.096781,33,30.567689,35.365484,0.000000,72.818016
