scenario_id,growth,shock_intensity,shock_timing,uncertainty_class
1,0.073366,0.600258,28,moderate_future
2,0.049694,3.34891,23,low_pressure_future
3,0.075602,21.41231,22,compound_stress_future
4,0.07043,0.762784,22,moderate_future
5,0.048118,12.128527,20,moderate_future
6,0.068675,17.184471,42,stressful_future
7,0.067696,5.290575,38,moderate_future
8,0.051691,20.863208,44,stressful_future
9,0.083349,16.755345,30,stressful_future
10,0.051672,5.16753,44,low_pressure_future
11,0.055196,2.2259,23,moderate_future
12,0.056539,8.254937,28,moderate_future
13,0.083428,17.513563,37,stressful_future
14,0.04249,22.135089,22,stressful_future
15,0.068122,19.905712,39,stressful_future
16,0.088127,8.679241,26,stressful_future
17,0.077274,1.099785,27,moderate_future
18,0.081384,23.645316,27,compound_stress_future
19,0.086989,9.123029,34,stressful_future
20,0.073141,8.755972,31,moderate_future
21,0.056316,16.084204,42,stressful_future
22,0.091199,15.552849,39,stressful_future
23,0.073099,12.819357,27,moderate_future
24,0.044804,9.106931,40,moderate_future
25,0.07629,5.270764,30,moderate_future
26,0.085571,18.623998,27,compound_stress_future
27,0.084308,19.321099,32,compound_stress_future
28,0.051064,5.063588,38,low_pressure_future
29,0.087582,7.552269,40,stressful_future
30,0.064954,21.232396,40,stressful_future
31,0.062531,6.357124,27,moderate_future
32,0.079699,12.935455,43,moderate_future
33,0.070075,21.547749,32,stressful_future
34,0.05672,23.935819,24,stressful_future
35,0.065572,2.181826,21,moderate_future
36,0.086666,3.668192,25,stressful_future
37,0.082525,10.131839,22,stressful_future
38,0.058086,14.301322,34,moderate_future
39,0.066747,23.305881,20,stressful_future
40,0.075817,2.749242,37,moderate_future
41,0.080053,18.44637,30,compound_stress_future
42,0.041693,10.434366,34,moderate_future
43,0.035195,17.330209,43,stressful_future
44,0.050803,12.014067,25,moderate_future
45,0.065461,2.55386,40,moderate_future
46,0.052907,15.334788,39,moderate_future
47,0.046935,8.973932,25,moderate_future
48,0.067363,18.687035,36,stressful_future
49,0.09011,14.37467,35,stressful_future
50,0.036169,22.298367,45,stressful_future
51,0.053451,1.390204,38,low_pressure_future
52,0.091817,2.055683,35,stressful_future
53,0.083961,23.471628,37,compound_stress_future
54,0.08095,3.081395,35,stressful_future
55,0.091811,3.963047,36,stressful_future
56,0.087346,10.155311,26,stressful_future
57,0.090735,18.126365,42,compound_stress_future
58,0.047069,7.481191,41,moderate_future
59,0.073993,10.514402,36,moderate_future
60,0.062089,5.949735,22,moderate_future
61,0.055285,14.119409,27,moderate_future
62,0.070306,0.17258,42,moderate_future
63,0.072866,5.494603,21,moderate_future
64,0.086578,1.700576,27,stressful_future
65,0.051709,11.649948,37,moderate_future
66,0.042939,22.452342,38,stressful_future
67,0.069573,5.831934,35,moderate_future
68,0.08345,4.569838,23,stressful_future
69,0.074539,8.503142,33,moderate_future
70,0.063021,17.49782,41,stressful_future
71,0.074207,15.508314,21,moderate_future
72,0.059157,8.143263,23,moderate_future
73,0.049919,4.565014,34,low_pressure_future
74,0.043411,4.403713,34,low_pressure_future
75,0.049988,22.158374,34,stressful_future
76,0.083481,20.543205,23,compound_stress_future
77,0.038035,23.982779,20,stressful_future
78,0.09314,22.232808,27,compound_stress_future
79,0.044979,11.655387,26,moderate_future
80,0.086879,21.658629,25,compound_stress_future
81,0.057738,23.647412,28,stressful_future
82,0.090591,18.843105,29,compound_stress_future
83,0.06038,22.975623,45,stressful_future
84,0.068346,17.241799,24,stressful_future
85,0.046394,5.224822,21,low_pressure_future
86,0.069751,13.012685,43,moderate_future
87,0.053816,1.203416,35,low_pressure_future
88,0.065171,20.465277,25,stressful_future
89,0.038413,12.187884,25,moderate_future
90,0.039111,1.631061,27,low_pressure_future
91,0.059227,22.598307,38,stressful_future
92,0.049773,14.26846,39,moderate_future
93,0.039919,15.776956,38,moderate_future
94,0.066367,22.43295,26,stressful_future
95,0.075184,7.540413,28,moderate_future
96,0.058747,16.120565,29,stressful_future
97,0.062433,22.29644,22,stressful_future
98,0.035559,14.907822,38,moderate_future
99,0.094766,1.758257,26,stressful_future
100,0.065353,3.178958,31,moderate_future
101,0.087852,21.102486,31,compound_stress_future
102,0.052099,10.51643,37,moderate_future
103,0.077212,14.680266,45,moderate_future
104,0.074239,0.187755,37,moderate_future
105,0.052963,15.921329,24,moderate_future
106,0.050868,21.353105,43,stressful_future
107,0.068193,6.536357,39,moderate_future
108,0.047638,8.229127,41,moderate_future
109,0.073054,6.335614,35,moderate_future
110,0.050067,21.795817,21,stressful_future
111,0.040538,10.165819,28,moderate_future
112,0.037645,8.005357,24,moderate_future
113,0.073227,6.286926,43,moderate_future
114,0.06151,16.936019,37,stressful_future
115,0.03558,1.805853,42,low_pressure_future
116,0.089236,13.094167,31,stressful_future
117,0.069951,3.554251,24,moderate_future
118,0.03751,8.751636,45,moderate_future
119,0.093332,0.957477,31,stressful_future
120,0.047605,5.988714,23,low_pressure_future
121,0.056221,13.437204,33,moderate_future
122,0.09343,17.987463,27,stressful_future
123,0.086876,23.428945,45,compound_stress_future
124,0.045623,9.895066,25,moderate_future
125,0.079194,7.972451,33,moderate_future
126,0.083134,20.737537,45,compound_stress_future
127,0.04989,3.820748,42,low_pressure_future
128,0.041486,20.932003,35,stressful_future
129,0.048346,19.598079,34,stressful_future
130,0.05598,19.692873,27,stressful_future
131,0.048375,15.840796,32,moderate_future
132,0.054696,20.744471,44,stressful_future
133,0.051747,15.395562,32,moderate_future
134,0.075771,20.247868,30,compound_stress_future
135,0.091354,2.768202,28,stressful_future
136,0.045714,23.100824,28,stressful_future
137,0.037295,14.31771,31,moderate_future
138,0.078713,7.528256,39,moderate_future
139,0.094054,2.775499,38,stressful_future
140,0.046405,1.065277,33,low_pressure_future
141,0.035101,22.213804,37,stressful_future
142,0.076211,22.566315,43,compound_stress_future
143,0.075238,8.741315,22,moderate_future
144,0.091932,22.098501,39,compound_stress_future
145,0.053835,20.352367,43,stressful_future
146,0.089003,12.17094,41,stressful_future
147,0.059504,9.657609,29,moderate_future
148,0.068265,4.604162,41,moderate_future
149,0.091422,16.255631,25,stressful_future
150,0.071931,7.222797,37,moderate_future
151,0.085024,7.292999,26,stressful_future
152,0.060793,13.919635,40,moderate_future
153,0.054335,10.602864,41,moderate_future
154,0.047822,11.356468,45,moderate_future
155,0.079158,15.812418,29,moderate_future
156,0.065927,15.190581,30,moderate_future
157,0.040603,22.847992,27,stressful_future
158,0.075368,5.391376,26,moderate_future
159,0.043841,1.109129,35,low_pressure_future
160,0.071676,18.443744,34,stressful_future
161,0.059866,15.114369,26,moderate_future
162,0.078101,9.215483,32,moderate_future
163,0.049639,15.745392,20,moderate_future
164,0.08856,20.650574,23,compound_stress_future
165,0.081705,5.252187,45,stressful_future
166,0.092478,12.430986,21,stressful_future
167,0.068444,22.01928,23,stressful_future
168,0.062388,19.233998,41,stressful_future
169,0.066868,13.414207,30,moderate_future
170,0.092002,21.394222,39,compound_stress_future
171,0.0839,21.408487,33,compound_stress_future
172,0.084834,13.148927,25,stressful_future
173,0.079619,11.392186,28,moderate_future
174,0.080107,20.156709,28,compound_stress_future
175,0.080949,12.511196,40,stressful_future
176,0.049355,10.556942,42,moderate_future
177,0.052144,6.521163,30,moderate_future
178,0.088582,1.933864,24,stressful_future
179,0.048876,16.654795,42,stressful_future
180,0.047837,9.95683,30,moderate_future
181,0.067557,9.978582,26,moderate_future
182,0.084973,9.347444,44,stressful_future
183,0.070045,16.692552,44,stressful_future
184,0.069541,11.447514,31,moderate_future
185,0.052917,9.35968,33,moderate_future
186,0.067293,17.631217,45,stressful_future
187,0.071195,5.292929,27,moderate_future
188,0.051376,11.655408,32,moderate_future
189,0.055168,16.299405,32,stressful_future
190,0.078451,20.172136,24,compound_stress_future
191,0.093843,12.818967,32,stressful_future
192,0.070514,15.911994,22,moderate_future
193,0.073565,3.256788,34,moderate_future
194,0.045904,6.243752,30,moderate_future
195,0.0477,7.844299,44,moderate_future
196,0.087778,6.678159,33,stressful_future
197,0.050136,1.96575,20,low_pressure_future
198,0.079941,1.250055,31,moderate_future
199,0.048453,1.646841,40,low_pressure_future
200,0.037415,0.74472,27,low_pressure_future
201,0.046962,0.48912,24,low_pressure_future
202,0.049313,11.365465,23,moderate_future
203,0.068838,5.231149,42,moderate_future
204,0.050375,8.853484,39,moderate_future
205,0.071435,17.950216,23,stressful_future
206,0.081668,3.930379,29,stressful_future
207,0.041486,0.616282,29,low_pressure_future
208,0.069548,21.792628,32,stressful_future
209,0.058799,17.160353,22,stressful_future
210,0.070526,19.933719,27,stressful_future
211,0.041114,18.539541,41,stressful_future
212,0.071025,2.905322,38,moderate_future
213,0.081958,8.33289,33,stressful_future
214,0.074691,1.654962,40,moderate_future
215,0.055474,20.389815,35,stressful_future
216,0.041332,23.058902,40,stressful_future
217,0.088495,11.033744,24,stressful_future
218,0.061129,17.611087,40,stressful_future
219,0.051205,19.396781,37,stressful_future
220,0.081478,11.156971,43,stressful_future
221,0.070548,7.73531,27,moderate_future
222,0.084844,2.07991,34,stressful_future
223,0.049632,11.153003,39,moderate_future
224,0.075091,8.073519,35,moderate_future
225,0.086057,4.364157,26,stressful_future
226,0.056289,6.200458,28,moderate_future
227,0.087819,16.82841,28,stressful_future
228,0.068347,12.399054,26,moderate_future
229,0.040137,17.281792,35,stressful_future
230,0.068311,5.767774,35,moderate_future
231,0.073754,11.779712,45,moderate_future
232,0.036035,7.061654,32,moderate_future
233,0.076507,7.348945,38,moderate_future
234,0.057141,13.283351,31,moderate_future
