time,state,absolute_state,adaptive_capacity,shock,performance
1,    0.000000,    0.000000,    0.220000,    0.000000,    1.000000
2,    0.000000,    0.000000,    0.219800,    0.000000,    1.000000
3,    0.000000,    0.000000,    0.219600,    0.000000,    1.000000
4,    0.000000,    0.000000,    0.219400,    0.000000,    1.000000
5,    0.000000,    0.000000,    0.219200,    0.000000,    1.000000
6,    0.000000,    0.000000,    0.219000,    0.000000,    1.000000
7,    0.000000,    0.000000,    0.218800,    0.000000,    1.000000
8,    0.000000,    0.000000,    0.218600,    0.000000,    1.000000
9,    0.000000,    0.000000,    0.218400,    0.000000,    1.000000
10,    0.000000,    0.000000,    0.218200,    0.000000,    1.000000
11,    0.000000,    0.000000,    0.218000,    0.000000,    1.000000
12,    0.000000,    0.000000,    0.217800,    0.000000,    1.000000
13,    0.000000,    0.000000,    0.217600,    0.000000,    1.000000
14,    0.000000,    0.000000,    0.217400,    0.000000,    1.000000
15,    0.000000,    0.000000,    0.217200,    0.000000,    1.000000
16,    0.000000,    0.000000,    0.217000,    0.000000,    1.000000
17,    0.000000,    0.000000,    0.216800,    0.000000,    1.000000
18,    0.000000,    0.000000,    0.216600,    0.000000,    1.000000
19,    0.000000,    0.000000,    0.216400,    0.000000,    1.000000
20,    0.000000,    0.000000,    0.216200,    0.000000,    1.000000
21,    0.000000,    0.000000,    0.216000,    0.000000,    1.000000
22,    0.000000,    0.000000,    0.215800,    0.000000,    1.000000
23,    0.000000,    0.000000,    0.215600,    0.000000,    1.000000
24,    0.000000,    0.000000,    0.215400,    0.000000,    1.000000
25,    1.500000,    1.500000,    0.215200,    1.500000,    0.625000
26,    1.178550,    1.178550,    0.214300,    0.000000,    0.705362
27,    0.927047,    0.927047,    0.213400,    0.000000,    0.768238
28,    0.730003,    0.730003,    0.212551,    0.000000,    0.817499
29,    0.575359,    0.575359,    0.211840,    0.000000,    0.856160
30,    0.453821,    0.453821,    0.211237,    0.000000,    0.886545
31,    0.358192,    0.358192,    0.210720,    0.000000,    0.910452
32,    0.282876,    0.282876,    0.210269,    0.000000,    0.929281
33,    0.223508,    0.223508,    0.209871,    0.000000,    0.944123
34,    0.176680,    0.176680,    0.209514,    0.000000,    0.955830
35,    0.139720,    0.139720,    0.209191,    0.000000,    0.965070
36,    0.110534,    0.110534,    0.208893,    0.000000,    0.972367
37,    0.087475,    0.087475,    0.208616,    0.000000,    0.978131
38,    0.069249,    0.069249,    0.208354,    0.000000,    0.982688
39,    0.054838,    0.054838,    0.208106,    0.000000,    0.986291
40,    0.043439,    0.043439,    0.207867,    0.000000,    0.989140
41,    0.034419,    0.034419,    0.207637,    0.000000,    0.991395
42,    0.027280,    0.027280,    0.207413,    0.000000,    0.993180
43,    0.021628,    0.021628,    0.207194,    0.000000,    0.994593
44,    0.017151,    0.017151,    0.206979,    0.000000,    0.995712
45,    0.013605,    0.013605,    0.206767,    0.000000,    0.996599
46,    0.010795,    0.010795,    0.206557,    0.000000,    0.997301
47,    0.008567,    0.008567,    0.206350,    0.000000,    0.997858
48,    0.006801,    0.006801,    0.206144,    0.000000,    0.998300
49,    0.005401,    0.005401,    0.205939,    0.000000,    0.998650
50,    0.004290,    0.004290,    0.205735,    0.000000,    0.998928
51,    0.003408,    0.003408,    0.205532,    0.000000,    0.999148
52,    0.002708,    0.002708,    0.205330,    0.000000,    0.999323
53,    0.002153,    0.002153,    0.205128,    0.000000,    0.999462
54,    0.001711,    0.001711,    0.204926,    0.000000,    0.999572
55,    1.701361,    1.701361,    0.204725,    1.700000,    0.574660
56,    1.354581,    1.354581,    0.203825,    0.000000,    0.661355
57,    1.079702,    1.079702,    0.202925,    0.000000,    0.730074
58,    0.861575,    0.861575,    0.202025,    0.000000,    0.784606
59,    0.688207,    0.688207,    0.201222,    0.000000,    0.827948
60,    0.550194,    0.550194,    0.200540,    0.000000,    0.862451
61,    0.440180,    0.440180,    0.199955,    0.000000,    0.889955
62,    0.352387,    0.352387,    0.199447,    0.000000,    0.911903
63,    0.282262,    0.282262,    0.199000,    0.000000,    0.929434
64,    0.226204,    0.226204,    0.198603,    0.000000,    0.943449
65,    0.181360,    0.181360,    0.198244,    0.000000,    0.954660
66,    0.145466,    0.145466,    0.197917,    0.000000,    0.963633
67,    0.116720,    0.116720,    0.197616,    0.000000,    0.970820
68,    0.093687,    0.093687,    0.197334,    0.000000,    0.976578
69,    0.075224,    0.075224,    0.197068,    0.000000,    0.981194
70,    0.060419,    0.060419,    0.196816,    0.000000,    0.984895
71,    0.048542,    0.048542,    0.196573,    0.000000,    0.987864
72,    0.039011,    0.039011,    0.196339,    0.000000,    0.990247
73,    0.031361,    0.031361,    0.196112,    0.000000,    0.992160
74,    0.025218,    0.025218,    0.195890,    0.000000,    0.993696
75,    0.020283,    0.020283,    0.195673,    0.000000,    0.994929
76,    0.016319,    0.016319,    0.195458,    0.000000,    0.995920
77,    0.013132,    0.013132,    0.195247,    0.000000,    0.996717
78,    0.010571,    0.010571,    0.195038,    0.000000,    0.997357
79,    0.008512,    0.008512,    0.194830,    0.000000,    0.997872
80,    0.006855,    0.006855,    0.194624,    0.000000,    0.998286
81,    0.005522,    0.005522,    0.194420,    0.000000,    0.998619
82,    0.004450,    0.004450,    0.194216,    0.000000,    0.998888
83,    0.003586,    0.003586,    0.194013,    0.000000,    0.999103
84,    0.002891,    0.002891,    0.193810,    0.000000,    0.999277
85,    0.002332,    0.002332,    0.193608,    0.000000,    0.999417
86,    0.001881,    0.001881,    0.193406,    0.000000,    0.999530
87,    0.001517,    0.001517,    0.193205,    0.000000,    0.999621
88,    0.001224,    0.001224,    0.193004,    0.000000,    0.999694
