scenario,time,state,absolute_state,adaptive_capacity,shock,performance
baseline_adaptation,1,0.000000,0.000000,0.220000,0.000000,1.000000
baseline_adaptation,2,0.000000,0.000000,0.219800,0.000000,1.000000
baseline_adaptation,3,0.000000,0.000000,0.219600,0.000000,1.000000
baseline_adaptation,4,0.000000,0.000000,0.219400,0.000000,1.000000
baseline_adaptation,5,0.000000,0.000000,0.219200,0.000000,1.000000
baseline_adaptation,6,0.000000,0.000000,0.219000,0.000000,1.000000
baseline_adaptation,7,0.000000,0.000000,0.218800,0.000000,1.000000
baseline_adaptation,8,0.000000,0.000000,0.218600,0.000000,1.000000
baseline_adaptation,9,0.000000,0.000000,0.218400,0.000000,1.000000
baseline_adaptation,10,0.000000,0.000000,0.218200,0.000000,1.000000
baseline_adaptation,11,0.000000,0.000000,0.218000,0.000000,1.000000
baseline_adaptation,12,0.000000,0.000000,0.217800,0.000000,1.000000
baseline_adaptation,13,0.000000,0.000000,0.217600,0.000000,1.000000
baseline_adaptation,14,0.000000,0.000000,0.217400,0.000000,1.000000
baseline_adaptation,15,0.000000,0.000000,0.217200,0.000000,1.000000
baseline_adaptation,16,0.000000,0.000000,0.217000,0.000000,1.000000
baseline_adaptation,17,0.000000,0.000000,0.216800,0.000000,1.000000
baseline_adaptation,18,0.000000,0.000000,0.216600,0.000000,1.000000
baseline_adaptation,19,0.000000,0.000000,0.216400,0.000000,1.000000
baseline_adaptation,20,0.000000,0.000000,0.216200,0.000000,1.000000
baseline_adaptation,21,0.000000,0.000000,0.216000,0.000000,1.000000
baseline_adaptation,22,0.000000,0.000000,0.215800,0.000000,1.000000
baseline_adaptation,23,0.000000,0.000000,0.215600,0.000000,1.000000
baseline_adaptation,24,0.000000,0.000000,0.215400,0.000000,1.000000
baseline_adaptation,25,1.500000,1.500000,0.215200,1.500000,0.625000
baseline_adaptation,26,1.178550,1.178550,0.214300,0.000000,0.705362
baseline_adaptation,27,0.927047,0.927047,0.213400,0.000000,0.768238
baseline_adaptation,28,0.730003,0.730003,0.212551,0.000000,0.817499
