scenario,time,state,absolute_state,adaptive_capacity,shock,performance,performance_loss,initial_adaptive_capacity,recovery_erosion,learning_gain,shock_multiplier
baseline_adaptation,1,0.0,0.0,0.22,0.0,1.0,0.0,0.22,0.0009,0.0007,1.0
baseline_adaptation,2,-0.003602,0.003602,0.2198,0.0,0.999099,0.000901,0.22,0.0009,0.0007,1.0
baseline_adaptation,3,-0.007134,0.007134,0.219597,0.0,0.998217,0.001783,0.22,0.0009,0.0007,1.0
baseline_adaptation,4,-0.008352,0.008352,0.219392,0.0,0.997912,0.002088,0.22,0.0009,0.0007,1.0
baseline_adaptation,5,0.011029,0.011029,0.219187,0.0,0.997243,0.002757,0.22,0.0009,0.0007,1.0
baseline_adaptation,6,0.005424,0.005424,0.218979,0.0,0.998644,0.001356,0.22,0.0009,0.0007,1.0
baseline_adaptation,7,-0.033197,0.033197,0.218775,0.0,0.991701,0.008299,0.22,0.0009,0.0007,1.0
baseline_adaptation,8,-0.017633,0.017633,0.218552,0.0,0.995592,0.004408,0.22,0.0009,0.0007,1.0
baseline_adaptation,9,-0.020467,0.020467,0.21834,0.0,0.994883,0.005117,0.22,0.0009,0.0007,1.0
baseline_adaptation,10,-0.021426,0.021426,0.218125,0.0,0.994643,0.005357,0.22,0.0009,0.0007,1.0
baseline_adaptation,11,-0.01386,0.01386,0.21791,0.0,0.996535,0.003465,0.22,0.0009,0.0007,1.0
baseline_adaptation,12,-0.005035,0.005035,0.217701,0.0,0.998741,0.001259,0.22,0.0009,0.0007,1.0
baseline_adaptation,13,0.025149,0.025149,0.217497,0.0,0.993713,0.006287,0.22,0.0009,0.0007,1.0
baseline_adaptation,14,0.0361,0.0361,0.217279,0.0,0.990975,0.009025,0.22,0.0009,0.0007,1.0
baseline_adaptation,15,0.031027,0.031027,0.217054,0.0,0.992243,0.007757,0.22,0.0009,0.0007,1.0
baseline_adaptation,16,0.005842,0.005842,0.216832,0.0,0.99854,0.00146,0.22,0.0009,0.0007,1.0
baseline_adaptation,17,-0.02079,0.02079,0.216628,0.0,0.994802,0.005198,0.22,0.0009,0.0007,1.0
baseline_adaptation,18,-0.010133,0.010133,0.216414,0.0,0.997467,0.002533,0.22,0.0009,0.0007,1.0
baseline_adaptation,19,0.024835,0.024835,0.216207,0.0,0.993791,0.006209,0.22,0.0009,0.0007,1.0
baseline_adaptation,20,0.020512,0.020512,0.215989,0.0,0.994872,0.005128,0.22,0.0009,0.0007,1.0
baseline_adaptation,21,0.013428,0.013428,0.215775,0.0,0.996643,0.003357,0.22,0.0009,0.0007,1.0
baseline_adaptation,22,0.023828,0.023828,0.215566,0.0,0.994043,0.005957,0.22,0.0009,0.0007,1.0
baseline_adaptation,23,-0.017642,0.017642,0.215349,0.0,0.99559,0.00441,0.22,0.0009,0.0007,1.0
baseline_adaptation,24,-0.021653,0.021653,0.215136,0.0,0.994587,0.005413,0.22,0.0009,0.0007,1.0
baseline_adaptation,25,1.495259,1.495259,0.214921,1.5,0.626185,0.373815,0.22,0.0009,0.0007,1.0
baseline_adaptation,26,1.197077,1.197077,0.214021,0.0,0.700731,0.299269,0.22,0.0009,0.0007,1.0
baseline_adaptation,27,0.935939,0.935939,0.213121,0.0,0.766015,0.233985,0.22,0.0009,0.0007,1.0
baseline_adaptation,28,0.746686,0.746686,0.212266,0.0,0.813329,0.186671,0.22,0.0009,0.0007,1.0
baseline_adaptation,29,0.594934,0.594934,0.211543,0.0,0.851266,0.148734,0.22,0.0009,0.0007,1.0
