scenario,path,initial_state,final_state,minimum_state,maximum_state,minimum_control_parameter,maximum_control_parameter,approximate_transition_step,approximate_transition_parameter,maximum_jump_size,maximum_rolling_variance_20,maximum_rolling_autocorrelation_20,diagnostic_label
baseline_hysteresis,backward_forcing,1.363339,-1.363339,-1.363339,1.364822,-1.2,1.2,,,0.065456,0.122101,1.0,smooth response
baseline_hysteresis,forward_forcing,-1.0,1.363339,-1.33827,1.363339,-1.2,1.2,,,0.065456,0.122101,1.0,smooth response
fast_forcing,backward_forcing,1.335925,-1.335925,-1.335925,1.354697,-1.2,1.2,,,0.10636,0.257294,1.0,smooth response
fast_forcing,forward_forcing,-1.0,1.335925,-1.331055,1.335925,-1.2,1.2,,,0.10636,0.257294,1.0,smooth response
high_resolution,backward_forcing,1.363831,-1.363831,-1.363831,1.365415,-1.2,1.2,,,0.03142,0.032702,1.0,smooth response
high_resolution,forward_forcing,-1.0,1.363831,-1.341226,1.363831,-1.2,1.2,,,0.03142,0.032702,1.0,smooth response
near_threshold_start,backward_forcing,1.363776,0.089557,0.089557,1.365124,-0.8,1.2,,,0.03392,0.016725,1.0,smooth response
near_threshold_start,forward_forcing,-0.6,1.363776,-1.221872,1.363776,-0.8,1.2,,,0.064821,0.119986,1.0,smooth response
policy_delay,backward_forcing,1.386208,-1.255768,-1.255768,1.387077,-1.0,1.3,,,0.077032,0.157596,1.0,smooth response
policy_delay,forward_forcing,-1.0,1.386208,-1.292516,1.386208,-1.0,1.3,,,0.077042,0.15776,1.0,smooth response
recovery_stress,backward_forcing,1.326625,-1.364785,-1.364785,1.329914,-1.2,1.05,,,0.069252,0.132935,1.0,smooth response
recovery_stress,forward_forcing,-1.0,1.326625,-1.342235,1.326625,-1.2,1.05,,,0.069246,0.132903,1.0,smooth response
slow_forcing,backward_forcing,1.36414,-1.36414,-1.36414,1.36552,-1.2,1.2,,,0.044015,0.06117,1.0,smooth response
slow_forcing,forward_forcing,-1.0,1.36414,-1.341509,1.36414,-1.2,1.2,,,0.044015,0.06117,1.0,smooth response
wide_forcing,backward_forcing,1.41648,-1.41648,-1.41648,1.417506,-1.45,1.45,,,0.065489,0.122323,1.0,smooth response
wide_forcing,forward_forcing,-1.1,1.41648,-1.395488,1.41648,-1.45,1.45,,,0.065489,0.122323,1.0,smooth response
