scenario,path,step,control_parameter,system_state,jump_size,transition_flag,rolling_variance_20,rolling_autocorrelation_20,dt,transition_jump_threshold
baseline_hysteresis,forward_forcing,1,-1.2,-1.0,0.0,0,,,0.05,0.15
baseline_hysteresis,forward_forcing,2,-1.191973,-1.059599,0.059599,0,,,0.05,0.15
baseline_hysteresis,forward_forcing,3,-1.183946,-1.112293,0.052694,0,,,0.05,0.15
baseline_hysteresis,forward_forcing,4,-1.17592,-1.157897,0.045604,0,,,0.05,0.15
baseline_hysteresis,forward_forcing,5,-1.167893,-1.196566,0.038668,0,,,0.05,0.15
baseline_hysteresis,forward_forcing,6,-1.159866,-1.228727,0.032161,0,,,0.05,0.15
baseline_hysteresis,forward_forcing,7,-1.151839,-1.255,0.026274,0,,,0.05,0.15
baseline_hysteresis,forward_forcing,8,-1.143813,-1.276108,0.021108,0,,,0.05,0.15
baseline_hysteresis,forward_forcing,9,-1.135786,-1.292799,0.016691,0,,,0.05,0.15
baseline_hysteresis,forward_forcing,10,-1.127759,-1.305792,0.012993,0,,,0.05,0.15
baseline_hysteresis,forward_forcing,11,-1.119732,-1.315744,0.009951,0,,,0.05,0.15
baseline_hysteresis,forward_forcing,12,-1.111706,-1.323226,0.007483,0,,,0.05,0.15
baseline_hysteresis,forward_forcing,13,-1.103679,-1.328728,0.005502,0,,,0.05,0.15
baseline_hysteresis,forward_forcing,14,-1.095652,-1.332652,0.003924,0,,,0.05,0.15
baseline_hysteresis,forward_forcing,15,-1.087625,-1.335329,0.002677,0,,,0.05,0.15
baseline_hysteresis,forward_forcing,16,-1.079599,-1.337024,0.001695,0,,,0.05,0.15
baseline_hysteresis,forward_forcing,17,-1.071572,-1.337948,0.000924,0,,,0.05,0.15
baseline_hysteresis,forward_forcing,18,-1.063545,-1.33827,0.000321,0,,,0.05,0.15
baseline_hysteresis,forward_forcing,19,-1.055518,-1.338119,0.00015,0,,,0.05,0.15
baseline_hysteresis,forward_forcing,20,-1.047492,-1.3376,0.000519,0,0.010605,0.99955,0.05,0.15
baseline_hysteresis,forward_forcing,21,-1.039465,-1.336794,0.000807,0,0.007042,0.99953,0.05,0.15
baseline_hysteresis,forward_forcing,22,-1.031438,-1.335762,0.001032,0,0.004527,0.999458,0.05,0.15
baseline_hysteresis,forward_forcing,23,-1.023411,-1.334553,0.001209,0,0.002813,0.999288,0.05,0.15
baseline_hysteresis,forward_forcing,24,-1.015385,-1.333206,0.001347,0,0.001686,0.998918,0.05,0.15
baseline_hysteresis,forward_forcing,25,-1.007358,-1.331749,0.001456,0,0.000972,0.998094,0.05,0.15
baseline_hysteresis,forward_forcing,26,-0.999331,-1.330207,0.001543,0,0.000536,0.996131,0.05,0.15
baseline_hysteresis,forward_forcing,27,-0.991304,-1.328596,0.001611,0,0.000281,0.991023,0.05,0.15
baseline_hysteresis,forward_forcing,28,-0.983278,-1.32693,0.001666,0,0.00014,0.976816,0.05,0.15
baseline_hysteresis,forward_forcing,29,-0.975251,-1.32522,0.00171,0,6.9e-05,0.941244,0.05,0.15
baseline_hysteresis,forward_forcing,30,-0.967224,-1.323474,0.001746,0,3.9e-05,0.898039,0.05,0.15
