step,control_parameter,system_state,jump_size,transition_flag
1,   -1.200000,   -1.000000,    0.000000,0
2,   -1.191973,   -1.059599,    0.059599,0
3,   -1.183946,   -1.112293,    0.052694,0
4,   -1.175920,   -1.157897,    0.045604,0
5,   -1.167893,   -1.196566,    0.038668,0
6,   -1.159866,   -1.228727,    0.032161,0
7,   -1.151839,   -1.255000,    0.026274,0
8,   -1.143813,   -1.276108,    0.021108,0
9,   -1.135786,   -1.292799,    0.016691,0
10,   -1.127759,   -1.305792,    0.012993,0
11,   -1.119732,   -1.315744,    0.009951,0
12,   -1.111706,   -1.323226,    0.007483,0
13,   -1.103679,   -1.328728,    0.005502,0
14,   -1.095652,   -1.332652,    0.003924,0
15,   -1.087625,   -1.335329,    0.002677,0
16,   -1.079599,   -1.337024,    0.001695,0
17,   -1.071572,   -1.337948,    0.000924,0
18,   -1.063545,   -1.338270,    0.000321,0
19,   -1.055518,   -1.338119,    0.000150,0
20,   -1.047492,   -1.337600,    0.000519,0
21,   -1.039465,   -1.336794,    0.000807,0
22,   -1.031438,   -1.335762,    0.001032,0
23,   -1.023411,   -1.334553,    0.001209,0
24,   -1.015385,   -1.333206,    0.001347,0
25,   -1.007358,   -1.331749,    0.001456,0
26,   -0.999331,   -1.330207,    0.001543,0
27,   -0.991304,   -1.328596,    0.001611,0
28,   -0.983278,   -1.326930,    0.001666,0
29,   -0.975251,   -1.325220,    0.001710,0
30,   -0.967224,   -1.323474,    0.001746,0
31,   -0.959197,   -1.321699,    0.001775,0
32,   -0.951171,   -1.319899,    0.001799,0
33,   -0.943144,   -1.318079,    0.001820,0
34,   -0.935117,   -1.316242,    0.001837,0
35,   -0.927090,   -1.314390,    0.001852,0
36,   -0.919064,   -1.312524,    0.001866,0
37,   -0.911037,   -1.310646,    0.001877,0
38,   -0.903010,   -1.308758,    0.001888,0
39,   -0.894983,   -1.306860,    0.001898,0
40,   -0.886957,   -1.304953,    0.001907,0
41,   -0.878930,   -1.303037,    0.001916,0
42,   -0.870903,   -1.301112,    0.001925,0
43,   -0.862876,   -1.299179,    0.001933,0
44,   -0.854849,   -1.297239,    0.001941,0
45,   -0.846823,   -1.295290,    0.001948,0
46,   -0.838796,   -1.293334,    0.001956,0
47,   -0.830769,   -1.291370,    0.001964,0
48,   -0.822742,   -1.289399,    0.001971,0
49,   -0.814716,   -1.287420,    0.001979,0
50,   -0.806689,   -1.285434,    0.001986,0
51,   -0.798662,   -1.283440,    0.001994,0
52,   -0.790635,   -1.281439,    0.002002,0
53,   -0.782609,   -1.279429,    0.002009,0
54,   -0.774582,   -1.277413,    0.002017,0
55,   -0.766555,   -1.275388,    0.002025,0
56,   -0.758528,   -1.273356,    0.002032,0
57,   -0.750502,   -1.271315,    0.002040,0
58,   -0.742475,   -1.269267,    0.002048,0
59,   -0.734448,   -1.267211,    0.002056,0
60,   -0.726421,   -1.265147,    0.002064,0
61,   -0.718395,   -1.263074,    0.002072,0
62,   -0.710368,   -1.260994,    0.002081,0
63,   -0.702341,   -1.258905,    0.002089,0
64,   -0.694314,   -1.256808,    0.002097,0
65,   -0.686288,   -1.254702,    0.002106,0
66,   -0.678261,   -1.252588,    0.002114,0
67,   -0.670234,   -1.250465,    0.002123,0
68,   -0.662207,   -1.248333,    0.002132,0
69,   -0.654181,   -1.246193,    0.002140,0
70,   -0.646154,   -1.244043,    0.002149,0
71,   -0.638127,   -1.241885,    0.002158,0
72,   -0.630100,   -1.239718,    0.002167,0
73,   -0.622074,   -1.237541,    0.002177,0
74,   -0.614047,   -1.235355,    0.002186,0
75,   -0.606020,   -1.233160,    0.002195,0
76,   -0.597993,   -1.230955,    0.002205,0
77,   -0.589967,   -1.228741,    0.002214,0
78,   -0.581940,   -1.226517,    0.002224,0
79,   -0.573913,   -1.224284,    0.002234,0
80,   -0.565886,   -1.222040,    0.002244,0
81,   -0.557860,   -1.219786,    0.002254,0
82,   -0.549833,   -1.217523,    0.002264,0
83,   -0.541806,   -1.215249,    0.002274,0
84,   -0.533779,   -1.212964,    0.002284,0
85,   -0.525753,   -1.210669,    0.002295,0
86,   -0.517726,   -1.208364,    0.002305,0
87,   -0.509699,   -1.206048,    0.002316,0
88,   -0.501672,   -1.203721,    0.002327,0
89,   -0.493645,   -1.201383,    0.002338,0
90,   -0.485619,   -1.199034,    0.002349,0
91,   -0.477592,   -1.196674,    0.002360,0
92,   -0.469565,   -1.194302,    0.002372,0
93,   -0.461538,   -1.191919,    0.002383,0
94,   -0.453512,   -1.189524,    0.002395,0
95,   -0.445485,   -1.187118,    0.002407,0
96,   -0.437458,   -1.184700,    0.002418,0
97,   -0.429431,   -1.182269,    0.002431,0
98,   -0.421405,   -1.179826,    0.002443,0
99,   -0.413378,   -1.177371,    0.002455,0
100,   -0.405351,   -1.174904,    0.002468,0
101,   -0.397324,   -1.172423,    0.002480,0
102,   -0.389298,   -1.169930,    0.002493,0
103,   -0.381271,   -1.167424,    0.002506,0
104,   -0.373244,   -1.164904,    0.002519,0
105,   -0.365217,   -1.162372,    0.002533,0
106,   -0.357191,   -1.159825,    0.002546,0
107,   -0.349164,   -1.157265,    0.002560,0
108,   -0.341137,   -1.154691,    0.002574,0
109,   -0.333110,   -1.152103,    0.002588,0
110,   -0.325084,   -1.149501,    0.002602,0
111,   -0.317057,   -1.146884,    0.002617,0
112,   -0.309030,   -1.144252,    0.002632,0
113,   -0.301003,   -1.141606,    0.002646,0
114,   -0.292977,   -1.138944,    0.002662,0
115,   -0.284950,   -1.136267,    0.002677,0
116,   -0.276923,   -1.133575,    0.002692,0
117,   -0.268896,   -1.130867,    0.002708,0
118,   -0.260870,   -1.128143,    0.002724,0
119,   -0.252843,   -1.125402,    0.002740,0
120,   -0.244816,   -1.122645,    0.002757,0
121,   -0.236789,   -1.119872,    0.002774,0
122,   -0.228763,   -1.117081,    0.002791,0
123,   -0.220736,   -1.114273,    0.002808,0
124,   -0.212709,   -1.111448,    0.002825,0
125,   -0.204682,   -1.108605,    0.002843,0
126,   -0.196656,   -1.105744,    0.002861,0
127,   -0.188629,   -1.102865,    0.002879,0
128,   -0.180602,   -1.099967,    0.002898,0
129,   -0.172575,   -1.097050,    0.002917,0
130,   -0.164548,   -1.094114,    0.002936,0
131,   -0.156522,   -1.091158,    0.002956,0
132,   -0.148495,   -1.088183,    0.002975,0
133,   -0.140468,   -1.085187,    0.002996,0
134,   -0.132441,   -1.082171,    0.003016,0
135,   -0.124415,   -1.079134,    0.003037,0
136,   -0.116388,   -1.076076,    0.003058,0
137,   -0.108361,   -1.072996,    0.003080,0
138,   -0.100334,   -1.069895,    0.003102,0
139,   -0.092308,   -1.066771,    0.003124,0
140,   -0.084281,   -1.063624,    0.003147,0
141,   -0.076254,   -1.060454,    0.003170,0
142,   -0.068227,   -1.057261,    0.003193,0
143,   -0.060201,   -1.054044,    0.003217,0
144,   -0.052174,   -1.050802,    0.003242,0
145,   -0.044147,   -1.047536,    0.003267,0
146,   -0.036120,   -1.044244,    0.003292,0
147,   -0.028094,   -1.040926,    0.003318,0
148,   -0.020067,   -1.037582,    0.003344,0
149,   -0.012040,   -1.034211,    0.003371,0
150,   -0.004013,   -1.030813,    0.003398,0
151,    0.004013,   -1.027387,    0.003426,0
152,    0.012040,   -1.023933,    0.003454,0
153,    0.020067,   -1.020450,    0.003483,0
154,    0.028094,   -1.016937,    0.003513,0
155,    0.036120,   -1.013394,    0.003543,0
156,    0.044147,   -1.009820,    0.003574,0
157,    0.052174,   -1.006215,    0.003605,0
158,    0.060201,   -1.002578,    0.003637,0
159,    0.068227,   -0.998908,    0.003670,0
160,    0.076254,   -0.995204,    0.003704,0
161,    0.084281,   -0.991466,    0.003738,0
162,    0.092308,   -0.987693,    0.003773,0
163,    0.100334,   -0.983884,    0.003809,0
164,    0.108361,   -0.980039,    0.003845,0
165,    0.116388,   -0.976157,    0.003883,0
166,    0.124415,   -0.972236,    0.003921,0
167,    0.132441,   -0.968275,    0.003960,0
168,    0.140468,   -0.964275,    0.004000,0
169,    0.148495,   -0.960234,    0.004041,0
170,    0.156522,   -0.956150,    0.004084,0
171,    0.164548,   -0.952023,    0.004127,0
172,    0.172575,   -0.947853,    0.004171,0
173,    0.180602,   -0.943636,    0.004216,0
174,    0.188629,   -0.939374,    0.004263,0
175,    0.196656,   -0.935063,    0.004310,0
176,    0.204682,   -0.930704,    0.004359,0
177,    0.212709,   -0.926295,    0.004410,0
178,    0.220736,   -0.921834,    0.004461,0
179,    0.228763,   -0.917319,    0.004514,0
180,    0.236789,   -0.912751,    0.004569,0
181,    0.244816,   -0.908126,    0.004625,0
182,    0.252843,   -0.903444,    0.004682,0
183,    0.260870,   -0.898703,    0.004741,0
184,    0.268896,   -0.893901,    0.004802,0
185,    0.276923,   -0.889036,    0.004865,0
186,    0.284950,   -0.884106,    0.004930,0
187,    0.292977,   -0.879110,    0.004996,0
188,    0.301003,   -0.874045,    0.005065,0
189,    0.309030,   -0.868909,    0.005136,0
190,    0.317057,   -0.863700,    0.005209,0
191,    0.325084,   -0.858416,    0.005284,0
192,    0.333110,   -0.853054,    0.005362,0
193,    0.341137,   -0.847611,    0.005443,0
194,    0.349164,   -0.842085,    0.005526,0
195,    0.357191,   -0.836474,    0.005612,0
196,    0.365217,   -0.830773,    0.005701,0
197,    0.373244,   -0.824980,    0.005793,0
198,    0.381271,   -0.819092,    0.005888,0
199,    0.389298,   -0.813105,    0.005987,0
200,    0.397324,   -0.807015,    0.006090,0
201,    0.405351,   -0.800819,    0.006196,0
202,    0.413378,   -0.794512,    0.006307,0
203,    0.421405,   -0.788091,    0.006421,0
204,    0.429431,   -0.781550,    0.006541,0
205,    0.437458,   -0.774885,    0.006665,0
206,    0.445485,   -0.768091,    0.006794,0
207,    0.453512,   -0.761163,    0.006928,0
208,    0.461538,   -0.754095,    0.007068,0
209,    0.469565,   -0.746880,    0.007215,0
210,    0.477592,   -0.739513,    0.007367,0
211,    0.485619,   -0.731986,    0.007527,0
212,    0.493645,   -0.724293,    0.007693,0
213,    0.501672,   -0.716426,    0.007867,0
214,    0.509699,   -0.708376,    0.008050,0
215,    0.517726,   -0.700136,    0.008241,0
216,    0.525753,   -0.691695,    0.008441,0
217,    0.533779,   -0.683044,    0.008651,0
218,    0.541806,   -0.674172,    0.008872,0
219,    0.549833,   -0.665068,    0.009104,0
220,    0.557860,   -0.655720,    0.009348,0
221,    0.565886,   -0.646115,    0.009605,0
222,    0.573913,   -0.636239,    0.009876,0
223,    0.581940,   -0.626076,    0.010163,0
224,    0.589967,   -0.615611,    0.010465,0
225,    0.597993,   -0.604827,    0.010784,0
226,    0.606020,   -0.593705,    0.011122,0
227,    0.614047,   -0.582224,    0.011481,0
228,    0.622074,   -0.570363,    0.011861,0
229,    0.630100,   -0.558099,    0.012264,0
230,    0.638127,   -0.545406,    0.012693,0
231,    0.646154,   -0.532257,    0.013149,0
232,    0.654181,   -0.518621,    0.013636,0
233,    0.662207,   -0.504467,    0.014154,0
234,    0.670234,   -0.489760,    0.014707,0
235,    0.678261,   -0.474461,    0.015299,0
236,    0.686288,   -0.458529,    0.015932,0
237,    0.694314,   -0.441920,    0.016610,0
238,    0.702341,   -0.424583,    0.017336,0
239,    0.710368,   -0.406467,    0.018116,0
240,    0.718395,   -0.387513,    0.018954,0
241,    0.726421,   -0.367658,    0.019855,0
242,    0.734448,   -0.346834,    0.020824,0
243,    0.742475,   -0.324966,    0.021868,0
244,    0.750502,   -0.301973,    0.022993,0
245,    0.758528,   -0.277768,    0.024205,0
246,    0.766555,   -0.252257,    0.025511,0
247,    0.774582,   -0.225339,    0.026919,0
248,    0.782609,   -0.196903,    0.028436,0
249,    0.790635,   -0.166835,    0.030068,0
250,    0.798662,   -0.135011,    0.031824,0
251,    0.806689,   -0.101304,    0.033707,0
252,    0.814716,   -0.065582,    0.035723,0
253,    0.822742,   -0.027710,    0.037872,0
254,    0.830769,    0.012445,    0.040154,0
255,    0.838796,    0.055006,    0.042562,0
256,    0.846823,    0.100090,    0.045083,0
257,    0.854849,    0.147786,    0.047697,0
258,    0.862876,    0.198158,    0.050372,0
259,    0.870903,    0.251222,    0.053064,0
260,    0.878930,    0.306937,    0.055715,0
261,    0.886957,    0.365186,    0.058249,0
262,    0.894983,    0.425759,    0.060573,0
263,    0.903010,    0.488339,    0.062580,0
264,    0.911037,    0.552485,    0.064146,0
265,    0.919064,    0.617630,    0.065145,0
266,    0.927090,    0.683086,    0.065456,0
267,    0.935117,    0.748059,    0.064974,0
268,    0.943144,    0.811689,    0.063630,0
269,    0.951171,    0.873094,    0.061404,0
270,    0.959197,    0.931430,    0.058337,0
271,    0.967224,    0.985959,    0.054529,0
272,    0.975251,    1.036097,    0.050137,0
273,    0.983278,    1.081453,    0.045356,0
274,    0.991304,    1.121851,    0.040398,0
275,    0.999331,    1.157315,    0.035464,0
276,    1.007358,    1.188044,    0.030730,0
277,    1.015385,    1.214372,    0.026328,0
278,    1.023411,    1.236720,    0.022347,0
279,    1.031438,    1.255551,    0.018831,0
280,    1.039465,    1.271339,    0.015788,0
281,    1.047492,    1.284537,    0.013198,0
282,    1.055518,    1.295563,    0.011026,0
283,    1.063545,    1.304789,    0.009226,0
284,    1.071572,    1.312539,    0.007749,0
285,    1.079599,    1.319086,    0.006548,0
286,    1.087625,    1.324662,    0.005576,0
287,    1.095652,    1.329457,    0.004794,0
288,    1.103679,    1.333626,    0.004169,0
289,    1.111706,    1.337296,    0.003670,0
290,    1.119732,    1.340569,    0.003273,0
291,    1.127759,    1.343527,    0.002958,0
292,    1.135786,    1.346235,    0.002708,0
293,    1.143813,    1.348745,    0.002510,0
294,    1.151839,    1.351098,    0.002353,0
295,    1.159866,    1.353327,    0.002229,0
296,    1.167893,    1.355458,    0.002130,0
297,    1.175920,    1.357510,    0.002052,0
298,    1.183946,    1.359499,    0.001990,0
299,    1.191973,    1.361439,    0.001940,0
300,    1.200000,    1.363339,    0.001899,0
