scenario,path,step,control_parameter,system_state,jump_size,transition_flag
baseline_hysteresis,forward_forcing,1,-1.200000,-1.000000,0.000000,0
baseline_hysteresis,forward_forcing,2,-1.191973,-1.059599,0.059599,0
baseline_hysteresis,forward_forcing,3,-1.183946,-1.112293,0.052694,0
baseline_hysteresis,forward_forcing,4,-1.175920,-1.157897,0.045604,0
baseline_hysteresis,forward_forcing,5,-1.167893,-1.196566,0.038668,0
baseline_hysteresis,forward_forcing,6,-1.159866,-1.228727,0.032161,0
baseline_hysteresis,forward_forcing,7,-1.151839,-1.255000,0.026274,0
baseline_hysteresis,forward_forcing,8,-1.143813,-1.276108,0.021108,0
baseline_hysteresis,forward_forcing,9,-1.135786,-1.292799,0.016691,0
baseline_hysteresis,forward_forcing,10,-1.127759,-1.305792,0.012993,0
baseline_hysteresis,forward_forcing,11,-1.119732,-1.315744,0.009951,0
baseline_hysteresis,forward_forcing,12,-1.111706,-1.323226,0.007483,0
baseline_hysteresis,forward_forcing,13,-1.103679,-1.328728,0.005502,0
baseline_hysteresis,forward_forcing,14,-1.095652,-1.332652,0.003924,0
baseline_hysteresis,forward_forcing,15,-1.087625,-1.335329,0.002677,0
baseline_hysteresis,forward_forcing,16,-1.079599,-1.337024,0.001695,0
baseline_hysteresis,forward_forcing,17,-1.071572,-1.337948,0.000924,0
baseline_hysteresis,forward_forcing,18,-1.063545,-1.338270,0.000321,0
baseline_hysteresis,forward_forcing,19,-1.055518,-1.338119,0.000150,0
baseline_hysteresis,forward_forcing,20,-1.047492,-1.337600,0.000519,0
baseline_hysteresis,forward_forcing,21,-1.039465,-1.336794,0.000807,0
baseline_hysteresis,forward_forcing,22,-1.031438,-1.335762,0.001032,0
baseline_hysteresis,forward_forcing,23,-1.023411,-1.334553,0.001209,0
baseline_hysteresis,forward_forcing,24,-1.015385,-1.333206,0.001347,0
baseline_hysteresis,forward_forcing,25,-1.007358,-1.331749,0.001456,0
baseline_hysteresis,forward_forcing,26,-0.999331,-1.330207,0.001543,0
baseline_hysteresis,forward_forcing,27,-0.991304,-1.328596,0.001611,0
baseline_hysteresis,forward_forcing,28,-0.983278,-1.326930,0.001666,0
baseline_hysteresis,forward_forcing,29,-0.975251,-1.325220,0.001710,0
baseline_hysteresis,forward_forcing,30,-0.967224,-1.323474,0.001746,0
baseline_hysteresis,forward_forcing,31,-0.959197,-1.321699,0.001775,0
baseline_hysteresis,forward_forcing,32,-0.951171,-1.319899,0.001799,0
baseline_hysteresis,forward_forcing,33,-0.943144,-1.318079,0.001820,0
baseline_hysteresis,forward_forcing,34,-0.935117,-1.316242,0.001837,0
baseline_hysteresis,forward_forcing,35,-0.927090,-1.314390,0.001852,0
baseline_hysteresis,forward_forcing,36,-0.919064,-1.312524,0.001866,0
baseline_hysteresis,forward_forcing,37,-0.911037,-1.310646,0.001877,0
baseline_hysteresis,forward_forcing,38,-0.903010,-1.308758,0.001888,0
baseline_hysteresis,forward_forcing,39,-0.894983,-1.306860,0.001898,0
baseline_hysteresis,forward_forcing,40,-0.886957,-1.304953,0.001907,0
baseline_hysteresis,forward_forcing,41,-0.878930,-1.303037,0.001916,0
baseline_hysteresis,forward_forcing,42,-0.870903,-1.301112,0.001925,0
baseline_hysteresis,forward_forcing,43,-0.862876,-1.299179,0.001933,0
baseline_hysteresis,forward_forcing,44,-0.854849,-1.297239,0.001941,0
baseline_hysteresis,forward_forcing,45,-0.846823,-1.295290,0.001948,0
baseline_hysteresis,forward_forcing,46,-0.838796,-1.293334,0.001956,0
baseline_hysteresis,forward_forcing,47,-0.830769,-1.291370,0.001964,0
baseline_hysteresis,forward_forcing,48,-0.822742,-1.289399,0.001971,0
baseline_hysteresis,forward_forcing,49,-0.814716,-1.287420,0.001979,0
baseline_hysteresis,forward_forcing,50,-0.806689,-1.285434,0.001986,0
baseline_hysteresis,forward_forcing,51,-0.798662,-1.283440,0.001994,0
baseline_hysteresis,forward_forcing,52,-0.790635,-1.281439,0.002002,0
baseline_hysteresis,forward_forcing,53,-0.782609,-1.279429,0.002009,0
baseline_hysteresis,forward_forcing,54,-0.774582,-1.277413,0.002017,0
baseline_hysteresis,forward_forcing,55,-0.766555,-1.275388,0.002025,0
baseline_hysteresis,forward_forcing,56,-0.758528,-1.273356,0.002032,0
baseline_hysteresis,forward_forcing,57,-0.750502,-1.271315,0.002040,0
baseline_hysteresis,forward_forcing,58,-0.742475,-1.269267,0.002048,0
baseline_hysteresis,forward_forcing,59,-0.734448,-1.267211,0.002056,0
baseline_hysteresis,forward_forcing,60,-0.726421,-1.265147,0.002064,0
baseline_hysteresis,forward_forcing,61,-0.718395,-1.263074,0.002072,0
baseline_hysteresis,forward_forcing,62,-0.710368,-1.260994,0.002081,0
