"scenario","time","backlog","backlog_arrivals","backlog_completions","backlog_net_flow","resource","resource_regeneration","resource_extraction","resource_net_flow","infrastructure_condition","condition_maintenance","condition_wear","condition_net_flow"
"baseline",1,80,0,0,0,600,0,0,0,72,0,0,0
"baseline",2,79.6,18,18.4,-0.399999999999999,586.8,10.8,24,-13.2,71.164,0.9,1.736,-0.836
"baseline",3,79.232,18,18.368,-0.367999999999999,573.7109592,10.9109592,24,-13.0890408,70.317968,0.9,1.746032,-0.846032
"baseline",4,78.89344,18,18.33856,-0.338560000000001,560.716460452222,11.0055012522217,24,-12.9944987477783,69.461783616,0.9,1.756184384,-0.856184384
"baseline",5,78.5819648,18,18.3114752,-0.3114752,547.800568466579,11.0841080143569,24,-12.9158919856431,68.595325019392,0.9,1.766458596608,-0.866458596608
"baseline",6,78.295407616,18,18.286557184,-0.286557183999999,534.947748221021,11.1471797544422,24,-12.8528202455578,67.7184689196247,0.9,1.7768560997673,-0.876856099767296
"baseline",7,78.03177500672,18,18.26363260928,-0.263632609279998,522.142787691263,11.1950394702426,24,-12.8049605297574,66.8310905466602,0.9,1.7873783729645,-0.887378372964503
"baseline",8,77.7892330061824,18,18.2425420005376,-0.2425420005376,509.37072405416,11.2279363628967,24,-12.7720636371033,65.9330636332202,0.9,1.79802691344008,-0.898026913440077
"baseline",9,77.5660943656878,18,18.2231386404946,-0.223138640494593,496.616772583042,11.2460485288815,24,-12.7539514711185,65.0242603968188,0.9,1.80880323640136,-0.908803236401358
"baseline",10,77.3608068164328,18,18.205287549255,-0.205287549255026,483.866257502793,11.249484919751,24,-12.750515080249,64.1045515215806,0.9,1.81970887523817,-0.919708875238174
"baseline",11,77.1719422711182,18,18.1888645453146,-0.188864545314622,471.104544108679,11.2382866058865,24,-12.7617133941135,63.1738061398396,0.9,1.83074538174103,-0.930745381741032
"baseline",12,76.9981868894287,18,18.1737553816895,-0.173755381689453,458.316971476977,11.2124273682975,24,-12.7875726317025,62.2318918135177,0.9,1.84191432632192,-0.941914326321925
