scenario,stock,initial_value,final_value,minimum_value,maximum_value,mean_net_flow,final_net_flow,recovery_threshold,first_recovery_time,final_direction,interpretation
adaptive_recovery,backlog,74.8,0.0,0.0,74.8,-0.666667,0.0,75.0,1,balanced,stock pressure is lower when sustained outflow exceeds inflow
adaptive_recovery,resource,588.8,0.0,0.0,588.8,-12.014827,-10.0,500.0,1,depleting,resource recovery requires regeneration to exceed extraction
adaptive_recovery,infrastructure_condition,71.664,100.0,49.765377,100.0,0.915499,2.0,70.0,1,accumulating,condition recovery requires maintenance to exceed wear
baseline,backlog,79.6,75.000226,75.000226,79.6,-0.041665,-2e-05,75.0,,depleting,stock pressure is lower when sustained outflow exceeds inflow
baseline,resource,586.8,0.0,0.0,586.8,-21.093037,-24.0,500.0,1,depleting,resource recovery requires regeneration to exceed extraction
baseline,infrastructure_condition,71.164,0.0,0.0,71.164,-1.457056,-1.7,70.0,1,depleting,condition recovery requires maintenance to exceed wear
capacity_and_conservation,backlog,74.9,0.0,0.0,74.9,-0.666667,0.0,75.0,1,balanced,stock pressure is lower when sustained outflow exceeds inflow
capacity_and_conservation,resource,588.8,0.0,0.0,588.8,-14.364827,-12.0,500.0,1,depleting,resource recovery requires regeneration to exceed extraction
capacity_and_conservation,infrastructure_condition,71.464,72.443955,26.377887,72.443955,0.0037,1.056648,70.0,1,accumulating,condition recovery requires maintenance to exceed wear
delayed_response,backlog,78.1,0.0,0.0,78.1,-0.666667,0.0,75.0,3,balanced,stock pressure is lower when sustained outflow exceeds inflow
delayed_response,resource,586.8,0.0,0.0,586.8,-17.493037,-12.0,500.0,1,depleting,resource recovery requires regeneration to exceed extraction
delayed_response,infrastructure_condition,71.164,8.939655,0.0,71.164,-0.872559,0.303632,70.0,1,accumulating,condition recovery requires maintenance to exceed wear
high_demand_stress,backlog,84.1,131.247687,84.1,131.247687,0.427064,0.000201,75.0,,accumulating,stock pressure is lower when sustained outflow exceeds inflow
high_demand_stress,resource,582.8,0.0,0.0,582.8,-22.311485,-18.0,500.0,1,depleting,resource recovery requires regeneration to exceed extraction
high_demand_stress,infrastructure_condition,70.964,0.0,0.0,70.964,-1.18247,-0.4,70.0,1,depleting,condition recovery requires maintenance to exceed wear
