"scenario","stock","initial_value","final_value","minimum_value","maximum_value","mean_net_flow","final_net_flow","interpretation"
"baseline","backlog",80,75.0002453135055,75.0002453135055,80,-0.0416646223874542,-2.13316091688398e-05,"service backlog accumulates when arrivals exceed completions"
"baseline","resource",600,0,0,600,-20.8930368254709,-24,"resource stock declines when extraction exceeds regeneration"
"baseline","infrastructure_condition",72,0,0,72,-1.4428896639599,-1.7,"infrastructure condition recovers only when maintenance exceeds wear"
"capacity_and_conservation","backlog",80,12.6021573991546,12.6021573991546,80,-0.561648688340378,-0.00888325210040009,"service backlog accumulates when arrivals exceed completions"
"capacity_and_conservation","resource",600,0,0,600,-14.1814938327453,-12,"resource stock declines when extraction exceeds regeneration"
"capacity_and_conservation","infrastructure_condition",72,74.660343348576,27.4485053141299,74.660343348576,0.0221695279048001,1.08292897251276,"infrastructure condition recovers only when maintenance exceeds wear"
"delayed_response","backlog",80,13.8495812135822,13.8495812135822,80,-0.551253489886815,-0.11735488813758,"service backlog accumulates when arrivals exceed completions"
"delayed_response","resource",600,0,0,600,-17.2930368254709,-12,"resource stock declines when extraction exceeds regeneration"
"delayed_response","infrastructure_condition",72,8.93965517424842,0,72,-0.858392537507835,0.303632274793459,"infrastructure condition recovers only when maintenance exceeds wear"
"adaptive_recovery","backlog",80,0.135719238528567,0.135719238528567,80,-0.665535673012262,-0.0118016729155279,"service backlog accumulates when arrivals exceed completions"
"adaptive_recovery","resource",600,0,0,600,-11.8314938327453,-10,"resource stock declines when extraction exceeds regeneration"
"adaptive_recovery","infrastructure_condition",72,100,50.3610448429008,100,0.922612794139941,2,"infrastructure condition recovers only when maintenance exceeds wear"
