scenario,time,backlog,backlog_arrivals,backlog_completions,backlog_net_flow,resource,resource_regeneration,resource_extraction,resource_net_flow,infrastructure_condition,condition_maintenance,condition_wear,condition_net_flow
baseline,1,79.6,18.0,18.4,-0.4,586.8,10.8,24.0,-13.2,71.164,0.9,1.736,-0.836
baseline,2,79.232,18.0,18.368,-0.368,573.710959,10.910959,24.0,-13.089041,70.317968,0.9,1.746032,-0.846032
baseline,3,78.89344,18.0,18.33856,-0.33856,560.71646,11.005501,24.0,-12.994499,69.461784,0.9,1.756184,-0.856184
baseline,4,78.581965,18.0,18.311475,-0.311475,547.800568,11.084108,24.0,-12.915892,68.595325,0.9,1.766459,-0.866459
baseline,5,78.295408,18.0,18.286557,-0.286557,534.947748,11.14718,24.0,-12.85282,67.718469,0.9,1.776856,-0.876856
baseline,6,78.031775,18.0,18.263633,-0.263633,522.142788,11.195039,24.0,-12.804961,66.831091,0.9,1.787378,-0.887378
baseline,7,77.789233,18.0,18.242542,-0.242542,509.370724,11.227936,24.0,-12.772064,65.933064,0.9,1.798027,-0.898027
baseline,8,77.566094,18.0,18.223139,-0.223139,496.616773,11.246049,24.0,-12.753951,65.02426,0.9,1.808803,-0.908803
baseline,9,77.360807,18.0,18.205288,-0.205288,483.866258,11.249485,24.0,-12.750515,64.104552,0.9,1.819709,-0.919709
baseline,10,77.171942,18.0,18.188865,-0.188865,471.104544,11.238287,24.0,-12.761713,63.173806,0.9,1.830745,-0.930745
baseline,11,76.998187,18.0,18.173755,-0.173755,458.316971,11.212427,24.0,-12.787573,62.231892,0.9,1.841914,-0.941914
baseline,12,76.838332,18.0,18.159855,-0.159855,445.488785,11.171814,24.0,-12.828186,61.278675,0.9,1.853217,-0.953217
baseline,13,76.691265,18.0,18.147067,-0.147067,432.605069,11.116284,24.0,-12.883716,60.314019,0.9,1.864656,-0.964656
baseline,14,76.555964,18.0,18.135301,-0.135301,419.650675,11.045607,24.0,-12.954393,59.337787,0.9,1.876232,-0.976232
baseline,15,76.431487,18.0,18.124477,-0.124477,406.610155,10.959479,24.0,-13.040521,58.34984,0.9,1.887947,-0.987947
baseline,16,76.316968,18.0,18.114519,-0.114519,393.46768,10.857525,24.0,-13.142475,57.350038,0.9,1.899802,-0.999802
baseline,17,76.211611,18.0,18.105357,-0.105357,380.206969,10.739289,24.0,-13.260711,56.338239,0.9,1.9118,-1.0118
baseline,18,76.114682,18.0,18.096929,-0.096929,366.811202,10.604233,24.0,-13.395767,55.314298,0.9,1.923941,-1.023941
baseline,19,76.025507,18.0,18.089175,-0.089175,353.262936,10.451733,24.0,-13.548267,54.278069,0.9,1.936228,-1.036228
baseline,20,75.943467,18.0,18.082041,-0.082041,339.544006,10.281071,24.0,-13.718929,53.229406,0.9,1.948663,-1.048663
baseline,21,75.867989,18.0,18.075477,-0.075477,325.635431,10.091424,24.0,-13.908576,52.168159,0.9,1.961247,-1.061247
baseline,22,75.79855,18.0,18.069439,-0.069439,311.517295,9.881865,24.0,-14.118135,51.094177,0.9,1.973982,-1.073982
baseline,23,75.734666,18.0,18.063884,-0.063884,297.168638,9.651342,24.0,-14.348658,50.007307,0.9,1.98687,-1.08687
baseline,24,75.675893,18.0,18.058773,-0.058773,282.567312,9.398675,24.0,-14.601325,48.907395,0.9,1.999912,-1.099912
baseline,25,75.621821,18.0,18.054071,-0.054071,267.689848,9.122536,24.0,-14.877464,47.794283,0.9,2.013111,-1.113111
baseline,26,75.572076,18.0,18.049746,-0.049746,252.511288,8.82144,24.0,-15.17856,46.667815,0.9,2.026469,-1.126469
baseline,27,75.52631,18.0,18.045766,-0.045766,237.005008,8.49372,24.0,-15.50628,45.527829,0.9,2.039986,-1.139986
baseline,28,75.484205,18.0,18.042105,-0.042105,221.142522,8.137514,24.0,-15.862486,44.374163,0.9,2.053666,-1.153666
baseline,29,75.445468,18.0,18.038736,-0.038736,204.893255,7.750733,24.0,-16.249267,43.206652,0.9,2.06751,-1.16751
baseline,30,75.409831,18.0,18.035637,-0.035637,188.224295,7.33104,24.0,-16.66896,42.025132,0.9,2.08152,-1.18152
baseline,31,75.377045,18.0,18.032786,-0.032786,171.100111,6.875816,24.0,-17.124184,40.829434,0.9,2.095698,-1.195698
baseline,32,75.346881,18.0,18.030164,-0.030164,153.48223,6.382119,24.0,-17.617881,39.619387,0.9,2.110047,-1.210047
baseline,33,75.31913,18.0,18.02775,-0.02775,135.328874,5.846645,24.0,-18.153355,38.39482,0.9,2.124567,-1.224567
baseline,34,75.2936,18.0,18.02553,-0.02553,116.594548,5.265674,24.0,-18.734326,37.155558,0.9,2.139262,-1.239262
baseline,35,75.270112,18.0,18.023488,-0.023488,97.22956,4.635012,24.0,-19.364988,35.901424,0.9,2.154133,-1.254133
baseline,36,75.248503,18.0,18.021609,-0.021609,77.179479,3.949919,24.0,-20.050081,34.632241,0.9,2.169183,-1.269183
baseline,37,75.228623,18.0,18.01988,-0.01988,56.384505,3.205026,24.0,-20.794974,33.347828,0.9,2.184413,-1.284413
baseline,38,75.210333,18.0,18.01829,-0.01829,34.778743,2.394238,24.0,-21.605762,32.048002,0.9,2.199826,-1.299826
baseline,39,75.193506,18.0,18.016827,-0.016827,12.289356,1.510613,24.0,-22.489387,30.732578,0.9,2.215424,-1.315424
baseline,40,75.178026,18.0,18.015481,-0.015481,0.0,0.546225,24.0,-23.453775,29.401369,0.9,2.231209,-1.331209
baseline,41,75.163784,18.0,18.014242,-0.014242,0.0,0.0,24.0,-24.0,28.054186,0.9,2.247184,-1.347184
baseline,42,75.150681,18.0,18.013103,-0.013103,0.0,0.0,24.0,-24.0,26.690836,0.9,2.26335,-1.36335
baseline,43,75.138627,18.0,18.012054,-0.012054,0.0,0.0,24.0,-24.0,25.311126,0.9,2.27971,-1.37971
baseline,44,75.127536,18.0,18.01109,-0.01109,0.0,0.0,24.0,-24.0,23.914859,0.9,2.296266,-1.396266
baseline,45,75.117334,18.0,18.010203,-0.010203,0.0,0.0,24.0,-24.0,22.501838,0.9,2.313022,-1.413022
baseline,46,75.107947,18.0,18.009387,-0.009387,0.0,0.0,24.0,-24.0,21.07186,0.9,2.329978,-1.429978
