"time","observed","dataset"
1,12,"calibration"
2,14.2899004457075,"calibration"
3,14.5783789846807,"calibration"
4,15.9030805463044,"calibration"
5,17.5947913876165,"calibration"
6,19.1214907902309,"calibration"
7,20.1615559590365,"calibration"
8,23.0302429043937,"calibration"
9,24.2605308672369,"calibration"
10,27.8669792794514,"calibration"
11,29.3245269086343,"calibration"
12,32.3383134567235,"calibration"
13,36.5305498559267,"calibration"
14,36.7969879073705,"calibration"
15,38.291180710958,"calibration"
16,39.9811047080531,"calibration"
17,42.5541050791374,"calibration"
18,44.163858013108,"calibration"
19,43.1904268378299,"calibration"
20,42.4391212795054,"calibration"
21,45.8116732264971,"calibration"
22,47.4463898468223,"calibration"
23,47.4786247797452,"calibration"
24,49.2815423440007,"calibration"
25,52.6272602938695,"calibration"
26,56.7428521433805,"calibration"
27,58.3063423212645,"calibration"
28,60.0568742807081,"calibration"
29,60.1432359970905,"calibration"
30,62.6747012299837,"calibration"
31,63.9775750961183,"calibration"
32,66.4726558306983,"calibration"
33,69.2113870255921,"calibration"
34,72.2703677834693,"calibration"
35,73.4612431951576,"calibration"
36,75.8508483424846,"calibration"
37,75.7374441744027,"calibration"
38,76.6528062417934,"calibration"
39,77.4706898215189,"calibration"
40,76.5462282141572,"calibration"
41,78.3427405908016,"calibration"
42,80.2753227658535,"calibration"
43,81.5247903544437,"calibration"
44,83.9644275126755,"calibration"
45,84.6848236233153,"calibration"
46,84.6726362533444,"calibration"
47,86.6421177355642,"calibration"
48,87.1661305434952,"calibration"
49,90.1498893327277,"calibration"
50,90.9424310736825,"calibration"
51,92.8947897490708,"calibration"
52,94.3878997554423,"calibration"
53,94.5908287740005,"calibration"
54,97.379020196328,"calibration"
55,98.994668262151,"calibration"
56,99.9123598390989,"calibration"
57,100.983162005278,"calibration"
58,102.434489639096,"calibration"
59,103.15033050608,"calibration"
60,100.430988556181,"calibration"
61,101.480878936577,"validation"
62,101.751476167871,"validation"
63,102.613581036409,"validation"
64,103.859674735901,"validation"
65,105.928212862559,"validation"
66,105.524283183629,"validation"
67,107.379531066509,"validation"
68,108.048585813588,"validation"
69,109.445164392802,"validation"
70,110.615534043502,"validation"
71,111.483105610932,"validation"
72,110.347625787213,"validation"
73,110.342175337221,"validation"
74,111.122188492401,"validation"
75,110.111448205689,"validation"
76,109.624894250165,"validation"
77,110.408934736757,"validation"
78,111.343312092427,"validation"
79,111.875569625988,"validation"
80,110.884500268251,"validation"
81,109.730027845645,"validation"
82,111.53154592812,"validation"
83,111.823683226351,"validation"
84,111.908053499519,"validation"
85,111.755970158042,"validation"
86,110.434250090233,"validation"
87,111.195019970015,"validation"
88,110.98903136965,"validation"
89,110.835751881348,"validation"
90,111.921227875624,"validation"
