scenario_id,model,policy,scenario_pressure,performance_score,regret
1,exponential,Policy_A_low_intervention,0.509066,71.097717,28.902283
1,exponential,Policy_B_balanced,0.509066,93.972717,6.027283
1,exponential,Policy_C_high_adaptation,0.509066,100.0,0.0
1,logistic,Policy_A_low_intervention,0.509066,78.73371,21.26629
1,logistic,Policy_B_balanced,0.509066,100.0,0.0
1,logistic,Policy_C_high_adaptation,0.509066,100.0,0.0
1,managed_logistic,Policy_A_low_intervention,0.509066,83.824372,16.175628
1,managed_logistic,Policy_B_balanced,0.509066,100.0,0.0
1,managed_logistic,Policy_C_high_adaptation,0.509066,100.0,0.0
2,exponential,Policy_A_low_intervention,0.370679,86.320273,13.679727
2,exponential,Policy_B_balanced,0.370679,100.0,0.0
2,exponential,Policy_C_high_adaptation,0.370679,100.0,0.0
2,logistic,Policy_A_low_intervention,0.370679,91.880463,8.119537
2,logistic,Policy_B_balanced,0.370679,100.0,0.0
2,logistic,Policy_C_high_adaptation,0.370679,100.0,0.0
2,managed_logistic,Policy_A_low_intervention,0.370679,95.587256,4.412744
2,managed_logistic,Policy_B_balanced,0.370679,100.0,0.0
2,managed_logistic,Policy_C_high_adaptation,0.370679,100.0,0.0
3,exponential,Policy_A_low_intervention,0.770748,42.312766,30.71
3,exponential,Policy_B_balanced,0.770748,65.187766,7.835
3,exponential,Policy_C_high_adaptation,0.770748,73.022766,0.0
3,logistic,Policy_A_low_intervention,0.770748,53.87398,30.71
3,logistic,Policy_B_balanced,0.770748,76.74898,7.835
3,logistic,Policy_C_high_adaptation,0.770748,84.58398,0.0
3,managed_logistic,Policy_A_low_intervention,0.770748,61.581456,30.71
3,managed_logistic,Policy_B_balanced,0.770748,84.456456,7.835
3,managed_logistic,Policy_C_high_adaptation,0.770748,92.291456,0.0
4,exponential,Policy_A_low_intervention,0.307949,93.220607,6.779393
4,exponential,Policy_B_balanced,0.307949,100.0,0.0
4,exponential,Policy_C_high_adaptation,0.307949,100.0,0.0
4,logistic,Policy_A_low_intervention,0.307949,97.839842,2.160158
4,logistic,Policy_B_balanced,0.307949,100.0,0.0
4,logistic,Policy_C_high_adaptation,0.307949,100.0,0.0
4,managed_logistic,Policy_A_low_intervention,0.307949,100.0,0.0
4,managed_logistic,Policy_B_balanced,0.307949,100.0,0.0
4,managed_logistic,Policy_C_high_adaptation,0.307949,100.0,0.0
5,exponential,Policy_A_low_intervention,0.678706,52.437384,30.71
5,exponential,Policy_B_balanced,0.678706,75.312384,7.835
5,exponential,Policy_C_high_adaptation,0.678706,83.147384,0.0
5,logistic,Policy_A_low_intervention,0.678706,62.617968,30.71
5,logistic,Policy_B_balanced,0.678706,85.492968,7.835
5,logistic,Policy_C_high_adaptation,0.678706,93.327968,0.0
5,managed_logistic,Policy_A_low_intervention,0.678706,69.405024,30.594976
5,managed_logistic,Policy_B_balanced,0.678706,92.280024,7.719976
5,managed_logistic,Policy_C_high_adaptation,0.678706,100.0,0.0
6,exponential,Policy_A_low_intervention,0.542551,67.414375,30.71
6,exponential,Policy_B_balanced,0.542551,90.289375,7.835
6,exponential,Policy_C_high_adaptation,0.542551,98.124375,0.0
6,logistic,Policy_A_low_intervention,0.542551,75.552642,24.447358
6,logistic,Policy_B_balanced,0.542551,98.427642,1.572358
6,logistic,Policy_C_high_adaptation,0.542551,100.0,0.0
6,managed_logistic,Policy_A_low_intervention,0.542551,80.978154,19.021846
6,managed_logistic,Policy_B_balanced,0.542551,100.0,0.0
6,managed_logistic,Policy_C_high_adaptation,0.542551,100.0,0.0
7,exponential,Policy_A_low_intervention,0.296399,94.491095,5.508905
7,exponential,Policy_B_balanced,0.296399,100.0,0.0
7,exponential,Policy_C_high_adaptation,0.296399,100.0,0.0
7,logistic,Policy_A_low_intervention,0.296399,98.937082,1.062918
7,logistic,Policy_B_balanced,0.296399,100.0,0.0
7,logistic,Policy_C_high_adaptation,0.296399,100.0,0.0
7,managed_logistic,Policy_A_low_intervention,0.296399,100.0,0.0
7,managed_logistic,Policy_B_balanced,0.296399,100.0,0.0
7,managed_logistic,Policy_C_high_adaptation,0.296399,100.0,0.0
8,exponential,Policy_A_low_intervention,0.655949,54.940655,30.71
8,exponential,Policy_B_balanced,0.655949,77.815655,7.835
8,exponential,Policy_C_high_adaptation,0.655949,85.650655,0.0
8,logistic,Policy_A_low_intervention,0.655949,64.779884,30.71
8,logistic,Policy_B_balanced,0.655949,87.654884,7.835
8,logistic,Policy_C_high_adaptation,0.655949,95.489884,0.0
8,managed_logistic,Policy_A_low_intervention,0.655949,71.33937,28.66063
8,managed_logistic,Policy_B_balanced,0.655949,94.21437,5.78563
8,managed_logistic,Policy_C_high_adaptation,0.655949,100.0,0.0
9,exponential,Policy_A_low_intervention,0.279997,96.295382,3.704618
9,exponential,Policy_B_balanced,0.279997,100.0,0.0
9,exponential,Policy_C_high_adaptation,0.279997,100.0,0.0
9,logistic,Policy_A_low_intervention,0.279997,100.0,0.0
9,logistic,Policy_B_balanced,0.279997,100.0,0.0
9,logistic,Policy_C_high_adaptation,0.279997,100.0,0.0
9,managed_logistic,Policy_A_low_intervention,0.279997,100.0,0.0
9,managed_logistic,Policy_B_balanced,0.279997,100.0,0.0
9,managed_logistic,Policy_C_high_adaptation,0.279997,100.0,0.0
10,exponential,Policy_A_low_intervention,0.596917,61.43418,30.71
10,exponential,Policy_B_balanced,0.596917,84.30918,7.835
10,exponential,Policy_C_high_adaptation,0.596917,92.14418,0.0
10,logistic,Policy_A_low_intervention,0.596917,70.387928,29.612072
10,logistic,Policy_B_balanced,0.596917,93.262928,6.737072
