candidate_id,growth,capacity,extraction,calibration_rmse,validation_rmse,generalization_gap
1,0.040000,80.000000,0.000000,30.261018,44.967134,14.706116
2,0.040000,80.000000,0.002500,32.663092,50.209697,17.546606
3,0.040000,80.000000,0.005000,34.931580,55.267202,20.335622
4,0.040000,80.000000,0.007500,37.067539,60.114051,23.046512
5,0.040000,80.000000,0.010000,39.072921,64.726875,25.653954
6,0.040000,80.000000,0.012500,40.950481,69.085328,28.134846
7,0.040000,80.000000,0.015000,42.703682,73.172833,30.469151
8,0.040000,80.000000,0.017500,44.336596,76.977190,32.640594
9,0.040000,80.000000,0.020000,45.853805,80.490968,34.637163
10,0.040000,80.000000,0.022500,47.260299,83.711662,36.451364
11,0.040000,80.000000,0.025000,48.561375,86.641588,38.080213
12,0.040000,80.000000,0.027500,49.762547,89.287529,39.524983
13,0.040000,80.000000,0.030000,50.869452,91.660194,40.790742
14,0.040000,80.000000,0.032500,51.887775,93.773522,41.885747
15,0.040000,80.000000,0.035000,52.823172,95.643918,42.820746
16,0.040000,82.941176,0.000000,29.768441,43.312279,13.543838
17,0.040000,82.941176,0.002500,32.225135,48.743233,16.518097
18,0.040000,82.941176,0.005000,34.543434,53.978277,19.434843
19,0.040000,82.941176,0.007500,36.724536,58.990454,22.265918
20,0.040000,82.941176,0.010000,38.770607,63.755436,24.984829
21,0.040000,82.941176,0.012500,40.684658,68.252291,27.567633
22,0.040000,82.941176,0.015000,42.470435,72.464216,29.993781
23,0.040000,82.941176,0.017500,44.132308,76.379120,32.246812
24,0.040000,82.941176,0.020000,45.675162,79.989992,34.314830
25,0.040000,82.941176,0.022500,47.104286,83.295009,36.190723
26,0.040000,82.941176,0.025000,48.425270,86.297376,37.872106
27,0.040000,82.941176,0.027500,49.643905,89.004912,39.361006
28,0.040000,82.941176,0.030000,50.766092,91.429445,40.663353
29,0.040000,82.941176,0.032500,51.797758,93.586062,41.788305
30,0.040000,82.941176,0.035000,52.744783,95.492295,42.747512
31,0.040000,85.882353,0.000000,29.295480,41.692492,12.397012
32,0.040000,85.882353,0.002500,31.805003,47.309453,15.504450
33,0.040000,85.882353,0.005000,34.171462,52.719835,18.548373
34,0.040000,85.882353,0.007500,36.396180,57.895170,21.498990
35,0.040000,85.882353,0.010000,38.481523,62.810111,24.328588
36,0.040000,85.882353,0.012500,40.430752,67.443132,27.012380
37,0.040000,85.882353,0.015000,42.247892,71.777218,29.529325
38,0.040000,85.882353,0.017500,43.937609,75.800422,31.862813
39,0.040000,85.882353,0.020000,45.505087,79.506193,34.001106
40,0.040000,85.882353,0.022500,46.955912,82.893427,35.937515
41,0.040000,85.882353,0.025000,48.295960,85.966252,37.670292
42,0.040000,85.882353,0.027500,49.531297,88.733551,39.202254
43,0.040000,85.882353,0.030000,50.668080,91.208289,40.540209
44,0.040000,85.882353,0.032500,51.712473,93.406708,41.694235
45,0.040000,85.882353,0.035000,52.670579,95.347468,42.676889
46,0.040000,88.823529,0.000000,28.841024,40.107279,11.266254
47,0.040000,88.823529,0.002500,31.401645,45.907601,14.505956
48,0.040000,88.823529,0.005000,33.814679,51.490981,17.676302
49,0.040000,88.823529,0.007500,36.081550,56.827234,20.745684
50,0.040000,88.823529,0.010000,38.204814,61.889909,23.685095
51,0.040000,88.823529,0.012500,40.187973,66.656860,26.468887
