time,exponential,logistic,managed_logistic
1,12.000000,12.000000,12.000000
2,12.720000,12.925846,12.781846
3,13.483200,13.915300,13.608098
4,14.292192,14.971493,14.480410
5,15.149724,16.097513,15.400380
6,16.058707,17.296370,16.369534
7,17.022229,18.570954,17.389304
8,18.043563,19.923987,18.461008
9,19.126177,21.357971,19.585825
10,20.273748,22.875139,20.764772
11,21.490172,24.477386,21.998678
12,22.779583,26.166217,23.288158
13,24.146358,27.942676,24.633588
14,25.595139,29.807285,26.035077
15,27.130847,31.759979,27.492444
16,28.758698,33.800045,29.005193
17,30.484220,35.926066,30.572491
18,32.313273,38.135874,32.193147
19,34.252070,40.426506,33.865602
20,36.307194,42.794177,35.587908
21,38.485626,45.234266,37.357730
22,40.794763,47.741319,39.172337
23,43.242449,50.309063,41.028609
24,45.836996,52.930447,42.923047
25,48.587216,55.597699,44.851791
26,51.502449,58.302396,46.810641
27,54.592596,61.035566,48.795086
28,57.868151,63.787790,50.800346
29,61.340240,66.549329,52.821407
30,65.020655,69.310260,54.853072
31,68.921894,72.060612,56.890016
32,73.057208,74.790517,58.926831
33,77.440640,77.490343,60.958093
34,82.087079,80.150837,62.978414
35,87.012303,82.763248,64.982501
36,92.233042,85.319438,66.965210
37,97.767024,87.811978,68.921603
38,103.633045,90.234226,70.846988
39,109.851028,92.580379,72.736971
40,116.442090,94.845513,74.587487
41,123.428615,97.025596,76.394836
42,130.834332,99.117486,78.155701
43,138.684392,101.118907,79.867170
44,147.005456,103.028416,81.526743
45,155.825783,104.845349,83.132335
46,165.175330,106.569769,84.682274
47,175.085850,108.202393,86.175292
48,185.591001,109.744524,87.610508
49,196.726461,111.197977,88.987413
50,208.530048,112.565004,90.305844
51,221.041851,113.848223,91.565960
52,234.304362,115.050549,92.768216
53,248.362624,116.175126,93.913334
54,263.264382,117.225273,95.002271
55,279.060244,118.204421,96.036193
56,295.803859,119.116072,97.016445
57,313.552091,119.963751,97.944521
58,332.365216,120.750973,98.822040
59,352.307129,121.481207,99.650721
60,373.445557,122.157855,100.432357
61,395.852290,122.784226,101.168797
62,419.603428,123.363523,101.861921
63,444.779633,123.898826,102.513631
64,471.466411,124.393087,103.125828
65,499.754396,124.849120,103.700401
66,529.739660,125.269597,104.239217
67,561.524039,125.657050,104.744109
68,595.215482,126.013869,105.216868
69,630.928411,126.342301,105.659237
70,668.784115,126.644457,106.072905
71,708.911162,126.922316,106.459503
72,751.445832,127.177726,106.820599
73,796.532582,127.412411,107.157699
74,844.324537,127.627979,107.472245
75,894.984009,127.825922,107.765610
76,948.683049,128.007628,108.039105
77,1005.604032,128.174384,108.293975
78,1065.940274,128.327382,108.531398
79,1129.896691,128.467725,108.752495
80,1197.690492,128.596434,108.958319
81,1269.551922,128.714449,109.149871
82,1345.725037,128.822640,109.328088
83,1426.468539,128.921809,109.493857
84,1512.056652,129.012695,109.648009
85,1602.780051,129.095979,109.791327
86,1698.946854,129.172286,109.924544
87,1800.883665,129.242194,110.048347
88,1908.936685,129.306232,110.163382
89,2023.472886,129.364888,110.270251
90,2144.881259,129.418608,110.369519
