time,stock,delayed_stock,reinforcing_inflow,balancing_outflow,threshold_penalty,shock,next_stock
0,15.000000,15.000000,1.125000,0.000000,0.000000,0.000000,16.125000
1,16.125000,15.000000,1.191234,0.000000,0.000000,0.000000,17.316234
2,17.316234,15.000000,1.258609,0.000000,0.000000,0.000000,18.574843
3,18.574843,15.000000,1.326711,0.000000,0.000000,0.000000,19.901555
4,19.901555,15.000000,1.395068,0.000000,0.000000,0.000000,21.296623
5,21.296623,15.000000,1.463150,0.000000,0.000000,0.000000,22.759773
6,22.759773,15.000000,1.530372,0.000000,0.000000,0.000000,24.290145
7,24.290145,16.125000,1.596102,0.000000,0.000000,0.000000,25.886247
8,25.886247,17.316234,1.659664,0.000000,0.000000,0.000000,27.545911
9,27.545911,18.574843,1.720355,0.000000,0.000000,0.000000,29.266266
10,29.266266,19.901555,1.777450,0.000000,0.000000,0.000000,31.043716
11,31.043716,21.296623,1.830222,0.000000,0.000000,0.000000,32.873938
12,32.873938,22.759773,1.877959,0.000000,0.000000,0.000000,34.751896
13,34.751896,24.290145,1.919976,0.000000,0.000000,0.000000,36.671873
14,36.671873,25.886247,1.955642,0.000000,0.000000,0.000000,38.627515
15,38.627515,27.545911,1.984391,0.000000,0.000000,0.000000,40.611906
16,40.611906,29.266266,2.005745,0.000000,0.000000,0.000000,42.617651
17,42.617651,31.043716,2.019324,0.000000,0.000000,0.000000,44.636975
18,44.636975,32.873938,2.024868,0.000000,0.000000,0.000000,46.661844
19,46.661844,34.751896,2.022238,0.000000,0.000000,0.000000,48.684082
20,48.684082,36.671873,2.011428,0.000000,0.000000,0.000000,50.695509
21,50.695509,38.627515,1.992561,0.000000,0.000000,0.000000,52.688071
22,52.688071,40.611906,1.965894,0.000000,0.000000,0.000000,54.653964
23,54.653964,42.617651,1.931801,0.000000,0.000000,0.000000,56.585765
24,56.585765,44.636975,1.890770,0.000000,0.000000,0.000000,58.476535
25,58.476535,46.661844,1.843383,0.000000,0.000000,0.000000,60.319918
26,60.319918,48.684082,1.790300,0.000000,0.000000,0.000000,62.110218
27,62.110218,50.695509,1.732240,0.000000,0.000000,0.000000,63.842459
28,63.842459,52.688071,1.669962,0.000000,0.000000,0.000000,65.512421
29,65.512421,54.653964,1.604241,0.000000,0.000000,0.000000,67.116661
30,67.116661,56.585765,1.535853,0.079288,0.000000,0.000000,68.573226
31,68.573226,58.476535,1.469303,0.173827,0.000000,0.000000,69.868702
32,69.868702,60.319918,1.406548,0.265996,0.000000,0.000000,71.009254
33,71.009254,62.110218,1.348519,0.355511,0.000000,0.000000,72.002262
34,72.002262,63.842459,1.295878,0.442123,0.000000,0.000000,72.856017
35,72.856017,65.512421,1.249042,0.525621,0.000000,0.000000,73.579438
36,73.579438,67.116661,1.208216,0.605833,0.000000,0.000000,74.181821
37,74.181821,68.573226,1.173421,0.678661,0.000000,0.000000,74.676581
38,74.676581,69.868702,1.144301,0.743435,0.000000,0.000000,75.077446
39,75.077446,71.009254,1.120347,0.800463,0.003098,0.000000,75.394233
40,75.394233,72.002262,1.101191,0.850113,0.015769,0.000000,75.629541
41,75.629541,72.856017,1.086831,0.892801,0.025182,0.000000,75.798390
42,75.798390,73.579438,1.076459,0.928972,0.031936,0.000000,75.913942
43,75.913942,74.181821,1.069328,0.959091,0.036558,0.000000,75.987621
44,75.987621,74.676581,1.064767,0.983829,0.039505,0.000000,76.029054
45,76.029054,75.077446,1.062198,1.003872,0.041162,0.000000,76.046218
46,76.046218,75.394233,1.061132,1.019712,0.041849,0.000000,76.045790
47,76.045790,75.629541,1.061159,1.031477,0.041832,0.000000,76.033640
48,76.033640,75.798390,1.061913,1.039919,0.041346,0.000000,76.014288
49,76.014288,75.913942,1.063114,1.045697,0.040572,0.000000,75.991133
50,75.991133,75.987621,1.064550,1.049381,0.039645,0.000000,75.966657
51,75.966657,76.029054,1.066066,1.051453,0.038666,0.000000,75.942604
52,75.942604,76.046218,1.067555,1.052311,0.037704,0.000000,75.920144
53,75.920144,76.045790,1.068945,1.052289,0.036806,0.000000,75.899994
54,75.899994,76.033640,1.070190,1.051682,0.036000,0.000000,75.882502
55,75.882502,76.014288,1.071271,1.050714,0.035300,0.000000,75.867759
56,75.867759,75.991133,1.072181,1.049557,0.034710,0.000000,75.855673
57,75.855673,75.966657,1.072927,1.048333,0.034227,0.000000,75.846041
58,75.846041,75.942604,1.073522,1.047130,0.033842,0.000000,75.838591
59,75.838591,75.920144,1.073981,1.046007,0.033544,0.000000,75.833021
60,75.833021,75.899994,1.074325,1.045000,0.033321,0.000000,75.829026
61,75.829026,75.882502,1.074571,1.044125,0.033161,0.000000,75.826311
62,75.826311,75.867759,1.074739,1.043388,0.033052,0.000000,75.824609
63,75.824609,75.855673,1.074843,1.042784,0.032984,0.000000,75.823684
64,75.823684,75.846041,1.074900,1.042302,0.032947,0.000000,75.823335
65,75.823335,75.838591,1.074922,1.041930,0.032933,0.000000,75.823394
66,75.823394,75.833021,1.074918,1.041651,0.032936,0.000000,75.823726
67,75.823726,75.829026,1.074898,1.041451,0.032949,0.000000,75.824224
68,75.824224,75.826311,1.074867,1.041316,0.032969,0.000000,75.824806
69,75.824806,75.824609,1.074831,1.041230,0.032992,0.000000,75.825415
70,75.825415,75.823684,1.074794,1.041184,0.033017,0.000000,75.826008
71,75.826008,75.823335,1.074757,1.041167,0.033040,0.000000,75.826558
72,75.826558,75.823394,1.074723,1.041170,0.033062,0.000000,75.827049
73,75.827049,75.823726,1.074693,1.041186,0.033082,0.000000,75.827474
74,75.827474,75.824224,1.074667,1.041211,0.033099,0.000000,75.827831
75,75.827831,75.824806,1.074645,1.041240,0.033113,0.000000,75.828122
76,75.828122,75.825415,1.074627,1.041271,0.033125,0.000000,75.828353
77,75.828353,75.826008,1.074613,1.041300,0.033134,0.000000,75.828531
78,75.828531,75.826558,1.074602,1.041328,0.033141,0.000000,75.828664
79,75.828664,75.827049,1.074593,1.041352,0.033147,0.000000,75.828758
80,75.828758,75.827474,1.074588,1.041374,0.033150,0.000000,75.828822
81,75.828822,75.827831,1.074584,1.041392,0.033153,0.000000,75.828861
82,75.828861,75.828122,1.074581,1.041406,0.033154,0.000000,75.828882
83,75.828882,75.828353,1.074580,1.041418,0.033155,0.000000,75.828889
84,75.828889,75.828531,1.074580,1.041427,0.033156,0.000000,75.828887
85,75.828887,75.828664,1.074580,1.041433,0.033155,0.000000,75.828878
86,75.828878,75.828758,1.074580,1.041438,0.033155,0.000000,75.828865
87,75.828865,75.828822,1.074581,1.041441,0.033155,0.000000,75.828850
88,75.828850,75.828861,1.074582,1.041443,0.033154,0.000000,75.828835
89,75.828835,75.828882,1.074583,1.041444,0.033153,0.000000,75.828821
90,75.828821,75.828889,1.074584,1.041444,0.033153,-8.000000,67.828807
91,67.828807,75.828887,1.503846,1.041444,0.000000,0.000000,68.291208
92,68.291208,75.828878,1.482520,1.041444,0.000000,0.000000,68.732284
93,68.732284,75.828865,1.461779,1.041443,0.000000,0.000000,69.152620
94,69.152620,75.828850,1.441651,1.041443,0.000000,0.000000,69.552828
95,69.552828,75.828835,1.422159,1.041442,0.000000,0.000000,69.933545
96,69.933545,75.828821,1.403318,1.041441,0.000000,0.000000,70.295422
97,70.295422,67.828807,1.385142,0.641440,0.000000,0.000000,71.039123
98,71.039123,68.291208,1.346964,0.664560,0.000000,0.000000,71.721527
99,71.721527,68.732284,1.310960,0.686614,0.000000,0.000000,72.345873
100,72.345873,69.152620,1.277203,0.707631,0.000000,0.000000,72.915445
101,72.915445,69.552828,1.245728,0.727641,0.000000,0.000000,73.433532
102,73.433532,69.933545,1.216534,0.746677,0.000000,0.000000,73.903389
103,73.903389,70.295422,1.189594,0.764771,0.000000,0.000000,74.328212
104,74.328212,71.039123,1.164856,0.801956,0.000000,0.000000,74.691112
105,74.691112,71.721527,1.143438,0.836076,0.000000,0.000000,74.998473
106,74.998473,72.345873,1.125092,0.867294,0.000000,0.000000,75.256271
