parameter,direction,base_value,revised_value,base_peak_stock,revised_peak_stock,peak_change,absolute_peak_change
capacity,-1,90.0,80.0,76.046218,70.463431,-5.582787,5.582787
capacity,1,90.0,100.0,76.046218,80.291416,4.245198,4.245198
target,-1,55.0,50.0,76.046218,73.971278,-2.07494,2.07494
target,1,55.0,60.0,76.046218,77.765968,1.71975,1.71975
balancing_strength,-1,0.05,0.04,76.046218,77.349959,1.303741,1.303741
threshold,-1,75.0,70.0,76.046218,74.840923,-1.205295,1.205295
balancing_strength,1,0.05,0.060000000000000005,76.046218,74.888431,-1.157787,1.157787
growth_rate,-1,0.09,0.08,76.046218,75.074203,-0.972015,0.972015
growth_rate,1,0.09,0.09999999999999999,76.046218,76.910598,0.86438,0.86438
delay,1,6,8,76.046218,76.907948,0.86173,0.86173
threshold,1,75.0,80.0,76.046218,76.268509,0.222291,0.222291
delay,-1,6,4,76.046218,75.828755,-0.217463,0.217463
threshold_correction,-1,0.04,0.03,76.046218,76.092457,0.046239,0.046239
threshold_correction,1,0.04,0.05,76.046218,76.00788,-0.038338,0.038338
shock_size,-1,-8.0,0.0,76.046218,76.046218,0.0,0.0
shock_size,1,-8.0,0.0,76.046218,76.046218,0.0,0.0
