time,trajectory_1,trajectory_2,absolute_difference
1,  0.40000000,  0.40010000,  0.00010000
2,  0.93600000,  0.93607796,  0.00007796
3,  0.23362560,  0.23336045,  0.00026515
4,  0.69827425,  0.69772306,  0.00055119
5,  0.82168056,  0.82253181,  0.00085125
6,  0.57143431,  0.56929561,  0.00213871
7,  0.95509884,  0.95627266,  0.00117382
8,  0.16725167,  0.16307950,  0.00417217
9,  0.54318635,  0.53228985,  0.01089649
10,  0.96772626,  0.97093373,  0.00320746
11,  0.12180536,  0.11006356,  0.01174179
12,  0.41717836,  0.38200335,  0.03517502
13,  0.94824825,  0.92069948,  0.02754877
14,  0.19138669,  0.28474660,  0.09335991
15,  0.60355551,  0.79429729,  0.19074179
16,  0.93317740,  0.63721750,  0.29595990
17,  0.24319362,  0.90156829,  0.65837467
18,  0.71779689,  0.34609733,  0.37169956
19,  0.79000162,  0.88262447,  0.09262286
20,  0.64700635,  0.40403420,  0.24297215
21,  0.89071762,  0.93908320,  0.04836558
22,  0.37962498,  0.22310317,  0.15652181
23,  0.91848843,  0.67597976,  0.24250867
24,  0.29198299,  0.85422139,  0.56223840
25,  0.80624280,  0.48565611,  0.32058669
26,  0.60923985,  0.97419759,  0.36495774
27,  0.92845996,  0.09803293,  0.83042703
28,  0.25904606,  0.34484765,  0.08580160
29,  0.74857067,  0.88111822,  0.13254755
30,  0.73402922,  0.40852071,  0.32550851
31,  0.76139826,  0.94236300,  0.18096475
32,  0.70851671,  0.21182839,  0.49668831
33,  0.80543106,  0.65113279,  0.15429827
34,  0.61117629,  0.88591964,  0.27474334
35,  0.92679534,  0.39415753,  0.53263781
36,  0.26459837,  0.93130975,  0.66671139
37,  0.75888568,  0.24949040,  0.50939527
38,  0.71361501,  0.73025527,  0.01664026
39,  0.79703765,  0.76823179,  0.02880586
40,  0.63089767,  0.69440165,  0.06350398
41,  0.90817662,  0.82761119,  0.08056543
42,  0.32522822,  0.55641654,  0.23118832
43,  0.85587381,  0.96258698,  0.10671317
44,  0.48107994,  0.14045182,  0.34062811
45,  0.97360392,  0.47082792,  0.50277600
46,  0.10022737,  0.97168106,  0.87145369
47,  0.35170919,  0.10731621,  0.24439298
48,  0.88923836,  0.37361783,  0.51562053
49,  0.38412464,  0.91270743,  0.52858279
50,  0.92263432,  0.31072305,  0.61191127
51,  0.27838292,  0.83527952,  0.55689660
52,  0.78345489,  0.53659182,  0.24686307
53,  0.66164798,  0.96977805,  0.30813008
54,  0.87309273,  0.11430347,  0.75878926
55,  0.43212707,  0.39482893,  0.03729813
56,  0.95703373,  0.93186228,  0.02517145
57,  0.16036865,  0.24763039,  0.08726173
58,  0.52513714,  0.72660736,  0.20147022
59,  0.97253568,  0.77473151,  0.19780417
60,  0.10416910,  0.68063812,  0.57646902
61,  0.36393982,  0.84774249,  0.48380267
62,  0.90280174,  0.50339312,  0.39940862
63,  0.34222794,  0.97495510,  0.63272715
64,  0.87792112,  0.09522885,  0.78269226
65,  0.41798496,  0.33602524,  0.08195971
66,  0.94876678,  0.87013789,  0.07862889
67,  0.18957268,  0.44069198,  0.25111930
68,  0.59917602,  0.96128198,  0.36210596
69,  0.93664006,  0.14515385,  0.79148620
70,  0.23144730,  0.48392843,  0.25248113
71,  0.69372985,  0.97399265,  0.28026280
72,  0.82862811,  0.09879078,  0.72983733
73,  0.55381390,  0.34722154,  0.20659236
74,  0.96370585,  0.88396910,  0.07973676
75,  0.13640985,  0.40001416,  0.26360431
76,  0.45942859,  0.93601105,  0.47658246
77,  0.96858045,  0.23358803,  0.73499241
78,  0.11868623,  0.69819619,  0.57950997
79,  0.40793924,  0.82180125,  0.41386201
80,  0.94194678,  0.57113142,  0.37081537
81,  0.21326385,  0.95526725,  0.74200340
82,  0.65435129,  0.16665374,  0.48769755
83,  0.88208515,  0.54163306,  0.34045209
84,  0.40564267,  0.96824008,  0.56259742
85,  0.94027711,  0.11992977,  0.82034734
86,  0.21900867,  0.41163182,  0.19262315
87,  0.66707110,  0.94454515,  0.27747405
88,  0.86614026,  0.20428048,  0.66185979
89,  0.45217109,  0.63394486,  0.18177376
90,  0.96607834,  0.90502922,  0.06104912
91,  0.12780681,  0.33521019,  0.20740338
92,  0.43474170,  0.86909284,  0.43435114
93,  0.95839128,  0.44370485,  0.51468643
94,  0.15552199,  0.96264034,  0.80711835
95,  0.51220611,  0.14025927,  0.37194683
96,  0.97441894,  0.47028778,  0.50413117
97,  0.09721400,  0.97155702,  0.87434302
98,  0.34227741,  0.10777252,  0.23450489
99,  0.87798198,  0.37501466,  0.50296732
100,  0.41780553,  0.91407680,  0.49627127
101,  0.94865187,  0.30630759,  0.64234428
102,  0.18997485,  0.82868467,  0.63870982
103,  0.60014918,  0.55366891,  0.04648027
104,  0.93588355,  0.96376663,  0.02788307
105,  0.23402156,  0.13619001,  0.09783155
106,  0.69909633,  0.45880494,  0.24029140
107,  0.82040653,  0.96838157,  0.14797504
108,  0.57462465,  0.11941295,  0.45521170
109,  0.95328153,  0.41009863,  0.54318290
110,  0.17368983,  0.94347920,  0.76978937
111,  0.55973451,  0.20797218,  0.35176234
112,  0.96108397,  0.64240703,  0.31867695
113,  0.14586612,  0.89590893,  0.75004281
114,  0.48589787,  0.36369886,  0.12219901
115,  0.97422441,  0.90254580,  0.07167861
116,  0.09793373,  0.34303184,  0.24509811
117,  0.34453658,  0.87890788,  0.53437130
118,  0.88074139,  0.41507239,  0.46566900
119,  0.40964038,  0.94687047,  0.53723010
120,  0.94315704,  0.19619645,  0.74696059
