r,tail_mean,tail_sd,tail_minimum,tail_maximum
2.80000000,0.64285714,0.00000000,0.64285714,0.64285714
2.81000000,0.64412811,0.00000000,0.64412811,0.64412811
2.82000000,0.64539007,0.00000000,0.64539007,0.64539007
2.83000000,0.64664311,0.00000000,0.64664311,0.64664311
2.84000000,0.64788732,0.00000000,0.64788732,0.64788732
2.85000000,0.64912281,0.00000000,0.64912281,0.64912281
2.86000000,0.65034965,0.00000000,0.65034965,0.65034965
2.87000000,0.65156794,0.00000000,0.65156794,0.65156794
2.88000000,0.65277778,0.00000000,0.65277778,0.65277778
2.89000000,0.65397924,0.00000000,0.65397924,0.65397924
2.90000000,0.65517241,0.00000000,0.65517241,0.65517241
2.91000000,0.65635739,0.00000000,0.65635739,0.65635739
2.92000000,0.65753425,0.00000000,0.65753424,0.65753425
2.93000000,0.65870307,0.00000001,0.65870305,0.65870309
2.94000000,0.65986394,0.00000006,0.65986374,0.65986414
2.95000000,0.66101694,0.00000052,0.66101531,0.66101851
2.96000000,0.66216210,0.00000456,0.66214938,0.66217443
2.97000000,0.66329920,0.00003905,0.66320461,0.66339183
2.98000000,0.66442648,0.00032800,0.66377029,0.66507429
2.99000000,0.66552895,0.00259913,0.66157627,0.66944040
3.00000000,0.66633424,0.01455279,0.65023328,0.68228989
3.01000000,0.66610303,0.03335319,0.63261998,0.69955995
3.02000000,0.66556280,0.04694588,0.61861443,0.71251046
3.03000000,0.66501650,0.05737736,0.60763912,0.72239388
3.04000000,0.66447368,0.06611760,0.59835608,0.73059129
3.05000000,0.66393443,0.07377049,0.59016393,0.73770492
3.06000000,0.66339869,0.08064681,0.58275188,0.74404551
3.07000000,0.66286645,0.08693164,0.57593481,0.74979809
3.08000000,0.66233766,0.09274582,0.56959184,0.75508349
3.09000000,0.66181230,0.09817354,0.56363876,0.75998583
3.10000000,0.66129032,0.10327620,0.55801413,0.76456652
3.11000000,0.66077170,0.10810029,0.55267141,0.76887200
3.12000000,0.66025641,0.11268202,0.54757439,0.77293843
3.13000000,0.65974441,0.11705026,0.54269415,0.77679467
3.14000000,0.65923567,0.12122845,0.53800722,0.78046412
3.15000000,0.65873016,0.12523598,0.53349418,0.78396614
3.16000000,0.65822785,0.12908910,0.52913875,0.78731695
3.17000000,0.65772871,0.13280158,0.52492713,0.79053028
3.18000000,0.65723270,0.13638521,0.52084749,0.79361791
3.19000000,0.65673981,0.13985021,0.51688960,0.79659003
3.20000000,0.65625000,0.14320549,0.51304451,0.79945549
3.21000000,0.65576324,0.14645887,0.50930437,0.80222211
3.22000000,0.65527950,0.14961726,0.50566224,0.80489676
3.23000000,0.65479876,0.15268683,0.50211193,0.80748559
3.24000000,0.65432099,0.15567309,0.49864790,0.80999408
3.25000000,0.65384615,0.15858099,0.49526517,0.81242714
3.26000000,0.65337423,0.16141500,0.49195924,0.81478923
3.27000000,0.65290520,0.16417918,0.48872602,0.81708437
3.28000000,0.65243902,0.16687722,0.48556180,0.81931625
3.29000000,0.65197568,0.16951251,0.48246318,0.82148819
3.30000000,0.65151515,0.17208813,0.47942702,0.82360328
3.31000000,0.65105740,0.17460694,0.47645047,0.82566434
3.32000000,0.65060241,0.17707155,0.47353086,0.82767396
3.33000000,0.65015015,0.17948439,0.47066576,0.82963454
3.34000000,0.64970060,0.18184772,0.46785288,0.83154832
3.35000000,0.64925373,0.18416362,0.46509011,0.83341735
3.36000000,0.64880952,0.18643404,0.46237548,0.83524357
3.37000000,0.64836795,0.18866081,0.45970715,0.83702876
3.38000000,0.64792899,0.19084560,0.45708339,0.83877460
3.39000000,0.64749263,0.19299003,0.45450260,0.84048265
3.40000000,0.64705882,0.19509558,0.45196325,0.84215440
3.41000000,0.64662757,0.19716365,0.44946392,0.84379122
3.42000000,0.64619883,0.19919557,0.44700325,0.84539440
3.43000000,0.64577259,0.20119259,0.44457887,0.84696557
3.44000000,0.64534773,0.20315635,0.44202090,0.84856997
3.45000000,0.64499456,0.20498424,0.43096731,0.85364544
3.46000000,0.64525356,0.20594158,0.41323389,0.86134227
3.47000000,0.64554316,0.20683737,0.40291365,0.86590512
3.48000000,0.64583252,0.20772293,0.39506450,0.86942620
3.49000000,0.64612164,0.20859849,0.38852053,0.87239235
3.50000000,0.64641047,0.20946425,0.38281968,0.87499726
3.51000000,0.64669899,0.21032042,0.37772216,0.87734182
3.52000000,0.64698719,0.21116721,0.37308439,0.87948665
3.53000000,0.64727503,0.21200480,0.36881229,0.88147162
3.54000000,0.64756252,0.21283357,0.36481359,0.88333447
3.55000000,0.64765301,0.21402069,0.35480045,0.88737090
3.56000000,0.64759160,0.21535821,0.34882408,0.88989192
3.57000000,0.64757774,0.21616154,0.34252630,0.89249746
3.58000000,0.64766009,0.21747225,0.33643907,0.89499697
3.59000000,0.64658847,0.22029505,0.33136617,0.89711138
3.60000000,0.64680045,0.22117836,0.32425829,0.89991030
3.61000000,0.64570240,0.22372674,0.32168167,0.90111283
3.62000000,0.64992357,0.21946514,0.31202271,0.90472939
3.63000000,0.65916284,0.20664092,0.30508870,0.90737394
3.64000000,0.65485938,0.21558662,0.29813697,0.90999297
3.65000000,0.65535875,0.21502449,0.29368401,0.91175069
3.66000000,0.65565117,0.21452380,0.28487541,0.91483898
3.67000000,0.65776192,0.21306934,0.27884250,0.91715838
3.68000000,0.68071195,0.17680144,0.27187552,0.91966747
3.69000000,0.66408783,0.20819411,0.26391587,0.92246667
3.70000000,0.66460519,0.20619074,0.25953294,0.92409429
3.71000000,0.66722111,0.20528894,0.25282878,0.92644118
3.72000000,0.64949019,0.22936290,0.24241398,0.92992436
3.73000000,0.66402633,0.21237929,0.23539452,0.93230955
3.74000000,0.63167776,0.25251480,0.22742303,0.93496172
3.75000000,0.64558841,0.23985540,0.21972657,0.93750000
3.76000000,0.65613117,0.22301462,0.21250288,0.93986734
3.77000000,0.64275708,0.23975021,0.20443318,0.94246321
3.78000000,0.65603577,0.22918290,0.21158103,0.94048403
3.79000000,0.66240244,0.22029731,0.18854617,0.94749488
3.80000000,0.63953745,0.25239146,0.18063619,0.94996018
3.81000000,0.63055119,0.25833666,0.17422491,0.95196424
3.82000000,0.62433316,0.26580962,0.16470663,0.95484402
3.83000000,0.53906337,0.32641128,0.15614932,0.95741660
3.84000000,0.52845743,0.33269999,0.14940611,0.95944762
3.85000000,0.52757856,0.33379840,0.13896096,0.96249999
3.86000000,0.57203665,0.31079521,0.13038394,0.96499653
3.87000000,0.57473746,0.30778319,0.12180559,0.96746731
3.88000000,0.59117032,0.29766960,0.11296662,0.96998393
3.89000000,0.59347639,0.29740412,0.10411033,0.97247901
3.90000000,0.61462086,0.28244131,0.09783632,0.97425074
3.91000000,0.60305789,0.29170256,0.08600849,0.97749654
3.92000000,0.56766670,0.31591299,0.07695126,0.97996831
3.93000000,0.59802636,0.29753721,0.06792421,0.98240697
3.94000000,0.57377213,0.31161909,0.06112468,0.98423767
3.95000000,0.59498847,0.30182549,0.05044675,0.98706126
3.96000000,0.57898080,0.31152662,0.04108903,0.98951403
3.97000000,0.52768055,0.34249375,0.02955794,0.99249840
3.98000000,0.52462486,0.34353297,0.01985957,0.99498501
3.99000000,0.52842344,0.34317079,0.00995053,0.99749988
4.00000000,0.52322160,0.34562557,0.00041441,0.99989639
