r,state_value
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.8,0.64285714
2.81519,0.64478417
2.81519,0.64478417
2.81519,0.64478417
2.81519,0.64478417
2.81519,0.64478417
2.81519,0.64478417
2.81519,0.64478417
2.81519,0.64478417
2.81519,0.64478417
2.81519,0.64478417
2.81519,0.64478417
2.81519,0.64478417
2.81519,0.64478417
2.81519,0.64478417
2.81519,0.64478417
2.81519,0.64478417
2.81519,0.64478417
2.81519,0.64478417
2.81519,0.64478417
2.81519,0.64478417
2.81519,0.64478417
2.81519,0.64478417
2.81519,0.64478417
2.81519,0.64478417
2.81519,0.64478417
2.81519,0.64478417
2.81519,0.64478417
2.81519,0.64478417
2.81519,0.64478417
2.81519,0.64478417
2.81519,0.64478417
2.81519,0.64478417
2.81519,0.64478417
2.81519,0.64478417
2.81519,0.64478417
2.81519,0.64478417
2.81519,0.64478417
2.81519,0.64478417
