time,r,trajectory_1,trajectory_2,absolute_difference
1,3.9,0.4,0.4001,0.0001
2,3.9,0.936,0.93607796,7.796e-05
3,3.9,0.2336256,0.23336045,0.00026515
4,3.9,0.69827425,0.69772306,0.00055119
5,3.9,0.82168056,0.82253181,0.00085125
6,3.9,0.57143431,0.56929561,0.00213871
7,3.9,0.95509884,0.95627266,0.00117382
8,3.9,0.16725167,0.1630795,0.00417217
9,3.9,0.54318635,0.53228985,0.01089649
10,3.9,0.96772626,0.97093373,0.00320746
11,3.9,0.12180536,0.11006356,0.01174179
12,3.9,0.41717836,0.38200335,0.03517502
13,3.9,0.94824825,0.92069948,0.02754877
14,3.9,0.19138669,0.2847466,0.09335991
15,3.9,0.60355551,0.79429729,0.19074179
16,3.9,0.9331774,0.6372175,0.2959599
17,3.9,0.24319362,0.90156829,0.65837467
18,3.9,0.71779689,0.34609733,0.37169956
19,3.9,0.79000162,0.88262447,0.09262286
20,3.9,0.64700635,0.4040342,0.24297215
21,3.9,0.89071762,0.9390832,0.04836558
22,3.9,0.37962498,0.22310317,0.15652181
23,3.9,0.91848843,0.67597976,0.24250867
24,3.9,0.29198299,0.85422139,0.5622384
25,3.9,0.8062428,0.48565611,0.32058669
26,3.9,0.60923985,0.97419759,0.36495774
27,3.9,0.92845996,0.09803293,0.83042703
28,3.9,0.25904606,0.34484765,0.0858016
29,3.9,0.74857067,0.88111822,0.13254755
30,3.9,0.73402922,0.40852071,0.32550851
31,3.9,0.76139826,0.942363,0.18096475
32,3.9,0.70851671,0.21182839,0.49668831
33,3.9,0.80543106,0.65113279,0.15429827
34,3.9,0.61117629,0.88591964,0.27474334
35,3.9,0.92679534,0.39415753,0.53263781
36,3.9,0.26459837,0.93130975,0.66671139
37,3.9,0.75888568,0.2494904,0.50939527
38,3.9,0.71361501,0.73025527,0.01664026
39,3.9,0.79703765,0.76823179,0.02880586
40,3.9,0.63089767,0.69440165,0.06350398
41,3.9,0.90817662,0.82761119,0.08056543
42,3.9,0.32522822,0.55641654,0.23118832
43,3.9,0.85587381,0.96258698,0.10671317
44,3.9,0.48107994,0.14045182,0.34062811
45,3.9,0.97360392,0.47082792,0.502776
46,3.9,0.10022737,0.97168106,0.87145369
47,3.9,0.35170919,0.10731621,0.24439298
48,3.9,0.88923836,0.37361783,0.51562053
49,3.9,0.38412464,0.91270743,0.52858279
50,3.9,0.92263432,0.31072305,0.61191127
51,3.9,0.27838292,0.83527952,0.5568966
52,3.9,0.78345489,0.53659182,0.24686307
53,3.9,0.66164798,0.96977805,0.30813008
54,3.9,0.87309273,0.11430347,0.75878926
